tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 21.500,Centro,Ituiutaba,MG,210m²,Edson Filho,09/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/agio-lote-210m-1107501318,28/Nov/2022,19:31:28
Terrenos,,R$ 135.000,,Ituiutaba,MG,,Liliana,15/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/vende-se-terrenos-residencial-drummond-ituiutaba-1109988259,28/Nov/2022,19:31:28
Terrenos,,R$ 1.100,Centro,Ituiutaba,MG,33m²,ALUGUELPAGO - EIRELI,24/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lavajto-em-posto-1017821488,28/Nov/2022,19:31:28
Terrenos,,R$ 72.000,Residencial Buritis,Ituiutaba,MG,205m²,André,01/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terrenos-em-ituiutaba-1104215199,28/Nov/2022,19:31:28
Terrenos,,null,Setor Sul,Ituiutaba,MG,,luizclaudioacqio,12/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lote-de-esquina-mais-casa-do-lado-1109002329,28/Nov/2022,19:31:28
Terrenos,,R$ 7.000.000,Residencial Drummond,Ituiutaba,MG,20175m²,EDIMILSON PACIFICO DA SILVA,23/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lote-terreno-para-venda-tem-20175-metros-quadrados-em-residencial-drummond-ituiutaba-m-1029234690,28/Nov/2022,19:31:28
Terrenos,,R$ 190.000,Independência,Ituiutaba,MG,570m²,adriano,08/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/oportunidade-de-investimento-1107071530,28/Nov/2022,19:31:28
Terrenos,,R$ 200.000,Residencial Portal dos Ipês,Ituiutaba,MG,175m²,AGEU RIBEIRO DOS SANTOS SILVA,08/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-para-venda-em-ituiutaba-residencial-portal-dos-ipes-1094090810,28/Nov/2022,19:31:28
Outros,,null,Independência,Ituiutaba,MG,720m²,Bruno,17/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/area-de-lazer-1097857076,28/Nov/2022,19:31:28
Venda - casa em rua pública,2,R$ 165.000,Camargo,Ituiutaba,MG,61125m²,Sr. Dias,20/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-em-minas-gerais-ituiutaba-no-triangulo-mineiro-1111954433,28/Nov/2022,19:31:28
Venda - casa em rua pública,1,R$ 303.620,Santo Antônio,Ituiutaba,MG,229m²,Real FG Soluções Imobiliárias Creci 30838-J-SP,13/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/ituiutaba-mg-santo-antonio-1109142900,28/Nov/2022,19:31:28
Venda - casa em rua pública,3,R$ 395.000,Independência,Ituiutaba,MG,220m²,Carlos Eduardo,31/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/vendo-linda-casa-independencia-com-3-quartos-1103878796,28/Nov/2022,19:31:28
Venda - casa em rua pública,3,R$ 850.000,Residencial Portal dos Ipês,Ituiutaba,MG,134m²,AGEU RIBEIRO DOS SANTOS SILVA,08/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-em-ituiutaba-residencial-portal-dos-ipes-3-dormitorios-1-suite-2-banhe-1094105360,28/Nov/2022,19:31:28
Venda - casa em rua pública,4,R$ 200.000,Maria Vilela,Ituiutaba,MG,,Marcella,27/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/terreno-casa-comercio-1102335172,28/Nov/2022,19:31:28
Terrenos,,R$ 160.000,Centro,Ituiutaba,MG,420m²,Joao N.,16/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-420m2-1110341732,28/Nov/2022,19:31:28
Venda - casa em rua pública,3,R$ 600.000,Residencial Drummond,Ituiutaba,MG,181m²,Marques imóveis,08/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-3-dormitorios-a-venda-180-m-por-r-600-000-00-residencial-drummond-ituiutab-1024096916,28/Nov/2022,19:31:28
