tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,2,R$ 229.220,Laranjeiras,Uberlândia,MG,64m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-no-edificio-monte-negro-com-2-dorm-e-64m-laranjeiras-uberlandia-1098681162,24/Oct/2022,21:32:11
Venda - apartamento padrão,3,R$ 225.000,Santa Rosa,Uberlândia,MG,60m²,AVANTTI IMOBILIÁRIA,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-novo-a-venda-no-bairro-jardim-america-com-3-quartos-sendo-1-suite-1098676599,24/Oct/2022,21:32:12
Venda - casa em rua pública,2,R$ 290.000,Centro,Uberlândia,MG,75m²,CALIXTO NEGÓCIOS IMOBILIÁRIOS,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-bairro-sao-jorge-981465075,24/Oct/2022,21:32:12
Venda - apartamento padrão,2,R$ 259.190,Tubalina,Uberlândia,MG,62m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-no-andorras-com-2-dorm-e-62m-tubalina-uberlandia-1098683106,24/Oct/2022,21:32:12
Venda - casa em rua pública,3,R$ 460.000,Novo Mundo,Uberlândia,MG,95m²,Polo Negócios Imobiliários,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-nova-com-3-dormitorios-a-venda-no-novo-mundo-1098672168,24/Oct/2022,21:32:12
Venda - casa em condominio fechado,3,R$ 1.479.220,Novo Mundo,Uberlândia,MG,200m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-de-condominio-no-reserva-dos-ipes-com-3-dorm-e-200m-novo-mundo-uberlandia-1098681443,24/Oct/2022,21:32:12
Venda - casa em rua pública,3,R$ 930.000,Alto Umuarama,Uberlândia,MG,159m²,LB Negócios Imobiliários,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-alto-padrao-no-bairro-quinta-alto-umuarama-com-tres-quartos-1098674108,24/Oct/2022,21:32:12
Venda - casa em rua pública,2,R$ 299.780,Novo Mundo,Uberlândia,MG,62m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-2-dorm-e-62m-novo-mundo-uberlandia-1098681628,24/Oct/2022,21:32:12
Venda - apartamento padrão,2,R$ 174.000,Jardim Brasília,Uberlândia,MG,47m²,In House Negocios,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/uberlandia-apartamento-padrao-jardim-brasilia-1098677413,24/Oct/2022,21:32:12
Venda - apartamento padrão,2,R$ 105.000,Jardim Europa,Uberlândia,MG,44m²,In House Negocios,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/uberlandia-apartamento-padrao-jardim-europa-1098677675,24/Oct/2022,21:32:12
Venda - casa em rua pública,2,R$ 299.650,Novo Mundo,Uberlândia,MG,59m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-2-dorm-e-59m-novo-mundo-uberlandia-1098685146,24/Oct/2022,21:32:12
Venda - casa em rua pública,2,R$ 159.580,Morumbi,Uberlândia,MG,60m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-2-dorm-e-60m-morumbi-uberlandia-1098681504,24/Oct/2022,21:32:12
Venda - apartamento cobertura,2,R$ 330.000,Patrimônio,Uberlândia,MG,110m²,LB Negócios Imobiliários,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/cobertura-com-2-dormitorios-a-venda-110-m-por-r-330-000-00-copacabana-uberlandia-mg-1098673674,24/Oct/2022,21:32:12
Venda - casa em condominio fechado,4,R$ 3.500.000,Jardim Sul,Uberlândia,MG,385m²,H & L Consultoria de Imoveis,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-casa-cyrella-1095680260,24/Oct/2022,21:32:13
Venda - apartamento padrão,2,R$ 160.000,Mansour,Uberlândia,MG,45m²,Guia Destak Imóveis,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-apartamento-mansour-1098637612,24/Oct/2022,21:32:13
Venda - apartamento padrão,3,R$ 326.000,Saraiva,Uberlândia,MG,86m²,Guia Destak Imóveis,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-apartamento-saraiva-1098638021,24/Oct/2022,21:32:13
Venda - apartamento padrão,2,R$ 109.700,Jardim Europa,Uberlândia,MG,43m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-no-condominio-embaubas-com-2-dorm-e-43m-jardim-europa-uberlandia-1098680309,24/Oct/2022,21:32:13
Venda - casa em rua pública,3,R$ 650.000,Cidade Jardim,Uberlândia,MG,236m²,In House Negocios,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/uberlandia-casa-padrao-cidade-jardim-1098677538,24/Oct/2022,21:32:13
Venda - apartamento padrão,2,R$ 530.000,Santa Mônica,Uberlândia,MG,76m²,Najara Barreto Consultora Imobiliaria,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/lindo-apartamento-decorado-no-bairro-santa-monica-2-quartos-sendo-1-suite-e-varanda-gour-1098669784,24/Oct/2022,21:32:13
Venda - casa em rua pública,3,R$ 320.000,Centro,Uberlândia,MG,278m²,CALIXTO NEGÓCIOS IMOBILIÁRIOS,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-bairro-osvaldo-rezende-1015350112,24/Oct/2022,21:32:13
Venda - casa em rua pública,3,R$ 1.199.210,Nova Uberlândia,Uberlândia,MG,200m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-3-dorm-e-200m-nova-uberlandia-uberlandia-1098685194,24/Oct/2022,21:32:13
Venda - casa em rua pública,3,R$ 550.000,Segismundo Pereira,Uberlândia,MG,146m²,In House Negocios,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/uberlandia-casa-padrao-santa-monica-1098677609,24/Oct/2022,21:32:14
Venda - casa em rua pública,2,R$ 246.360,Laranjeiras,Uberlândia,MG,60m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-2-dorm-e-60m-laranjeiras-uberlandia-1098683095,24/Oct/2022,21:32:14
Venda - apartamento padrão,3,R$ 650.000,Morada da Colina,Uberlândia,MG,96m²,Gold Negócios Imobiliários,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-venda-em-uberlandia-morada-da-colina-3-dormitorios-1-suite-2-banheiro-1098654499,24/Oct/2022,21:32:14
Venda - casa em condominio fechado,4,R$ 2.500.000,Granja Marileusa,Uberlândia,MG,317m²,DELTA IMOVEIS E ADMINISTRACAO LIMITADA - EPP,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-4-dormitorios-a-venda-316-m-por-r-2-500-000-00-granja-marileusa-uberlandia-1047977826,24/Oct/2022,21:32:14
Venda - apartamento padrão,2,R$ 314.450,Santa Mônica,Uberlândia,MG,60m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-no-residencial-sunflower-com-2-dorm-e-60m-santa-monica-uberlandia-1098685532,24/Oct/2022,21:32:14
Venda - apartamento padrão,2,R$ 202.452,Laranjeiras,Uberlândia,MG,54m²,STORTE IMÓVEIS LTDA,20/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamentos-com-2-dormitorios-a-venda-54-27m-a-63-17m-sendo-a-partir-de-r-202-452-1049032079,24/Oct/2022,21:32:14
Venda - casa em rua pública,3,R$ 190.000,Guarani,Uberlândia,MG,47m²,DELTA IMOVEIS E ADMINISTRACAO LIMITADA - EPP,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-3-dormitorios-a-venda-46-m-por-r-190-000-00-guarani-uberlandia-mg-1047977817,24/Oct/2022,21:32:14
Venda - casa em rua pública,3,R$ 1.900.000,Aclimação,Uberlândia,MG,231m²,In House Negocios,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/uberlandia-casa-padrao-aclimacao-1098680671,24/Oct/2022,21:32:14
Venda - casa em rua pública,2,R$ 249.770,Planalto,Uberlândia,MG,75m²,USUÁRIO NEWCORE,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-2-dorm-e-75m-planalto-uberlandia-1098680605,24/Oct/2022,21:32:14
Venda - apartamento padrão,2,R$ 255.000,Segismundo Pereira,Uberlândia,MG,52m²,AVANTTI IMOBILIÁRIA,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/lindo-apartamento-decorado-e-mobiliado-apenas-255-mil-no-santa-monica-prontinho-pra-morar-1047003063,24/Oct/2022,21:32:14
Venda - apartamento padrão,3,R$ 1.100.000,Tubalina,Uberlândia,MG,146m²,Ludmilla Borges,20/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/belissimo-apartamento-localizacao-privilegiada-ao-lado-praia-clube-vista-magnifica-1083274024,24/Oct/2022,21:32:14
Venda - apartamento padrão,3,R$ 850.000,Saraiva,Uberlândia,MG,119m²,LB Negócios Imobiliários,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-alto-padrao-no-bairro-saraiva-com-tres-quartos-1098678806,24/Oct/2022,21:32:14
Venda - casa em rua pública,3,R$ 975.000,Jardim Karaíba,Uberlândia,MG,208m²,Polo Negócios Imobiliários,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-a-venda-no-bairro-itapema-sul-em-uberlandia-1098673656,24/Oct/2022,21:32:15
Venda - apartamento padrão,3,R$ 320.000,Santa Mônica,Uberlândia,MG,96m²,Guia Destak Imóveis,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-apartamento-santa-monica-1037214299,24/Oct/2022,21:32:15
Venda - casa em rua pública,3,R$ 900.000,Lídice,Uberlândia,MG,290m²,DELTA IMOVEIS E ADMINISTRACAO LIMITADA - EPP,19/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-3-dormitorios-290-m-venda-por-r-900-000-00-ou-aluguel-por-r-3-300-00-vigi-1098633012,24/Oct/2022,21:32:15
