tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,2,R$ 105.000,Chácaras Tubalina e Quartel,Uberlândia,MG,47m²,BOM D+ Negócios Imobiliários,08/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-venda-chacaras-tubalina-uberlandia-1-vaga-1032510573,07/Nov/2022,21:13:58
Venda - apartamento padrão,2,R$ 240.000,Santa Mônica,Uberlândia,MG,52m²,BOM D+ Negócios Imobiliários,08/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-2-dorms-para-venda-santa-monica-uberlandia-52m-1-vaga-1076422048,07/Nov/2022,21:13:59
Venda - casa em rua pública,2,R$ 255.000,Laranjeiras,Uberlândia,MG,66m²,Aliança Consultoria de Imóveis Ltda,08/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-2-quarto-c-suites-laranjeiras-uberlandia-ca1871-1005151089,07/Nov/2022,21:13:59
Venda - casa em rua pública,3,R$ 460.000,Segismundo Pereira,Uberlândia,MG,93m²,JVN Negócios Imobiliários,08/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-a-venda-com-93-m-com-3-quartos-sendo-um-com-suite-no-segismundo-pereira-uberlandia-1096675001,07/Nov/2022,21:13:59
Venda - apartamento padrão,3,R$ 985.000,Saraiva,Uberlândia,MG,117m²,JVN Negócios Imobiliários,08/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-tem-117-m-com-3-quartos-sendo-uma-suite-com-closet-no-saraiva-uberlandia-1073768265,07/Nov/2022,21:13:59
Venda - apartamento padrão,3,R$ 314.999,Tabajaras,Uberlândia,MG,109m²,Thiago Ribeiro,07/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-venda-tem-109-metros-quadrados-com-3-quartos-fundinho-1055446603,07/Nov/2022,21:13:59
Venda - casa em rua pública,3,R$ 580.000,Centro,Uberlândia,MG,215m²,CALIXTO NEGÓCIOS IMOBILIÁRIOS,07/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-bairro-cidade-jardim-1032603042,07/Nov/2022,21:13:59
Venda - casa em rua pública,3,R$ 210.000,Centro,Uberlândia,MG,110m²,CALIXTO NEGÓCIOS IMOBILIÁRIOS,07/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-sao-jorge-1028869281,07/Nov/2022,21:13:59
Venda - casa em rua pública,3,R$ 600.000,Centro,Uberlândia,MG,130m²,CALIXTO NEGÓCIOS IMOBILIÁRIOS,07/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-bairro-santa-monica-1033792237,07/Nov/2022,21:13:59
Venda - casa em condominio fechado,3,R$ 1.800.000,Jardim Sul,Uberlândia,MG,212m²,Imóveis Rony,07/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-de-condominio-para-venda-com-212-metros-quadrados-com-3-quartos-995491730,07/Nov/2022,21:13:59
Venda - casa em rua pública,3,R$ 400.000,São Jorge,Uberlândia,MG,150m²,EVERTON IMOBILIARIA,07/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-3-quartos-no-bairro-sao-jorge-5-em-uberlandia-mg-1029666144,07/Nov/2022,21:13:59
Venda - apartamento padrão,4,R$ 1.510.000,Martins,Uberlândia,MG,217m²,MAYRA BORGES PEREIRA GARCIA,07/11/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-04-suites-proximo-ao-mercado-municipal-1037454582,07/Nov/2022,21:13:59
