tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,3,R$ 409.900,Tubalina,Uberlândia,MG,77m²,Katiuscia Fernandes Borges,12/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-venda-com-77-metros-quadrados-com-3-quartos-em-tubalina-uberlandia-mg-967137854,17/Oct/2022,22:55:19
Venda - apartamento padrão,2,R$ 230.000,Santa Mônica,Uberlândia,MG,87m²,ARANTES IMOVEIS,12/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-apartamento-santa-monica-1019875566,17/Oct/2022,22:55:20
Venda - casa em rua pública,3,R$ 3.200.000,Nova Uberlândia,Uberlândia,MG,334m²,Silmo Imóveis,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-sobrado-nova-uberlandia-947479406,17/Oct/2022,22:55:20
Venda - apartamento padrão,2,R$ 260.000,Santa Mônica,Uberlândia,MG,71m²,Guinza Imóveis,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-a-venda-no-finotti-1022528048,17/Oct/2022,22:55:20
Venda - apartamento padrão,3,R$ 1.200.000,Martins,Uberlândia,MG,199m²,Objetiva Imóveis S/S Imóveis Ltda Me,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-a-venda-3-quartos-3-suites-3-vagas-martins-uberlandia-mg-1070648018,17/Oct/2022,22:55:20
Venda - apartamento padrão,3,R$ 249.120,Grand Ville,Uberlândia,MG,66m²,Guinza Imóveis,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-com-3-dormitorios-a-venda-66-m-por-r-249-119-51-grand-ville-uberlandia-1049778353,17/Oct/2022,22:55:20
Venda - casa em condominio fechado,3,R$ 1.300.000,Lagoinha,Uberlândia,MG,236m²,LB Negócios Imobiliários,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-no-condominio-carmel-com-tres-suites-1064095533,17/Oct/2022,22:55:20
Venda - casa em rua pública,5 ou mais,R$ 5.440.000,Jardim Colina,Uberlândia,MG,626m²,Inovare Negócios Imobiliários,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-6-dormitorios-a-venda-626-m-por-r-5-440-000-00-jardim-colina-uberlandia-mg-1095654692,17/Oct/2022,22:55:20
Venda - casa em rua pública,4,R$ 3.300.000,Morada da Colina,Uberlândia,MG,580m²,Vitrine Negócios - LTDA ME,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-4-dorms-morada-da-colina-uberlandia-r-3-3-mi-cod-287-962260384,17/Oct/2022,22:55:21
Venda - apartamento padrão,3,R$ 350.000,Lídice,Uberlândia,MG,120m²,MODULO IMÓVEIS VENDA,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-a-venda-3-quartos-1-suite-1-vaga-lidice-uberlandia-mg-1084976831,17/Oct/2022,22:55:21
Venda - casa em rua pública,2,R$ 235.000,Maria Rezende,Uberlândia,MG,125m²,Lucelia Batista do Nascimento,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-em-uberlandia-maria-rezende-2-dormitorios-1-suite-2-banheiros-2-vagas-1095650435,17/Oct/2022,22:55:21
Venda - apartamento padrão,3,R$ 990.000,Jardim Karaíba,Uberlândia,MG,115m²,Aline A. M. T. Vieira,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-venda-com-115-metros-quadrados-com-3-quartos-sense-lumini-brasal-uberl-1061972465,17/Oct/2022,22:55:21
Venda - apartamento padrão,4,R$ 420.000,Saraiva,Uberlândia,MG,102m²,FR IMOVEIS DE LUXO,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/uberlandia-apartamento-padrao-santa-maria-1095650580,17/Oct/2022,22:55:21
Venda - casa em rua pública,2,R$ 70.000,Tocantins,Uberlândia,MG,,Thais García Silva,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-1095654573,17/Oct/2022,22:55:21
Venda - casa em rua pública,4,R$ 1.699.990,Morada da Colina,Uberlândia,MG,515m²,Caira Fernanda,12/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-no-bairro-altamira-1017940774,17/Oct/2022,22:55:21
Venda - apartamento padrão,3,R$ 1.469.302,Jardim Karaíba,Uberlândia,MG,151m²,DELTA IMOVEIS E ADMINISTRACAO LIMITADA - EPP,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-com-3-dormitorios-a-venda-151-m-por-r-1-469-301-80-jardim-karaiba-uberl-1047977739,17/Oct/2022,22:55:21
Venda - apartamento cobertura,5 ou mais,R$ 1.190.000,Patrimônio,Uberlândia,MG,212m²,Polo Negócios Imobiliários,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-a-venda-no-copacabana-em-uberlandia-1053113791,17/Oct/2022,22:55:21
Venda - casa em rua pública,3,R$ 460.000,Jardim Ipanema,Uberlândia,MG,191m²,DELTA IMOVEIS E ADMINISTRACAO LIMITADA - EPP,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-3-dormitorios-a-venda-191-m-por-r-460-000-00-jardim-ipanema-uberlandia-mg-1047977629,17/Oct/2022,22:55:21
Venda - casa em rua pública,2,R$ 225.000,Morumbi,Uberlândia,MG,60m²,ARANTES IMÓVEIS ALUGUEL,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-casa-morumbi-1076092279,17/Oct/2022,22:55:22
Venda - casa em rua pública,2,R$ 250.000,Granada,Uberlândia,MG,50m²,N2  Imobiliária,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-predio-jardim-botanico-1084374855,17/Oct/2022,22:55:22
Venda - casa em condominio fechado,3,R$ 2.700.000,Jardim Sul,Uberlândia,MG,250m²,Moriah Empreendimentos Imobiliários,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-terrea-condominio-cyrela-mobiliada-1049555081,17/Oct/2022,22:55:22
Venda - apartamento padrão,2,R$ 1,Santa Mônica,Uberlândia,MG,61m²,Fernanda P.,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-novo-bairro-santa-monica-1095665901,17/Oct/2022,22:55:22
Venda - casa em rua pública,3,R$ 550.000,Santa Mônica,Uberlândia,MG,219m²,DO SEU JEITO IMÓVEIS,11/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-a-venda-no-bairro-santa-monica-uberlandia-1035704145,17/Oct/2022,22:55:22
