tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 280.000,Green Park,Dourados,MS,,Avivar Imóveis,25/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-no-green-park-1065427442,24/Oct/2022,21:33:53
Terrenos,,R$ 205.700,Jardim Cristhais,Dourados,MS,411m²,Imobiliária Continental,24/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1091380032,24/Oct/2022,21:33:53
Terrenos,,R$ 137.000,Jardim Cristhais,Dourados,MS,324m²,Imobiliária Continental,24/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090972020,24/Oct/2022,21:33:53
Terrenos,,R$ 135.000,Jardim Cristhais,Dourados,MS,306m²,Imobiliária Continental,24/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090964604,24/Oct/2022,21:33:53
Terrenos,,R$ 1.000,Jardim São Pedro,Dourados,MS,100m²,Imobiliária Continental,24/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-terreno-padrao-jardim-del-rey-1019313826,24/Oct/2022,21:33:53
Terrenos,,R$ 122.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,23/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090026839,24/Oct/2022,21:33:53
Terrenos,,R$ 122.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,23/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090021888,24/Oct/2022,21:33:53
Terrenos,,R$ 189.500,Jardim Cristhais,Dourados,MS,336m²,Imobiliária Continental,22/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090023333,24/Oct/2022,21:33:53
Terrenos,,R$ 130.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,21/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090022920,24/Oct/2022,21:33:54
Terrenos,,R$ 1.400.000,Centro,Dourados,MS,700m²,Vendedor,24/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-comercial-na-weimar-torres-1101179287,24/Oct/2022,21:33:54
Terrenos,,R$ 172.000,Jardim Cristhais,Dourados,MS,325m²,Imobiliária Continental,23/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090023327,24/Oct/2022,21:33:54
Terrenos,,R$ 163.000,Jardim Cristhais,Dourados,MS,325m²,Imobiliária Continental,22/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090023400,24/Oct/2022,21:33:54
Terrenos,,R$ 117.000,Residencial Bonanza,Dourados,MS,473m²,Thiago Oliveira,22/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-no-bonanza-2-quitado-1093527833,24/Oct/2022,21:33:54
Terrenos,,R$ 128.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,17/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090022908,24/Oct/2022,21:33:54
Terrenos,,R$ 148.000,Loteamento Pousada dos Pássaros,Dourados,MS,0m²,Nalbert H. G. Ribeiro,22/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/venda-lote-no-porto-royale-257m-985367111,24/Oct/2022,21:33:54
Terrenos,,R$ 1.650.000,Área Rural de Dourados,Dourados,MS,,Avivar Imóveis,25/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/area-a-venda-no-nucleo-1054453743,24/Oct/2022,21:33:54
Terrenos,,R$ 125.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,13/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-1089488609,24/Oct/2022,21:33:54
Terrenos,,R$ 27.000,Centro,Dourados,MS,200m²,DINHO,17/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-no-cidade-jardim-iv-1097774302,24/Oct/2022,21:33:54
Terrenos,,R$ 300.000,Parque das Nações II,Dourados,MS,720m²,JOSÉ AGUILEO SANABRIA,17/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/lote-de-terreno-em-dourados-ms-1079035175,24/Oct/2022,21:33:54
Terrenos,,R$ 59.900,Residencial Cidade Jardim I,Dourados,MS,,ANDRE EDUARDO FERREIRA MARQUES,22/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-quitado-1039001267,24/Oct/2022,21:33:54
Terrenos,,R$ 1.800,Jardim Água Boa,Dourados,MS,200m²,Imobiliária Continental,17/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-terreno-padrao-jardim-agua-boa-1019314986,24/Oct/2022,21:33:55
Terrenos,,R$ 180.000,Jardim Cristhais,Dourados,MS,360m²,Imobiliária Continental,24/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-terreno-padrao-jardim-cristhais-1019214402,24/Oct/2022,21:33:55
Terrenos,,R$ 90.000,Centro,Dourados,MS,200m²,Michele,16/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/vendo-terreno-quitado-em-dourados-ms-1097504486,24/Oct/2022,21:33:55
Terrenos,,R$ 130.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,17/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090021796,24/Oct/2022,21:33:55
Terrenos,,R$ 280.000,Sitioca Ouro Fino,Dourados,MS,1234m²,Imobiliária Continental,21/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-terreno-padrao-sitioca-ouro-fino-1061554630,24/Oct/2022,21:33:55
Terrenos,,R$ 138.000,Jardim Cristhais,Dourados,MS,324m²,Imobiliária Continental,24/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090963651,24/Oct/2022,21:33:55
Terrenos,,R$ 130.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,22/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090962447,24/Oct/2022,21:33:55
Terrenos,,R$ 189.500,Jardim Cristhais,Dourados,MS,336m²,Imobiliária Continental,23/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090507889,24/Oct/2022,21:33:55
Terrenos,,R$ 120.000,Campo Dourado,Dourados,MS,0m²,JOSÉ AGUILEO SANABRIA,22/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-em-condominio-fechado-em-dourados-ms-994243369,24/Oct/2022,21:33:55
Terrenos,,R$ 172.000,Jardim Cristhais,Dourados,MS,325m²,Imobiliária Continental,21/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090503972,24/Oct/2022,21:33:55
Terrenos,,R$ 193.000,Jardim Cristhais,Dourados,MS,377m²,Imobiliária Continental,22/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1090503963,24/Oct/2022,21:33:55
Terrenos,,R$ 120,Jardim Caramuru,Dourados,MS,,Imobiliária Continental,23/10/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-terreno-padrao-jardim-caramuru-1019313741,24/Oct/2022,21:33:55
