tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em condominio fechado,5 ou mais,R$ 1.900.000,Mirante,Campina Grande,PB,351m²,Lima Lucena,20/04/2022,https://pb.olx.com.br/paraiba/imoveis/alphaville-mirante-05-suites-sendo-01-master-1022539099,05/Dec/2022,20:37:42
Venda - apartamento padrão,2,R$ 140.000,Palmeira Imperial,Campina Grande,PB,61m²,ZSB BANCARIOS IMOBILIARIA LTDA - ME,27/08/2022,https://pb.olx.com.br/paraiba/imoveis/apartamento-com-2-dormitorios-a-venda-61-m-por-r-140-000-00-palmeira-imperial-campi-1046418997,05/Dec/2022,20:37:43
Venda - casa em condominio fechado,5 ou mais,R$ 1.100.000,Itararé,Campina Grande,PB,250m²,Lima Lucena,20/04/2022,https://pb.olx.com.br/paraiba/imoveis/terras-alphaville-projeto-exclusivo-com-05-quartos-02-suites-em-fase-de-construcao-1022539011,05/Dec/2022,20:37:43
Venda - casa em rua pública,2,R$ 179.690,José Pinheiro,Campina Grande,PB,100m²,USUÁRIO NEWCORE,24/09/2022,https://pb.olx.com.br/paraiba/imoveis/casa-com-2-dorm-e-100m-jose-pinheiro-campina-grande-1088449244,05/Dec/2022,20:37:43
Venda - casa em condominio fechado,3,R$ 420.000,Serrotão,Campina Grande,PB,98m²,Paulo Andrade,21/02/2022,https://pb.olx.com.br/paraiba/imoveis/casa-terrea-monteville-997047081,05/Dec/2022,20:37:43
Venda - casa em condominio fechado,4,R$ 1.100.000,Itararé,Campina Grande,PB,244m²,Paulo Andrade,15/02/2022,https://pb.olx.com.br/paraiba/imoveis/casa-duplex-terrasalphaville-982475256,05/Dec/2022,20:37:43
Venda - casa em rua pública,2,R$ 149.000,Serrotão,Campina Grande,PB,61m²,Paulo Andrade,18/02/2022,https://pb.olx.com.br/paraiba/imoveis/casas-pronta-pra-morar-no-alameda-opcao-de-com-ou-sem-suite-982575542,05/Dec/2022,20:37:43
Venda - casa em condominio fechado,2,R$ 159.660,Três Irmãs,Campina Grande,PB,47m²,USUÁRIO NEWCORE,12/09/2022,https://pb.olx.com.br/paraiba/imoveis/casa-de-condominio-no-serra-nobre-com-2-dorm-e-47m-tres-irmas-campina-grande-1082989152,05/Dec/2022,20:37:43
Venda - casa em condominio fechado,3,R$ 350.000,Centenário,Campina Grande,PB,101m²,SO OFERTAS IMOVEIS IMOBILIARIA EIRELI - ME,20/09/2022,https://pb.olx.com.br/paraiba/imoveis/casa-de-condominio-com-3-suites-bairro-centenario-1086673238,05/Dec/2022,20:37:43
Venda - apartamento padrão,3,R$ 719.990,Centro,Campina Grande,PB,115m²,Lima Lucena,20/04/2022,https://pb.olx.com.br/paraiba/imoveis/residencial-solar-nobre-apto-alto-padrao-agende-sua-visita-1022539058,05/Dec/2022,20:37:44
Venda - apartamento padrão,1,R$ 450.000,Centro,Campina Grande,PB,51m²,Fabiane C. Estrela,22/09/2022,https://pb.olx.com.br/paraiba/imoveis/apartamento-para-venda-tem-51-metros-quadrados-com-1-quarto-em-centro-campina-grande-p-1087751718,05/Dec/2022,20:37:44
Venda - casa em condominio fechado,4,R$ 649.998,Serrotão,Campina Grande,PB,181m²,Lima Lucena,20/04/2022,https://pb.olx.com.br/paraiba/imoveis/parkville-exlusividade-com-04-quartos-sendo-01-suite-master-1022539120,05/Dec/2022,20:37:44
Venda - casa em condominio fechado,4,R$ 1.100.000,Itararé,Campina Grande,PB,251m²,Lima Lucena,21/09/2022,https://pb.olx.com.br/paraiba/imoveis/terras-alphaville-casa-de-altissimo-padrao-04-stes-sendo-01-mstr-1087387141,05/Dec/2022,20:37:44
Venda - casa em condominio fechado,3,R$ 400.000,Serrotão,Campina Grande,PB,100m²,Paulo Andrade,17/02/2022,https://pb.olx.com.br/paraiba/imoveis/casa-monteville-fino-acabamento-982569286,05/Dec/2022,20:37:44
Venda - casa em condominio fechado,4,R$ 980.000,Itararé,Campina Grande,PB,250m²,Lima Lucena,20/04/2022,https://pb.olx.com.br/paraiba/imoveis/casa-incrivel-no-terras-alphaville-pronta-pra-morar-1022538987,05/Dec/2022,20:37:44
Venda - casa em condominio fechado,3,R$ 469.100,Serrotão,Campina Grande,PB,98m²,USUÁRIO NEWCORE,25/09/2022,https://pb.olx.com.br/paraiba/imoveis/casa-de-condominio-no-monteville-com-3-dorm-e-98m-serrotao-campina-grande-1088779436,05/Dec/2022,20:37:44
