tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 800.000,Santa Rosa,Londrina,PR,148m²,Rogério Dutra de Souza,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-disponivel-para-venda-guanabara-gleba-palhano-1019476042,05/Dec/2022,21:15:28
Venda - apartamento padrão,2,R$ 170.000,Jardim Jóquei Club,Londrina,PR,41m²,GENTI - GESTAO DE NEGOCIOS E TRANSACOES IMOBILIARIAS,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-com-2-dormitorios-a-venda-40-m-por-r-170-000-00-jardim-jockey-club-lond-1104519918,05/Dec/2022,21:15:29
Venda - apartamento padrão,3,R$ 510.000,Parque Jamaica,Londrina,PR,71m²,GENTI - GESTAO DE NEGOCIOS E TRANSACOES IMOBILIARIAS,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-com-3-dormitorios-a-venda-71-m-por-r-510-000-00-parque-jamaica-londrina-1106034619,05/Dec/2022,21:15:29
Venda - casa em rua pública,1,R$ 350.000,Conjunto Semiramis Barros Braga,Londrina,PR,250m²,Imobiliaria VIP,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-1-quarto-bairro-conjunto-semiramis-barros-braga-em-londrina-1007710259,05/Dec/2022,21:15:30
Venda - apartamento padrão,3,R$ 300.000,Parque Residencial Alcântara,Londrina,PR,60m²,Vitor Inouye,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-para-venda-possui-60-metros-quadrados-com-3-quartos-1098345850,05/Dec/2022,21:15:30
Venda - apartamento padrão,3,R$ 400.000,Aurora,Londrina,PR,70m²,Vitor Inouye,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-de-3-quartos-1-suite-1-vaga-bairro-aurora-londrina-1011037217,05/Dec/2022,21:15:30
Venda - casa em rua pública,3,R$ 330.000,Parque Residencial Joaquim Toledo Piza,Londrina,PR,150m²,HS Imoveis,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-3-quartos-bairro-parque-residencial-joao-piza-em-londrina-1025562417,05/Dec/2022,21:15:30
Venda - casa em rua pública,3,R$ 230.000,Leonor,Londrina,PR,179m²,HS Imoveis,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-3-quartos-bairro-leonor-em-londrina-1025573727,05/Dec/2022,21:15:30
Venda - apartamento padrão,3,R$ 900.000,Caiçaras,Londrina,PR,206m²,HS Imoveis,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-com-3-quartos-no-edf-portal-do-igapo-bairro-caicaras-em-londrina-1035122942,05/Dec/2022,21:15:30
Venda - casa em rua pública,3,R$ 250.000,Alpes,Londrina,PR,70m²,HS Imoveis,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-3-quartos-bairro-alpes-em-londrina-1038123664,05/Dec/2022,21:15:30
Venda - casa em vila,2,R$ 225.000,Leonor,Londrina,PR,70m²,ACM,06/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/germinada-vende-se-troca-permuta-se-1118102299,05/Dec/2022,21:15:30
Venda - casa em rua pública,4,R$ 500.000,Ernani Moura Lima,Londrina,PR,,ELIANO,05/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/vendo-um-sobrado-1118101908,05/Dec/2022,21:15:31
Venda - casa em rua pública,4,R$ 1.250.000,Maringá,Londrina,PR,286m²,Rosângela Mattos Corretora de Imóveis,05/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/sobrado-no-jardim-maringa-com-piscina-1113267915,05/Dec/2022,21:15:31
Venda - apartamento padrão,4,R$ 1.495.000,Centro,Londrina,PR,420m²,Gleba Imóveis,05/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/edificio-comendador-centro-londrina-420m-ap2069-916361897,05/Dec/2022,21:15:31
Venda - casa em rua pública,1,R$ 400.000,Jardim Agari,Londrina,PR,111m²,Takahashi e Ferreira,05/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/londrina-casa-padrao-jardim-agari-1112801817,05/Dec/2022,21:15:31
Venda - apartamento padrão,2,R$ 300.000,Vila Ipiranga,Londrina,PR,99m²,Multi Imóveis,05/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/apto-central-com-suite-mobiliado-perto-da-unifil-edificio-los-angeles-994517921,05/Dec/2022,21:15:31
Venda - casa em rua pública,3,R$ 300.000,Loteamento Chamonix,Londrina,PR,120m²,Mario Souza Negócios Imobiliários,05/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-3-quartos-bairro-loteamento-chamonix-em-londrina-1107163981,05/Dec/2022,21:15:31
Venda - apartamento padrão,3,R$ 515.000,Santa Rosa,Londrina,PR,81m²,Fk Imóveis Fk Imóveis Administração Locação e Venda de Imóveis em Londrina PR,05/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/edificio-evolution-home-av-ayrton-senna-gleba-palhano-1020592075,05/Dec/2022,21:15:31
Venda - casa em rua pública,3,R$ 400.000,Jardim Neman Sahyun,Londrina,PR,150m²,Fk Imóveis Fk Imóveis Administração Locação e Venda de Imóveis em Londrina PR,05/12/2022,https://pr.olx.com.br/regiao-de-londrina/imoveis/sobrado-para-venda-tem-150-metros-quadrados-com-3-quartos-em-jardim-neman-sahyun-londrin-1099294261,05/Dec/2022,21:15:31
