tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 395.500,Vila Marumby,Maringá,PR,102m²,JOÃO GRANADO IMOBILIÁRIA,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/sobrado-com-3-quartos-a-venda-102-m-na-vila-marumby-maringa-pr-1016043744,05/Dec/2022,20:55:21
Venda - apartamento padrão,2,R$ 1.015.980,Zona 01,Maringá,PR,25m²,Meneghetti Imoveis,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/ed-residencial-comercial-recco-oportunidade-unica-em-maringa-pr-tipo-apartamento-1113448147,05/Dec/2022,20:55:22
Venda - casa em rua pública,3,R$ 439.000,Jardim Oásis,Maringá,PR,100m²,Herval Imobiliária,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-3-quartos-a-venda-100-m-por-r-439-000-jardim-oasis-maringa-pr-1100465096,05/Dec/2022,20:55:22
Venda - casa em rua pública,3,R$ 690.000,Jardim Leblon,Maringá,PR,110m²,Locar Facil,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-jacuzzi-a-venda-110-m-por-r-690-000-jardim-leblon-maringa-pr-1098713789,05/Dec/2022,20:55:22
Venda - casa em rua pública,5 ou mais,R$ 1.350.000,Jardim Espanha,Maringá,PR,312m²,KÁTIA SUAVE BOTELHO SANTOS CORRETORA DE IMÓVEIS,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/sobrado-para-venda-em-maringa-jardim-espanha-5-dormitorios-1-suite-4-banheiros-4-vaga-1079598335,05/Dec/2022,20:55:22
Venda - apartamento padrão,3,R$ 495.000,Vila Bosque,Maringá,PR,106m²,Opção Imóveis,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/venda-apartamento-com-106-84-m-3-dormitorio-s-1-vaga-s-zona-01-maringa-1099167236,05/Dec/2022,20:55:22
Venda - apartamento padrão,2,R$ 900.000,Zona 08,Maringá,PR,83m²,LOCAR FACIL ALUGUEL DE IMOVEIS,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/apartamento-com-2-dormitorios-a-venda-83-m-por-r-900-000-00-zona-08-maringa-pr-1107778776,05/Dec/2022,20:55:22
Venda - casa em rua pública,1,R$ 260.000,Conjunto João de Barro Itaparica,Maringá,PR,78m²,IDEAL MARINGÁ EMPREENDIMENTOS IMOBILIÁRIOS,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-maringa-pr-988370253,05/Dec/2022,20:55:22
Venda - apartamento padrão,3,R$ 785.000,Zona 07,Maringá,PR,130m²,Shalom Imóveis,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/venda-apartamento-com-130-m-3-dormitorio-s-2-vaga-s-novo-centro-maringa-1078660625,05/Dec/2022,20:55:23
Venda - casa em rua pública,3,R$ 700.000,Jardim Espanha,Maringá,PR,129m²,Herval Imobiliária,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-3-dormitorios-a-venda-129-m-por-r-700-000-00-jardim-espanha-maringa-pr-996886860,05/Dec/2022,20:55:23
Venda - apartamento padrão,3,R$ 2.150.000,Zona 01,Maringá,PR,207m²,Prado Imoveis,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/apartamento-com-3-dormitorios-a-venda-207-m-por-r-2-150-000-00-zona-01-maringa-pr-1023375557,05/Dec/2022,20:55:23
Venda - casa em rua pública,3,R$ 638.000,Vila Emília,Maringá,PR,127m²,Locar Facil,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-3-dormitorios-a-venda-127-m-por-r-638-000-00-vila-emilia-maringa-pr-1104732140,05/Dec/2022,20:55:23
Venda - casa em rua pública,2,R$ 280.000,Zona 01,Maringá,PR,90m²,Lucileide Nascimento,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/vendo-casa-1113384995,05/Dec/2022,20:55:23
Venda - casa em rua pública,2,R$ 80.000,Altaneira,Maringá,PR,100m²,Kelly de Freitas Scarpino,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/credito-imobiliario-sem-juros-em-ate-240x-1113379847,05/Dec/2022,20:55:23
Venda - casa em rua pública,3,R$ 498.000,Jardim Botânico,Maringá,PR,103m²,HERVAL NEGOCIOS IMOBILIARIOS LTDA - MV,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-3-quartos-a-venda-103-m-por-r-498-000-jardim-botanico-maringa-pr-1113379835,05/Dec/2022,20:55:23
Venda - apartamento padrão,3,R$ 550.000,Zona 01,Maringá,PR,197m²,IMOBILIARIA SILVIO S. IWATA,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/duplex-a-venda-maringa-zona-01-san-raphael-1074058166,05/Dec/2022,20:55:23
Venda - apartamento padrão,3,R$ 200.000,Zona 01,Maringá,PR,88m²,Taimara,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/apartamento-venda-1113371328,05/Dec/2022,20:55:23
Venda - casa em rua pública,4,R$ 820.000,Zona 07,Maringá,PR,234m²,JOÃO GRANADO IMOBILIÁRIA,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/amplo-sobrado-com-4-quartos-234-m-zona-07-maringa-pr-1070242189,05/Dec/2022,20:55:23
Venda - casa em rua pública,3,R$ 750.000,Parque Residencial Quebec,Maringá,PR,146m²,Shalom Imóveis,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/venda-casa-com-146-m-3-dormitorio-s-2-vaga-s-parque-residencial-quebec-maringa-1064286720,05/Dec/2022,20:55:23
Venda - casa em rua pública,3,R$ 780.000,Jardim Paraizo,Maringá,PR,151m²,Massaru Empreendimentos Imobiliarios,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/maringa-casa-padrao-jd-paraizo-1104633167,05/Dec/2022,20:55:23
