tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 350.000,Condomínio Santa Marina,Maringá,PR,,HERVAL NEGOCIOS IMOBILIARIOS LTDA - MV,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-de-420-m-a-venda-por-r-350-000-00-no-jardim-oriental-em-maringa-pr-1017765063,14/Nov/2022,20:33:54
Terrenos,,R$ 280.000,Jardim Tóquio,Maringá,PR,229m²,Edenilson Corretor de Imóveis,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jardim-tokio-1026356204,14/Nov/2022,20:33:55
Terrenos,,R$ 280.000,Jardim Paraíso,Maringá,PR,350m²,WASHI EMPREENDIMENTOS IMOBILIÁRIOS,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-350-m-por-r-280-000-00-jardim-paraiso-maringa-pr-996305521,14/Nov/2022,20:33:55
Terrenos,,R$ 230.000,Jardim Atami,Maringá,PR,300m²,Cleverson Martins,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-inteiro-a-venda-jardim-atami-em-maringa-300-metros-1055449952,14/Nov/2022,20:33:55
Terrenos,,R$ 320.000,Jardim São Silvestre,Maringá,PR,360m²,Cleverson Martins,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/lote-terreno-para-venda-tem-360-metros-quadrados-em-jardim-sao-silvestre-maringa-pr-1039382352,14/Nov/2022,20:33:55
Terrenos,,R$ 310.000,Zona 01,Maringá,PR,400m²,adilson,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/vendo-lote-terreno-jardim-espanha-1068526339,14/Nov/2022,20:33:55
Terrenos,,R$ 3.128,Jardim Paris III,Maringá,PR,480m²,CHICO 44 9-9972.7099,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jd-europa-comercial-837223573,14/Nov/2022,20:33:55
Terrenos,,null,Jardim Paulista IV,Maringá,PR,150m²,Jhoni,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/vendo-ou-troco-1109484306,14/Nov/2022,20:33:55
Terrenos,,R$ 900.000,Zona 07,Maringá,PR,809m²,Ingalar Imóveis,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-para-venda-em-maringa-zona-07-1060248251,14/Nov/2022,20:33:55
Terrenos,,R$ 5.100,Zona 01,Maringá,PR,520m²,Imobiliaria  Santa Catarina,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/maringa-terreno-padrao-centro-1092335456,14/Nov/2022,20:33:55
Terrenos,,R$ 670.000,Chácaras Aeroporto,Maringá,PR,639m²,Shalom Imóveis,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-638-m-por-r-670-000-00-chacaras-aeroporto-maringa-pr-1064286531,14/Nov/2022,20:33:55
Terrenos,,R$ 1.100.000,Zona 03,Maringá,PR,600m²,Grupo Nobre investimentos imobiliários,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-rua-santos-dumont-zona-03-1088200248,14/Nov/2022,20:33:55
Terrenos,,R$ 100.000,Jardim Paris,Maringá,PR,1000m²,gilvan14000,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-1000-quadrado-condominio-1106897327,14/Nov/2022,20:33:55
Terrenos,,R$ 140.000,Jardim Alvorada,Maringá,PR,357m²,luizguerra.lg,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-bom-jardim-maringa-1092265615,14/Nov/2022,20:33:56
Terrenos,,R$ 375.000,Jardim Espanha,Maringá,PR,400m²,Herval Imobiliária,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-400-m-por-r-375-000-00-jardim-espanha-maringa-pr-1022802276,14/Nov/2022,20:33:56
Terrenos,,R$ 590.000,Zona 07,Maringá,PR,600m²,BELLAKAZA NEGOCIOS IMOBILIARIOS LTDA,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-por-r-590000-00-600-00-m2-zona-07-maringa-pr-1079622911,14/Nov/2022,20:33:56
Terrenos,,R$ 99.000,Loteamento Residencial Iguatemi,Maringá,PR,300m²,PERON IMOVEIS LTDA ME,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-loteamento-residencial-iguate-1037459107,14/Nov/2022,20:33:56
Terrenos,,R$ 295.000,Parque Hortência,Maringá,PR,376m²,Imobiliária Herval,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-de-376-m-a-venda-no-parque-hortencia-em-maringa-pr-818296306,14/Nov/2022,20:33:56
Terrenos,,R$ 120.000,Loteamento Madrid,Maringá,PR,220m²,marliggarcez,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jd-madri-1108373779,14/Nov/2022,20:33:56
Terrenos,,R$ 145.000,Jardim Dias I,Maringá,PR,150m²,Janderson,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-150-mts-jardim-dias-1-1109438916,14/Nov/2022,20:33:56
Terrenos,,R$ 400.000,Jardim Oriental,Maringá,PR,400m²,Jorge G.,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jd-oriental-muito-top-1109437513,14/Nov/2022,20:33:56
Terrenos,,R$ 390.000,Bom Jardim,Maringá,PR,409m²,M. Almeida Imóveis,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-no-bom-jardim-otima-localizacao-1068660452,14/Nov/2022,20:33:56
Terrenos,,R$ 420.000,Parque Residencial Patrícia,Maringá,PR,623m²,44 Imóveis,14/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/lote-terreno-em-parque-residencial-patricia--maringa-1017759879,14/Nov/2022,20:33:56
