tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 310.000,Conjunto Habitacional Alexandre Urbanas,Londrina,PR,258m²,PILARTEX IMOVEIS,02/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-258-m-por-r-310-000-00-parque-taua-londrina-pr-1091701625,07/Nov/2022,22:14:06
Terrenos,,R$ 235.000,Olímpico,Londrina,PR,200m²,G1 IMOBILIÁRIA,02/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-200-m-por-r-235-000-00-condominio-residencial-morada-do-vale-londri-1091698907,07/Nov/2022,22:14:07
Terrenos,,R$ 250.000,Jardim Morumbi,Londrina,PR,266m²,G1 IMOBILIÁRIA,02/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-266-m-por-r-250-000-00-parque-taua-londrina-pr-1091698561,07/Nov/2022,22:14:07
Terrenos,,R$ 2.500.000,Recanto do Salto,Londrina,PR,2691m²,NANTES IMOVEIS E ASSESSORIA,02/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-2691-m-por-r-2-500-000-00-recanto-do-salto-londrina-pr-1091697359,07/Nov/2022,22:14:07
Terrenos,,R$ 319.000,Lagoa Dourada,Londrina,PR,200m²,Imobiliária Inglaterra S/S LTDA-ME,02/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-200-m-por-r-319-000-00-golden-green-londrina-pr-1091689949,07/Nov/2022,22:14:07
Terrenos,,R$ 195.000,Jardim Belo Horizonte,Londrina,PR,250m²,CATUAI IMOVEIS LTDA - EPP,02/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-jardim-belo-horizonte-em-londrina-915098332,07/Nov/2022,22:14:07
Terrenos,,R$ 2.500.000,Recanto do Salto,Londrina,PR,2750m²,GS&MARIN - Negócios Imobiliários.,02/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-recanto-do-salto-997887161,07/Nov/2022,22:14:07
Terrenos,,R$ 195.000,Gleba Simon Frazer,Londrina,PR,280m²,Imobiliária Investimento,01/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-paysage-taua-260-m-1043468270,07/Nov/2022,22:14:08
Terrenos,,R$ 20.000.000,Parque Industrial José Belinati,Londrina,PR,54000m²,CENTURY 21 CLASS IMÓVEIS,01/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/venda-terreno-com-54-000-00-m-parque-industrial-jose-belinati-londrina-1061767942,07/Nov/2022,22:14:08
Terrenos,,R$ 11.000.000,Recanto do Salto,Londrina,PR,222000m²,LPS Raul Fulgencio Consultoria de Imoveis,01/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-recanto-do-salto-1019338555,07/Nov/2022,22:14:08
Terrenos,,R$ 3.240.000,Centro,Londrina,PR,1800m²,NANTES IMOVEIS E ASSESSORIA,01/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-the-euro-royal-1800-m-por-r-3-240-000-the-euro-royal-residence-resort-lon-1050900717,07/Nov/2022,22:14:08
Terrenos,,R$ 250.000,Califórnia,Londrina,PR,357m²,Imobiliária Inglaterra S/S LTDA-ME,01/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-357-m-por-r-250-000-00-cambezinho-londrina-pr-1048967143,07/Nov/2022,22:14:08
Terrenos,,R$ 345.000,Jardim Montecatini,Londrina,PR,250m²,NANTES IMOVEIS E ASSESSORIA,01/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-condominio-bella-vitta-250-m-por-r-345-000-jardim-montecatini-londrina-pr-1049194586,07/Nov/2022,22:14:08
Terrenos,,R$ 35.000,Jardim da Gávea,Londrina,PR,125m²,vagnersouzaferando,01/10/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/otimo-terreno-125m2-1091625865,07/Nov/2022,22:14:08
