tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 290.000,Elite,Resende,RJ,500m²,FASE 4 IMOVEIS LTDA - EPP,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-elite-1070193848,18/Oct/2022,00:14:12
Terrenos,,R$ 750.000,Paraíso,Resende,RJ,1046m²,Imobiliária Roberta Imóveis,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/oportunidade-de-terreno-para-venda-nas-proximidades-da-dutra-989658400,18/Oct/2022,00:14:13
Terrenos,,R$ 120.000,Morada da Colina,Resende,RJ,360m²,FASE 4 IMOVEIS LTDA - EPP,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-bela-vista-ii-987821686,18/Oct/2022,00:14:13
Terrenos,,R$ 100.000,Bela Vista,Resende,RJ,360m²,Real Imobiliária de Resende,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-no-loteamento-bela-vista-1095548161,18/Oct/2022,00:14:13
Terrenos,,R$ 150.000,Mirante das Agulhas,Resende,RJ,375m²,Real Imobiliária de Resende,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-no-mirante-das-agulhas-1095543356,18/Oct/2022,00:14:13
Terrenos,,R$ 50.000,,Resende,RJ,1000m²,Marcelo Fernandes,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terrenos-1095518076,18/Oct/2022,00:14:13
Terrenos,,R$ 480.000,Casa da Lua,Resende,RJ,798m²,TT DIAS IMOBILIÁRIA,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/excelente-oportunidade-995831752,18/Oct/2022,00:14:13
Terrenos,,R$ 170.000,Casa da Lua,Resende,RJ,1068m²,TT DIAS IMOBILIÁRIA,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-dentro-do-condominio-casa-da-lua-com-1068-38-m-resende-rj-995830610,18/Oct/2022,00:14:13
Terrenos,,R$ 1.100.000,Vila Julieta,Resende,RJ,0m²,Imobiliária Roberta Imóveis,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/oportunidade-de-terreno-para-venda-no-bairro-manejo-989658407,18/Oct/2022,00:14:13
Terrenos,,R$ 75.000,Morada da Barra,Resende,RJ,330m²,IDEALIZZE IMOBILIÁRIA,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-para-venda-em-resende-morada-da-barra-1095184789,18/Oct/2022,00:14:13
Terrenos,,R$ 106.000,Bela Vista,Resende,RJ,360m²,BERTHOLINI IMOBILIÁRIA,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-bela-vista-1014257122,18/Oct/2022,00:14:13
Terrenos,,R$ 7.523,Jardim do Sol,Resende,RJ,,BIANCA GONCALVES IMOVEIS,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-parcelado-100-legalizado-1061854469,18/Oct/2022,00:14:14
Terrenos,,R$ 1.800.000,Fazenda da Barra 2,Resende,RJ,3000m²,FASE 4 IMOVEIS LTDA - EPP,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-elite-987820677,18/Oct/2022,00:14:14
Terrenos,,R$ 3.000,Montese,Resende,RJ,450m²,BERTHOLINI IMOBILIÁRIA,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-montese-1086996100,18/Oct/2022,00:14:14
Terrenos,,R$ 230.000,Parque Ipiranga,Resende,RJ,375m²,Livia Camargo,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-plano-bairro-ipiranga-1-1094899308,18/Oct/2022,00:14:14
Terrenos,,R$ 246.000,Parque Ipiranga,Resende,RJ,399m²,Imobiliária Roberta Imóveis,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/oportunidade-de-terreno-para-venda-no-condominio-alphaville-resende-989658887,18/Oct/2022,00:14:14
Terrenos,,R$ 100.000,Campo Belo,Resende,RJ,450m²,TT DIAS IMOBILIÁRIA,09/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-terreno-para-venda-possui-450-metros-quadrados-em-campo-belo-resende-rj-995832568,18/Oct/2022,00:14:14
Terrenos,,R$ 110.000,Morada da Barra,Resende,RJ,700m²,Ellen,09/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/more-a-20-min-de-penedo-terreno-700m-1094566292,18/Oct/2022,00:14:14
Terrenos,,R$ 370.000,Terras Alpha,Resende,RJ,594m²,TT DIAS IMOBILIÁRIA,09/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-terreno-para-venda-tem-594-16-metros-quadrados-em-condominio-alphaville-resende-r-995831658,18/Oct/2022,00:14:14
Terrenos,,R$ 250.000,Casa da Lua,Resende,RJ,1052m²,META DE RESENDE IMOBILIARIA LTDA - EPP,14/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-residencial-em-resende-rj-casa-da-lua-1029210841,18/Oct/2022,00:14:14
Terrenos,,R$ 210.000,Casa da Lua,Resende,RJ,100m²,Imobiliária Roberta Imóveis,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/oportunidade-de-terreno-para-venda-no-bairro-casa-da-lua-989658649,18/Oct/2022,00:14:15
Terrenos,,R$ 680.000,Paraíso,Resende,RJ,942m²,Imobiliária Roberta Imóveis,13/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/oportunidade-de-terreno-para-venda-nas-proximidades-da-dutra-989658625,18/Oct/2022,00:14:15
Terrenos,,R$ 250.000,Visconde de Mauá,Resende,RJ,2500m²,MANSION HOUSE EMPREENDIMENTOS IMOBILIARIOS LTDA - EPP,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-terreno-para-venda-possui-2500-metros-quadrados-em-visconde-de-maua-resende-rj-1047602591,18/Oct/2022,00:14:15
Terrenos,,R$ 880.000,Campos Elíseos,Resende,RJ,360m²,META DE RESENDE IMOBILIARIA LTDA - EPP,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-comercial-em-resende-rj-campos-eliseos-1093133731,18/Oct/2022,00:14:15
Terrenos,,R$ 75.000,Morada da Barra,Resende,RJ,613m²,FASE 4 IMOVEIS LTDA - EPP,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-fazenda-da-barra-l-987821059,18/Oct/2022,00:14:15
Terrenos,,R$ 106.000,Bela Vista,Resende,RJ,360m²,BERTHOLINI IMOBILIÁRIA,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-bela-vista-1014255446,18/Oct/2022,00:14:15
Terrenos,,R$ 70.000,Fazenda da Barra,Resende,RJ,200m²,FASE 4 IMOVEIS LTDA - EPP,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-fazenda-da-barra-l-987820716,18/Oct/2022,00:14:15
Terrenos,,R$ 320.000,Itapuca,Resende,RJ,812m²,TT DIAS IMOBILIÁRIA,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-plano-812m-bairro-itapuca-resende-rj-995831675,18/Oct/2022,00:14:16
Terrenos,,R$ 3.150.000,Bela Vista,Resende,RJ,21000m²,TT DIAS IMOBILIÁRIA,09/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-terreno-para-venda-possui-21000-metros-quadrados-em-estrada-resende-riachuelo-resen-995831806,18/Oct/2022,00:14:16
Terrenos,,R$ 160.000,Visconde de Mauá,Resende,RJ,2500m²,Angelo,23/08/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lindo-terreno-em-visconde-de-maua-rj-1074887982,18/Oct/2022,00:14:16
Terrenos,,R$ 371.000,Parque Ipiranga,Resende,RJ,477m²,LEANDRO GAROFALO IMÓVEIS,10/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-bosque-do-limeira-1055598024,18/Oct/2022,00:14:16
Terrenos,,R$ 290.000,Jardim Brasília,Resende,RJ,502m²,FASE 4 IMOVEIS LTDA - EPP,09/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-jardim-brasilia-987820916,18/Oct/2022,00:14:16
Terrenos,,R$ 660.000,Itapuca,Resende,RJ,2663m²,FASE 4 IMOVEIS LTDA - EPP,08/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-itapuca-987822050,18/Oct/2022,00:14:16
Terrenos,,R$ 300.000,Parque Ipiranga,Resende,RJ,,BERTHOLINI IMOBILIÁRIA,13/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/resende-terreno-padrao-parque-ipiranga-1036519377,18/Oct/2022,00:14:16
Terrenos,,R$ 80.000,Engenheiro Passos,Resende,RJ,226m²,cleitonhauer,11/10/2022,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-itatiaia-226-mt-1084173419,18/Oct/2022,00:14:16
