tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 140.000,Rincão,Mossoró,RN,360m²,DANIEL CABRAL,31/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/oportunidade-abaixo-da-tabela-ninho-residencial-1078344300,24/Oct/2022,23:08:48
Terrenos,,R$ 213.619,Rincão,Mossoró,RN,496m²,F. MOURA IMÓVEIS,26/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-a-venda-no-ninho-residencial-1076403348,24/Oct/2022,23:08:48
Terrenos,,R$ 150.156,Rincão,Mossoró,RN,360m²,F. MOURA IMÓVEIS,25/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lote-a-venda-no-condominio-ninho-residencial-1075925734,24/Oct/2022,23:08:49
Terrenos,,R$ 125.000,Bela Vista,Mossoró,RN,230m²,F. MOURA IMÓVEIS,31/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-a-venda-no-condominio-copacabana-residence-1078394486,24/Oct/2022,23:08:49
Terrenos,,R$ 124.890,Bela Vista,Mossoró,RN,230m²,Freittas Imóveis,23/07/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/copacabana-residence-seu-lote-com-infraestrutura-completa-de-lazer-na-regiao-do-alphaville-1061724177,24/Oct/2022,23:08:49
Terrenos,,R$ 90.000,Rincão,Mossoró,RN,450m²,Abreu Imóveis Ltda,13/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/mossoro-terreno-padrao-rincao-1023398703,24/Oct/2022,23:08:49
Terrenos,,R$ 350.000,Alto do Sumaré,Mossoró,RN,,Rosa Maria,29/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/otimo-terreno-br-304-1077210489,24/Oct/2022,23:08:49
Terrenos,,R$ 145.000,Rincão,Mossoró,RN,360m²,Jorge,29/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lote-no-ninho-360m-1-etapa-sombra-1077609688,24/Oct/2022,23:08:49
Terrenos,,R$ 90.000,Rincão,Mossoró,RN,450m²,Abreu Imóveis Ltda,06/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/mossoro-terreno-padrao-rincao-972334991,24/Oct/2022,23:08:49
Venda - apartamento padrão,2,R$ 110.000,Presidente Costa e Silva,Mossoró,RN,51m²,Imobiliária Business Gold,24/10/2022,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-com-2-dormitorios-a-venda-51-m-por-r-110-000-00-presidente-costa-e-silva-982405501,24/Oct/2022,23:08:49
Terrenos,,R$ 193.500,Rincão,Mossoró,RN,450m²,F. MOURA IMÓVEIS,26/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-a-venda-no-ninho-residencial-1076402606,24/Oct/2022,23:08:49
Terrenos,,R$ 227.064,Rincão,Mossoró,RN,586m²,F. MOURA IMÓVEIS,26/08/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-a-venda-no-ninho-residencial-1076403572,24/Oct/2022,23:08:49
