tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,2,R$ 220.000,Jardim Samburá,Bauru,SP,55m²,Innovar Imobiliária,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-2-dormitorios-55-m-venda-por-r-220-000-00-ou-aluguel-por-r-1-020-00-1104912844,05/Dec/2022,21:51:47
Venda - casa em rua pública,2,R$ 140.000,Vila Nova Cidade Universitária,Bauru,SP,69m²,Karem Nascimento - Corretora de Imóveis,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/alto-alegre-preco-de-ocasiao-ca0084-1029989068,05/Dec/2022,21:51:47
Venda - casa em rua pública,3,R$ 400.000,Vila Santa Clara,Bauru,SP,100m²,Mendes e Rossoti Negócios Imobiliários Ltda,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/excelente-casa-venda-993986887,05/Dec/2022,21:51:47
Venda - apartamento padrão,2,R$ 78.750,Monte Verde,Bauru,SP,42m²,Destak Leilões,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-42m-de-2-dorms-em-bauru-sp-1112539738,05/Dec/2022,21:51:47
Venda - casa em rua pública,3,R$ 290.000,Vila Nova Cidade Universitária,Bauru,SP,173m²,Karem Nascimento - Corretora de Imóveis,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/bela-vista-c-3-dormitorios-excelente-local-ca0082-1050410387,05/Dec/2022,21:51:47
Venda - casa em condominio fechado,3,R$ 1.800.000,Samambaia Parque Residencial,Bauru,SP,200m²,MORAES IMOBILIARIA EIRELI,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-em-alto-padrao-com-3-suites-a-venda-360-m-por-r-1-800-000-tambore-bauru-sp-1118111873,05/Dec/2022,21:51:47
Venda - casa em rua pública,3,R$ 650.000,Vila Independência,Bauru,SP,164m²,IMOBILIÁRIA BUSCH IMÓVEIS,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/residencia-vila-independencia-1002647322,05/Dec/2022,21:51:47
Venda - casa em rua pública,3,R$ 240.000,Jardim Prudência,Bauru,SP,140m²,IMOBILIÁRIA BUSCH IMÓVEIS,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/residencia-nova-esperanca-926133900,05/Dec/2022,21:51:47
Venda - casa em condominio fechado,3,R$ 1.500.000,Jardim Colonial,Bauru,SP,300m²,Ocean & Co. Imóveis,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-em-condominio-para-venda-em-bauru-jardim-colonial-3-dormitorios-3-suites-5-banhei-1116361693,05/Dec/2022,21:51:47
Venda - casa em condominio fechado,3,R$ 1.700.000,Vila Serrão,Bauru,SP,360m²,Claro Gestor Imobiliário,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-em-condominio-para-venda-em-bauru-residencial-tivoli-ii-3-dormitorios-3-suites-4-1118109172,05/Dec/2022,21:51:48
Venda - apartamento padrão,1,R$ 190.000,Centro,Bauru,SP,40m²,Rosane Vargas,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-para-venda-em-bauru-centro-le-mans-1-dormitorio-1-banheiro-1-vaga-1116847990,05/Dec/2022,21:51:48
Venda - casa em rua pública,3,R$ 320.000,Vila Garcia,Bauru,SP,200m²,ADILTON DE CARVALHO GONÇALVES CRECI: 188816-F-SP,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/vende-casa-proxima-nacoes-norte-bauru-1097288244,05/Dec/2022,21:51:48
Venda - casa em condominio fechado,3,R$ 1.400.000,Vila Aviação,Bauru,SP,275m²,ADILTON DE CARVALHO GONÇALVES CRECI: 188816-F-SP,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/vende-casa-condominio-villaggio-bauru-1097288258,05/Dec/2022,21:51:48
Venda - casa em rua pública,3,R$ 600.000,Jardim Brasil,Bauru,SP,167m²,CENTRAL IMOBILIARIA BAURUENSE S/S LTDA,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-residencial-a-venda-03-dormitorios-sendo-01-suite-167-7m-jardim-brasil-1012001461,05/Dec/2022,21:51:48
Venda - casa em rua pública,2,R$ 450.000,Vila Souto,Bauru,SP,150m²,Pedro Santos,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/belissima-residencia-com-2-dormitorios-sendo-um-suite-vila-souto-1080703917,05/Dec/2022,21:51:48
Venda - casa em rua pública,3,R$ 470.000,Vila Carmem,Bauru,SP,140m²,Pedro Santos,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-3-dormitorios-sendo-um-suite-e-edicula-jardim-cruzeiro-do-sul-1045473790,05/Dec/2022,21:51:48
Venda - apartamento padrão,3,R$ 600.000,Vila Leme da Silva,Bauru,SP,166m²,Pedro Santos,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/cobertura-duplex-3-dormitorios-e-4-banheiros-aguas-clara-bauru-sp-1013775137,05/Dec/2022,21:51:48
Venda - casa em rua pública,3,R$ 200.000,Parque Santa Edwiges,Bauru,SP,100m²,B2B Imóveis,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-bauru-parque-santa-edwiges-3-dormitorios-3-banheiros-2-vagas-1107304687,05/Dec/2022,21:51:48
Venda - apartamento padrão,2,R$ 675.000,Jardim Paulista,Bauru,SP,77m²,B2B Imóveis,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-para-venda-em-bauru-jardim-paulista-2-dormitorios-1-suite-2-banheiros-1-v-1108254011,05/Dec/2022,21:51:48
Venda - apartamento padrão,2,R$ 255.000,Centro,Bauru,SP,108m²,Zwicker Imóveis,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/venda-otimo-apto-no-ed-ivone-centro-957558871,05/Dec/2022,21:51:49
Venda - apartamento padrão,2,R$ 99.000,Vila Souto,Bauru,SP,48m²,IMOBILIÁRIA RE/MAX JAGUAR,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-a-venda-48-m-por-r-99-000-00-vila-souto-bauru-sp-1062854837,05/Dec/2022,21:51:49
Venda - casa em rua pública,4,R$ 990.000,Residencial Sauípe,Bauru,SP,302m²,IMOBILIÁRIA RE/MAX JAGUAR,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-de-condominio-para-venda-com-302-metros-quadrados-com-4-suites-1099616448,05/Dec/2022,21:51:49
Venda - casa em rua pública,3,R$ 395.000,Jardim Silvestre II,Bauru,SP,200m²,LUCRO SOLUCOES IMOBILIARIAS,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-venda-3-quartos-1-suite-armarios-jd-silvestri-ii-942106617,05/Dec/2022,21:51:49
Venda - apartamento padrão,3,R$ 270.000,Jardim Terra Branca,Bauru,SP,68m²,Imobiliária Ponce Amaral,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-3-dormitorios-a-venda-68-m-por-r-270-000-00-jardim-terra-branca-bau-979572065,05/Dec/2022,21:51:49
Venda - casa em rua pública,3,R$ 450.000,Vila Alto Paraíso,Bauru,SP,95m²,Imobiliária Tânia Amorim,06/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/linda-casa-nova-no-alto-paraiso-1047756964,05/Dec/2022,21:51:49
Venda - casa em condominio fechado,3,R$ 930.000,Quinta Ranieri,Bauru,SP,385m²,Ocean & Co. Imóveis,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-em-condominio-para-venda-em-bauru-quinta-ranieri-blue-3-dormitorios-3-suites-5-ba-941465710,05/Dec/2022,21:51:50
Venda - apartamento padrão,2,R$ 800.000,Parque Jardim Europa,Bauru,SP,98m²,K Soluções Imobiliárias,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-a-venda-98-m-por-r-800-000-00-trebbiano-residencial-bauru-sp-1058458513,05/Dec/2022,21:51:50
Venda - casa em rua pública,2,R$ 270.000,Jardim Redentor,Bauru,SP,110m²,ROSANGELA MACHADO,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-jardim-redentor-toda-reformado-987816107,05/Dec/2022,21:51:50
Venda - apartamento padrão,2,R$ 130.000,Jardim Terra Branca,Bauru,SP,47m²,ROSANGELA MACHADO,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-para-venda-tem-47-metros-quadrados-com-2-quartos-em-jardim-terra-branca-baur-1107431272,05/Dec/2022,21:51:50
Venda - casa em condominio fechado,4,R$ 700.000,Jardim Estoril,Bauru,SP,138m²,Innovar Imobiliária,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-4-dormitorios-a-venda-138-m-por-r-700-000-00-centreville-bauru-sp-902270364,05/Dec/2022,21:51:50
Venda - apartamento padrão,3,R$ 830.000,Jardim América,Bauru,SP,135m²,Parreira Imoveis,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-3-dormitorios-a-venda-135-m-por-r-830-000-00-jardim-america-bauru-s-1076643187,05/Dec/2022,21:51:50
Venda - apartamento padrão,2,R$ 325.000,Vila Cidade Universitária,Bauru,SP,73m²,Abel Sampaio Imóveis,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/vila-cidade-universitaria-1074729994,05/Dec/2022,21:51:50
Venda - casa em rua pública,3,R$ 490.000,Vila Santa Tereza,Bauru,SP,173m²,Abel Sampaio Imóveis,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/vila-santa-tereza-1024695433,05/Dec/2022,21:51:50
Venda - apartamento padrão,3,R$ 420.000,Vila Mesquita,Bauru,SP,105m²,FRANCINI IMÓVEIS,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-para-venda-em-bauru-vila-mesquita-3-dormitorios-1-suite-3-banheiros-2-vag-1076313484,05/Dec/2022,21:51:50
Venda - apartamento padrão,3,R$ 110.000,Parque Viaduto,Bauru,SP,70m²,Ascielli Consultoria Imobiliária,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-3-dormitorios-a-venda-70-m-por-r-110-000-jardim-vitoria-bauru-sp-1111227671,05/Dec/2022,21:51:51
Venda - apartamento padrão,2,R$ 110.000,Parque Viaduto,Bauru,SP,55m²,Isabelle M. O. Santos,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-2-dormitorios-55m-a-venda-por-r-110-000-00-sabia-1-bauru-sp-1079137724,05/Dec/2022,21:51:51
Venda - casa em rua pública,3,R$ 250.000,Vila Nova Cidade Universitária,Bauru,SP,197m²,Karem Nascimento - Corretora de Imóveis,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/jardim-ouro-verde-espacosa-terreno-grande-ca0247-1051814770,05/Dec/2022,21:51:51
Venda - casa em rua pública,3,R$ 560.000,Vila Souto,Bauru,SP,484m²,A1 Negócios Imobiliários,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-no-bairro-vila-souto-988635576,05/Dec/2022,21:51:51
Venda - casa em condominio fechado,5 ou mais,R$ 5.900.000,Jardim Shangri-Lá,Bauru,SP,950m²,MORAES IMOBILIARIA EIRELI,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/mansao-com-5-suites-a-venda-3-000-m-por-r-5-900-000-condominio-residencial-shangri-la-996790472,05/Dec/2022,21:51:51
Venda - apartamento padrão,2,R$ 125.000,Jardim Terra Branca,Bauru,SP,47m²,AX Imobiliária,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-a-venda-47-m-por-r-125-000-00-residencial-cristo-redentor-bauru-sp-952823610,05/Dec/2022,21:51:51
Venda - apartamento padrão,2,R$ 468.000,Vila Nova Cidade Universitária,Bauru,SP,67m²,Moreira Júnior Assessoria Imobiliária,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/edificio-premiatto-venda-usp-69m-1090494445,05/Dec/2022,21:51:52
Venda - casa em condominio fechado,3,R$ 3.000.000,Alphaville,Bauru,SP,297m²,Giuliano Persicheto,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-condominio-alphaville-bauru-1034656348,05/Dec/2022,21:51:52
Venda - apartamento padrão,3,R$ 220.000,Jardim Auri Verde,Bauru,SP,68m²,MFX Imobiliária,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/bauru-apartamento-padrao-jardim-auri-verde-1078536227,05/Dec/2022,21:51:52
Venda - casa em condominio fechado,4,R$ 3.498.300,Residencial Villa Dumont,Bauru,SP,430m²,SYLVIO GARCIA JUNIOR,05/12/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/condominio-villa-dumont-4-suites-terrea-430m2-cosntrucao-994022673,05/Dec/2022,21:51:52
Venda - apartamento padrão,2,R$ 175.000,Jardim Estrela D&
