tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 85.860,Parque Santa Cândida,Bauru,SP,10m²,Fluxo Negócios Imobiliários Ltda,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-bairro-parque-santa-candid-na-cidade-de-bauru-1022735703,28/Nov/2022,21:46:06
Terrenos,,R$ 350.000,Samambaia Parque Residencial,Bauru,SP,394m²,AX Imobiliária,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-394-m-por-r-350-000-00-tambore-bauru-bauru-sp-1012235685,28/Nov/2022,21:46:06
Terrenos,,R$ 360.000,Residencial Tamboré,Bauru,SP,420m²,MORAES IMOBILIARIA EIRELI,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-420-m-por-r-360-000-tambore-bauru-sp-1073551842,28/Nov/2022,21:46:06
Terrenos,,R$ 50.000,Vale do Igapó,Bauru,SP,250m²,Aero Imóveis,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-ideal-para-compensacao-ambiental-250-m-por-r-50-000-vale-do-igapo-1005846393,28/Nov/2022,21:46:06
Terrenos,,R$ 1.217.660,Residencial Lago Sul,Bauru,SP,812m²,USUÁRIO NEWCORE,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote-em-condominio-no-lago-sul812m-residencial-lago-sul-bauru-1109158081,28/Nov/2022,21:46:06
Terrenos,,R$ 599.380,Alphaville,Bauru,SP,461m²,USUÁRIO NEWCORE,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote-em-condominio-no-alphaville-bauru461m-alphaville-bauru-1109149838,28/Nov/2022,21:46:06
Terrenos,,R$ 150.000,Jardim Solange,Bauru,SP,288m²,Moreira Júnior Assessoria Imobiliária,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote-no-terra-branca-963567324,28/Nov/2022,21:46:06
Terrenos,,R$ 299.540,Samambaia Parque Residencial,Bauru,SP,379m²,USUÁRIO NEWCORE,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote379m-residencial-tambore-bauru-1109136064,28/Nov/2022,21:46:06
Terrenos,,R$ 420.000,Residencial Villa Lobos,Bauru,SP,676m²,A1 Negócios Imobiliários,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/villa-lobos-997797509,28/Nov/2022,21:46:06
Terrenos,,R$ 168.000,Fundação Casas Populares Salvador Filardi,Bauru,SP,,Rafael P.,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/v-terreno-1109125393,28/Nov/2022,21:46:06
Terrenos,,R$ 360.000,Centro,Bauru,SP,450m²,Zwicker Imóveis,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/venda-excelente-terreno-no-centro-de-bauru-957530602,28/Nov/2022,21:46:06
Terrenos,,R$ 150.000,Jardim Nicéia,Bauru,SP,250m²,MFX Imobiliária,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/bauru-terreno-padrao-jardim-niceia-1083684077,28/Nov/2022,21:46:06
Terrenos,,R$ 88.000,Parque Roosevelt,Bauru,SP,138m²,Marco Pereira Imóveis,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-parque-roosevelt-1042077237,28/Nov/2022,21:46:06
Terrenos,,R$ 130.000,Conjunto Habitacional Isaura Pitta Garms,Bauru,SP,200m²,Imobiliária Ponce Amaral,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/excelente-terreno-a-venda-no-isaura-pitta-garms-bauru-1042931910,28/Nov/2022,21:46:06
Terrenos,,R$ 7.000,Parque Jardim Europa,Bauru,SP,700m²,MORAES IMOBILIARIA EIRELI,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-para-alugar-700-m-por-r-7-000-00-mes-parque-jardim-europa-bauru-sp-1109078005,28/Nov/2022,21:46:06
Terrenos,,R$ 960.000,Residencial Jardim Estoril V,Bauru,SP,960m²,Marco Pereira Imóveis,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-residencial-estoril-v-1042092692,28/Nov/2022,21:46:07
Terrenos,,R$ 235.000,Jardim Marabá,Bauru,SP,450m²,IMOBIMAIS IMOBILIÁRIA,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-450-m-por-r-235-000-00-jardim-maraba-bauru-sp-986010942,28/Nov/2022,21:46:07
Terrenos,,R$ 260.000,Vila Falcão,Bauru,SP,484m²,Ryan,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vendo-terreno-em-bauru-1109025481,28/Nov/2022,21:46:07
Terrenos,,R$ 340.000,Residencial Villa Lobos,Bauru,SP,532m²,A1 Negócios Imobiliários,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/villa-lobos-997797047,28/Nov/2022,21:46:07
Terrenos,,R$ 470.000,Vila Santo Antônio,Bauru,SP,726m²,CENTRAL IMOBILIARIA BAURUENSE S/S LTDA,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-urbano-a-venda-726m-higienopolis-1015173829,28/Nov/2022,21:46:07
Terrenos,,R$ 820.000,Chácaras Cardoso,Bauru,SP,5476m²,MORAES IMOBILIARIA EIRELI,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-5476-m-por-r-820-000-chacaras-cardoso-bauru-sp-996461264,28/Nov/2022,21:46:07
Terrenos,,R$ 70.000,Parque Industrial Manchester,Bauru,SP,163m²,J. BROKER IMOVEIS - MV,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-163-m-por-r-70-000-00-parque-industrial-manchester-bauru-sp-967468857,28/Nov/2022,21:46:07
Terrenos,,R$ 208.000,Floratta Nações Residencial,Bauru,SP,348m²,Moreira Júnior Assessoria Imobiliária,12/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-para-venda-floratta-altos-das-nacoes-990843037,28/Nov/2022,21:46:07
Terrenos,,R$ 1.250.000,Quinta Ranieri,Bauru,SP,2474m²,IMOBILIÁRIA BUSCH IMÓVEIS,12/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-quinta-ranieri-920681337,28/Nov/2022,21:46:07
Terrenos,,R$ 270.000,Residencial Tivoli II,Bauru,SP,360m²,A1 Negócios Imobiliários,12/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/residencial-tivoli-2-988610378,28/Nov/2022,21:46:07
Terrenos,,R$ 366.900,Residencial Tamboré,Bauru,SP,364m²,B2B Imóveis,12/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-para-venda-em-bauru-residencial-tambore-1043997738,28/Nov/2022,21:46:07
Terrenos,,R$ 230.000,Quinta Ranieri,Bauru,SP,505m²,PERSONAL ELIAS IMOVEIS LTDA,29/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-quinta-ranieri-green-1008372043,28/Nov/2022,21:46:07
Terrenos,,R$ 295.000,Jardim Estoril III,Bauru,SP,356m²,Innovar Imobiliária,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-356-m-por-r-295-000-00-jardim-estoril-iii-bauru-sp-1109058272,28/Nov/2022,21:46:07
Terrenos,,R$ 404.250,Residencial Tamboré,Bauru,SP,433m²,B2B Imóveis,12/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-para-venda-em-bauru-residencial-tambore-1093685210,28/Nov/2022,21:46:07
Terrenos,,R$ 795.000,Residencial Jardim Estoril V,Bauru,SP,794m²,PÔRTO IMOBILIARIA,13/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/estoril-v-esquina-989180852,28/Nov/2022,21:46:08
Terrenos,,R$ 570.000,Alphaville,Bauru,SP,453m²,Isabelle M. O. Santos,12/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-de-453m-a-venda-por-r-570-000-00-alphaville-bauru-sp-1079137931,28/Nov/2022,21:46:08
