tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 170.000,Centro,Marília,SP,,PARRA IMÓVEIS,08/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-em-cond-village-damha-marilia-cod-1492-1106723461,07/Nov/2022,23:12:39
Terrenos,,R$ 241.907,Jardim Maria Izabel,Marília,SP,250m²,ALJE IMOVEIS,07/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vende-se-lote-em-condominio-no-boulevard-park-resort-marilia-sp-998386749,07/Nov/2022,23:12:39
Terrenos,,R$ 79.500,Parque das Primaveras,Marília,SP,200m²,Ocimar José Pereira,06/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote-terreno-para-venda-com-200-metros-quadrados-em-parque-das-primaveras-marilia-sp-1102134136,07/Nov/2022,23:12:39
Terrenos,,R$ 110.000,Residencial Verana Parque Alvorada,Marília,SP,271m²,Ocimar José Pereira,06/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-condominio-verana-1019258073,07/Nov/2022,23:12:39
Terrenos,,R$ 160.000,Jardim Maria Izabel,Marília,SP,,Alex da Silva Alvarenga Neves - ME,05/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/ref-841-terreno-a-venda-no-village-dhama-1027650358,07/Nov/2022,23:12:39
Terrenos,,R$ 250.000,Jardim São Domingos,Marília,SP,360m²,Alex da Silva Alvarenga Neves - ME,05/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/ref-995-terreno-a-venda-condominio-terras-da-fazenda-1087214285,07/Nov/2022,23:12:39
Terrenos,,R$ 70.000,Avencas (Avencas),Marília,SP,525m²,Filipe Cafe,03/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/otimo-terreno-urbano-em-avencas-1004197547,07/Nov/2022,23:12:39
Terrenos,,R$ 230.000,Centro,Marília,SP,250m²,NIKKEI Assessoria Imobiliária,08/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-em-residencial-villa-flora-aquarius-marilia-cod-1008-1106722126,07/Nov/2022,23:12:39
Terrenos,,R$ 290.000,Parque das Esmeraldas II,Marília,SP,250m²,G.BNDZ,07/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote-em-condominio-fechado-no-reserva-esmeralda-marilia-sp-1098563155,07/Nov/2022,23:12:40
Terrenos,,R$ 145.000,Jardim Maria Izabel,Marília,SP,300m²,Alex da Silva Alvarenga Neves - ME,05/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/ref-996-terreno-venda-no-condominio-damha-1086800753,07/Nov/2022,23:12:40
