tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,1,R$ 290.000,Bosque,Presidente Prudente,SP,40m²,DC IMÓVEIS,12/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/edf-neo-petropolis-apartamento-moderno-com-infraestrutura-completa-1108647085,28/Nov/2022,22:08:40
Venda - casa em rua pública,1,R$ 180.000,Jardim Prudentino,Presidente Prudente,SP,194m²,Imobiliária Rio Branco,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-casa-padrao-jardim-prudentino-1057456966,28/Nov/2022,22:08:40
Venda - casa em rua pública,3,R$ 1.250.000,Parque Higienópolis,Presidente Prudente,SP,400m²,IMOBILIARIA SISTEMA,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/sobrado-no-bairro-parque-higienopolis-em-presidente-prudente-1087362732,28/Nov/2022,22:08:40
Venda - casa em rua pública,2,R$ 280.000,Bosque,Presidente Prudente,SP,104m²,DC IMÓVEIS,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/linda-casa-disponivel-para-venda-no-bairro-jardim-novo-bongiovani-1108602941,28/Nov/2022,22:08:40
Venda - casa em condominio fechado,3,R$ 595.000,Bosque,Presidente Prudente,SP,130m²,DC IMÓVEIS,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-de-condominio-terrea-para-venda-tem-130-metros-quadrados-com-3-quartos-1108595023,28/Nov/2022,22:08:40
Venda - apartamento padrão,2,R$ 395.000,Bosque,Presidente Prudente,SP,87m²,DC IMÓVEIS,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/esse-lindo-apartamento-menos-de-3-minutos-do-centro-1108592565,28/Nov/2022,22:08:40
Venda - casa em condominio fechado,3,R$ 790.000,Residencial Green Ville,Presidente Prudente,SP,300m²,Imobiliária Rio Branco,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-casa-de-condominio-condominio-jatoba-1058333666,28/Nov/2022,22:08:40
Venda - apartamento padrão,2,R$ 299.900,Residencial Parque dos Girassóis,Presidente Prudente,SP,76m²,Lucas Brigatto Corretor Imobiliário,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-espacoso-com-2-dormitorios-no-pq-dos-girassois-em-p-prudente-sp-1072206094,28/Nov/2022,22:08:40
Venda - apartamento padrão,3,R$ 450.000,Vila Liberdade,Presidente Prudente,SP,113m²,CliqueiMudei,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-para-venda-e-aluguel-em-vila-liberdade-de-113-00m-com-3-quartos-e-1-suite-1108294024,28/Nov/2022,22:08:41
Venda - casa em rua pública,2,R$ 350.000,Residencial Florenza,Presidente Prudente,SP,107m²,Lucas Brigatto Corretor Imobiliário,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-com-2-dorm-e-area-gourmet-no-residencial-florenza-em-p-prudente-sp-1064221235,28/Nov/2022,22:08:41
Venda - casa em rua pública,2,R$ 325.000,Porto Bello Residence,Presidente Prudente,SP,126m²,Lucas Brigatto Corretor Imobiliário,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-nova-com-2-dormitorios-no-porto-belo-residence-em-presidente-prudente-sp-1093882981,28/Nov/2022,22:08:41
Venda - apartamento padrão,3,R$ 950.000,Jardim João Paulo II,Presidente Prudente,SP,233m²,IMOBILIARIA SISTEMA,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-no-condominio-edificio-sollar-classic-em-presidente-prudente-992118409,28/Nov/2022,22:08:41
Venda - casa em condominio fechado,3,R$ 1.590.000,Jardim Satélite,Presidente Prudente,SP,216m²,CliqueiMudei,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-de-condominio-para-venda-em-parque-residencial-damha-iv-de-216-00m-com-3-quartos-1-1108546269,28/Nov/2022,22:08:41
Venda - casa em rua pública,2,R$ 190.000,Conjunto Habitacional Eme Antonio Pioch Fontolan,Presidente Prudente,SP,58m²,IMOBILIARIA SISTEMA,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/sobrado-no-condominio-villa-girassois-em-presidente-prudente-1108595421,28/Nov/2022,22:08:41
Venda - apartamento padrão,2,null,Jardim Itapura,Presidente Prudente,SP,57m²,Will,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/ultimo-andar-ac-veiculo-ate-70mil-914413362,28/Nov/2022,22:08:41
Venda - casa em rua pública,2,R$ 299.000,Residencial Vista do Vale,Presidente Prudente,SP,132000m²,DC IMÓVEIS,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-nova-em-otima-localizacao-a-venda-1108560035,28/Nov/2022,22:08:41
Venda - apartamento padrão,1,R$ 230.000,Jardim Bongiovani,Presidente Prudente,SP,49m²,Imobiliária Village Imóveis Ltda,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-a-venda-49-m-por-r-230-000-00-jardim-bongiovani-presidente-prudente-sp-1108384585,28/Nov/2022,22:08:41
Venda - casa em rua pública,2,R$ 350.000,Residencial Florenza,Presidente Prudente,SP,108m²,IMOBILIARIA SISTEMA,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-terrea-no-bairro-residencial-florenza-em-presidente-prudente-1033375427,28/Nov/2022,22:08:41
Venda - apartamento padrão,3,R$ 480.000,Vila Santa Tereza,Presidente Prudente,SP,110m²,Imobiliária Rio Branco,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-apartamento-padrao-vila-santa-tereza-1108238058,28/Nov/2022,22:08:42
Venda - apartamento padrão,2,R$ 77.588,Vila Ramos de Freitas,Presidente Prudente,SP,39m²,Lar e Residência,12/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/parque-principe-da-persia-oportunidade-unica-em-presidente-prudente-sp-tipo-apartam-1108649421,28/Nov/2022,22:08:42
Venda - casa em rua pública,2,R$ 410.000,Jardim Novo Bongiovani,Presidente Prudente,SP,145m²,DC IMÓVEIS,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-terrea-com-piscina-amplo-terreno-e-boa-localizacao-no-bairro-1103837294,28/Nov/2022,22:08:42
Venda - apartamento padrão,2,R$ 72.046,,Presidente Prudente,SP,39m²,Lar e Residência,12/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/residencial-principe-de-valencia-oportunidade-unica-em-presidente-prudente-sp-tipo-1108651851,28/Nov/2022,22:08:42
Venda - apartamento padrão,3,R$ 250.000,Jardim Bongiovani,Presidente Prudente,SP,77m²,IMOBILIARIA SISTEMA,10/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-no-condominio-edificio-itamaraca-em-presidente-prudente-992118546,28/Nov/2022,22:08:42
Venda - apartamento padrão,2,R$ 160.000,Jardim Eldorado,Presidente Prudente,SP,47m²,Lucas Brigatto Corretor Imobiliário,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-com-2-dormitorios-no-jardim-eldorado-em-presidente-prudente-sp-1064219799,28/Nov/2022,22:08:42
Venda - apartamento padrão,5 ou mais,R$ 600.000,Vila Formosa,Presidente Prudente,SP,110m²,IMOBILIARIA SISTEMA,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-no-condominio-village-park-em-presidente-prudente-992117569,28/Nov/2022,22:08:42
Venda - apartamento padrão,2,R$ 480.200,Jardim Alto da Boa Vista,Presidente Prudente,SP,69m²,IMOBILIARIA SISTEMA,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-no-condominio-pateo-boa-vista-em-presidente-prudente-1032800620,28/Nov/2022,22:08:42
Venda - casa em condominio fechado,4,R$ 1.200.000,Parque Higienópolis,Presidente Prudente,SP,365m²,Imobiliária Village Imóveis Ltda,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-a-venda-365-m-por-r-1-200-000-00-parque-higienopolis-presidente-prudente-sp-1108471552,28/Nov/2022,22:08:42
Venda - casa em rua pública,2,R$ 255.000,Jardim Novo Bongiovani,Presidente Prudente,SP,73m²,IMOBILIARIA SISTEMA,10/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-terrea-no-bairro-jardim-novo-bongiovani-em-presidente-prudente-1087365325,28/Nov/2022,22:08:42
Venda - casa em rua pública,4,R$ 220.000,Parque Shiraiwa,Presidente Prudente,SP,130m²,Lucas Brigatto Corretor Imobiliário,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-com-edicula-no-parque-shiraiwa-em-presidente-prudente-sp-1066344833,28/Nov/2022,22:08:42
Venda - casa em rua pública,4,R$ 499.000,Residencial São Paulo,Presidente Prudente,SP,195m²,IMOBILIARIA SISTEMA,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-terrea-no-bairro-residencial-sao-paulo-em-presidente-prudente-1069745750,28/Nov/2022,22:08:42
Venda - apartamento padrão,2,R$ 77.588,Parque Watal Ishibashi,Presidente Prudente,SP,39m²,Lar e Residência,12/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/cond-res-parque-principe-da-grecia-oportunidade-unica-em-presidente-prudente-sp-tipo-1108647918,28/Nov/2022,22:08:42
Venda - casa em rua pública,3,R$ 245.000,Centro,Presidente Prudente,SP,69m²,LEAL IMOVEIS LTDA - ME,01/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-presidente-prudente-residencial-jardins-3-dormitorios-1-suite-2-ban-1104159170,28/Nov/2022,22:08:42
Venda - casa em condominio fechado,3,R$ 2.390.000,Porto Madero Residence,Presidente Prudente,SP,250m²,CliqueiMudei,10/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-de-condominio-para-venda-em-porto-madero-residence-de-250-00m-com-3-quartos-3-suite-1108073368,28/Nov/2022,22:08:42
Venda - apartamento padrão,3,R$ 350.000,Jardim Paulista,Presidente Prudente,SP,138m²,Kelly,10/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/vendo-apartamento-no-edificio-chamonix-1108119361,28/Nov/2022,22:08:43
Venda - casa em rua pública,4,R$ 650.000,Vila Machadinho,Presidente Prudente,SP,319m²,Imobiliária Rio Branco,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-casa-padrao-vila-boa-vista-976613079,28/Nov/2022,22:08:43
Venda - casa em vila,2,R$ 11.111.111,Jardim São Sebastião II,Presidente Prudente,SP,48m²,lsmanutencoes,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/ls-construcao-1108235806,28/Nov/2022,22:08:43
Venda - casa em rua pública,3,R$ 220.000,Vila Luso,Presidente Prudente,SP,230m²,Imobiliária Rio Branco,10/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-casa-padrao-jardim-ouro-verde-976612977,28/Nov/2022,22:08:43
Venda - apartamento padrão,2,R$ 160.000,Vila Furquim,Presidente Prudente,SP,48m²,IMOBILIARIA SISTEMA,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-no-condominio-principe-de-monaco-em-presidente-prudente-992118227,28/Nov/2022,22:08:43
Venda - apartamento padrão,1,R$ 125.000,Vila Furquim,Presidente Prudente,SP,41m²,Imobiliária Rio Branco,10/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-apartamento-padrao-vila-furquim-1055165316,28/Nov/2022,22:08:43
Venda - casa em rua pública,2,R$ 209.000,Centro,Presidente Prudente,SP,95m²,LEAL IMOVEIS LTDA - ME,01/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-presidente-prudente-minerva-2-dormitorios-1-banheiro-1-vaga-1104159009,28/Nov/2022,22:08:43
Venda - apartamento padrão,2,R$ 165.000,Jardim Eldorado,Presidente Prudente,SP,49m²,Marcio Silva,01/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-mrv-1104216581,28/Nov/2022,22:08:43
Venda - casa em rua pública,3,R$ 470.000,Conjunto Habitacional Ana Jacinta,Presidente Prudente,SP,200m²,Imobiliária Rio Branco,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-casa-padrao-novo-prudentino-1055177593,28/Nov/2022,22:08:43
Venda - casa em rua pública,3,R$ 470.000,Vila Euclides,Presidente Prudente,SP,143m²,IMOBILIARIA SISTEMA,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-terrea-no-bairro-vila-euclides-em-presidente-prudente-1032930369,28/Nov/2022,22:08:43
Venda - casa em rua pública,1,R$ 1.350.000,Vila Euclides,Presidente Prudente,SP,444m²,Imobiliária Rio Branco,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-casa-comercial-vila-euclides-1059198552,28/Nov/2022,22:08:43
Venda - apartamento padrão,3,R$ 520.000,Vila Maristela,Presidente Prudente,SP,140m²,Imobiliária Rio Branco,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/presidente-prudente-apartamento-padrao-vila-machadinho-976612985,28/Nov/2022,22:08:43
Venda - casa em rua pública,3,R$ 300.000,Parque Residencial Jardins,Presidente Prudente,SP,137m²,Diego Siqueira,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-em-alfredo-marcondes-com-excelente-padrao-de-acabamento-1103815736,28/Nov/2022,22:08:43
Venda - casa em rua pública,3,R$ 750.000,Jardim Maracanã,Presidente Prudente,SP,256m²,IMOBILIARIA SISTEMA,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/sobrado-no-bairro-jardim-maracana-em-presidente-prudente-992118297,28/Nov/2022,22:08:43
Venda - casa em rua pública,1,R$ 270.000,Centro,Presidente Prudente,SP,100m²,LEAL IMOVEIS LTDA - ME,01/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-presidente-prudente-vista-bonita-1-dormitorio-1-banheiro-2-vagas-1104159143,28/Nov/2022,22:08:43
Venda - apartamento padrão,2,R$ 250.000,Vila Euclides,Presidente Prudente,SP,67m²,IMOBILIARIA SISTEMA,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-no-condominio-residencial-dahiane-em-presidente-prudente-992117986,28/Nov/2022,22:08:43
Venda - casa em rua pública,5 ou mais,R$ 1.500.000,Jardim Alto da Boa Vista,Presidente Prudente,SP,290m²,IMOBILIARIA SISTEMA,10/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/sobrado-no-condominio-damha-i-em-presidente-prudente-1079104751,28/Nov/2022,22:08:44
Venda - casa em rua pública,2,R$ 185.000,Centro,Presidente Prudente,SP,106m²,LEAL IMOVEIS LTDA - ME,01/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-presidente-prudente-cobral-2-dormitorios-1-banheiro-1-vaga-1104173774,28/Nov/2022,22:08:44
Venda - apartamento padrão,2,R$ 160.000,Vila Furquim,Presidente Prudente,SP,48m²,Fabricio Rafael V Tosta,11/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-terreo-no-condominio-principe-de-andorra-1108319536,28/Nov/2022,22:08:44
