tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 350.000,Ribeirânia,Ribeirão Preto,SP,680m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1105163686,21/Nov/2022,20:23:33
Terrenos,,R$ 1.500.000,Bonfim Paulista,Ribeirão Preto,SP,1000m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-em-condominio-fechado-1105164013,21/Nov/2022,20:23:33
Terrenos,,R$ 299.000,Jardim San Marco II,Ribeirão Preto,SP,250m²,Elevare Imóveis,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-no-san-marco-2-ilha-modena-bairro-jardim-san-marco-ribeirao-preto-sp-989610162,21/Nov/2022,20:23:33
Terrenos,,R$ 320.000,Portal da Mata,Ribeirão Preto,SP,348m²,New Home Brasil,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-para-venda-em-ribeirao-preto-portal-da-mata-1083494449,21/Nov/2022,20:23:33
Terrenos,,R$ 285.000,Jardim Itaú,Ribeirão Preto,SP,660m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1105169479,21/Nov/2022,20:23:33
Terrenos,,R$ 160.000,Planalto Verde,Ribeirão Preto,SP,252m²,CliqueiMudei,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-para-venda-em-planalto-verde-de-252-00m-1105120119,21/Nov/2022,20:23:33
Terrenos,,R$ 1.450.000,Campos Elíseos,Ribeirão Preto,SP,4077m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1105099608,21/Nov/2022,20:23:33
Terrenos,,R$ 270.000,Real Sul,Ribeirão Preto,SP,300m²,IMOBILIÁRIA QUEBEC,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terrenos-venda-real-sul-cod-2032-1051527531,21/Nov/2022,20:23:34
Terrenos,,R$ 679.350,Residencial e Empresarial Alphaville,Ribeirão Preto,SP,565m²,USUÁRIO NEWCORE,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/lote565m-residencial-e-empresarial-alphaville-ribeirao-preto-1105079492,21/Nov/2022,20:23:34
Terrenos,,R$ 650.000,Bonfim Paulista,Ribeirão Preto,SP,494m²,Cavalo Marinho Imobiliária,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-494-m-por-r-650-000-00-alphaville-bonfim-paulista-ribeirao-preto-1053838045,21/Nov/2022,20:23:34
Terrenos,,R$ 5.000,Jardim Palma Travassos,Ribeirão Preto,SP,484m²,IMOBILIARIA TRADE,06/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-comercial-para-locacao-996504541,21/Nov/2022,20:23:34
Terrenos,,R$ 1.200.000,Campos Elíseos,Ribeirão Preto,SP,1144m²,IMOBILIARIA TRADE,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/area-a-venda-1144-m-por-r-1-200-000-00-campos-eliseos-ribeirao-preto-sp-996522247,21/Nov/2022,20:23:34
Terrenos,,R$ 170.000,Bonfim Paulista,Ribeirão Preto,SP,261m²,BORELLI IMOVEIS,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-261-m-por-r-170-000-00-residencial-terra-de-santa-marta-ribeirao-pr-964227008,21/Nov/2022,20:23:34
Terrenos,,R$ 700.000,Vila Seixas,Ribeirão Preto,SP,338m²,Imobiliária Canah LTDA,06/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-em-vila-seixas--ribeirao-preto-1106211645,21/Nov/2022,20:23:34
Terrenos,,R$ 635.000,Nova Aliança,Ribeirão Preto,SP,331m²,IMOVAN IMOVEIS EIRELI,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/ribeirao-preto-terreno-padrao-nova-alianca-1019066198,21/Nov/2022,20:23:34
Terrenos,,R$ 250.000,Portal da Mata,Ribeirão Preto,SP,300m²,BORELLI IMOVEIS,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-300-m-por-r-250-000-00-portal-da-mata-ribeirao-preto-sp-1022853104,21/Nov/2022,20:23:34
Terrenos,,R$ 400.000,Ribeirânia,Ribeirão Preto,SP,476m²,JFC Imobiliária,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-ribeirania-ribeirao-preto-sp-941893400,21/Nov/2022,20:23:34
Terrenos,,R$ 798.000,Condomínio Garden Ville,Ribeirão Preto,SP,2173m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-portaria-24hs-em-condominio-fechado-1105163600,21/Nov/2022,20:23:34
Terrenos,,R$ 375.000,Portal da Mata,Ribeirão Preto,SP,360m²,CORRETORES & CIA,06/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-em-condominio-a-venda-bosque-de-santa-teresa-ribeirao-preto-sp-1106212286,21/Nov/2022,20:23:34
Terrenos,,R$ 160.000,Recreio Anhangüera,Ribeirão Preto,SP,250m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1105107359,21/Nov/2022,20:23:34
Terrenos,,R$ 2.350.000,Jardim Botânico,Ribeirão Preto,SP,1015m²,CIRCULUS NEGÓCIOS IMOBILIÁRIOS,06/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-1015-m-por-r-2-350-000-00-condominio-village-monet-ribeirao-preto-s-1049686372,21/Nov/2022,20:23:34
Terrenos,,R$ 185.000,Bonfim Paulista,Ribeirão Preto,SP,257m²,Rossini Negócios Imobiliários Ltda,03/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-em-condominio-bonfim-paulista-sp-1015309338,21/Nov/2022,20:23:35
