tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 268.000,Santa Luzia,Araçatuba,SP,339m²,Correta Imoveis,01/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-santa-luzia-1073616642,01/Nov/2022,03:07:12
Terrenos,,R$ 80.000,Lago Azul,Araçatuba,SP,308m²,Caue Queiroz Pereira,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-venda-em-aracatuba-85-mil-1049470483,01/Nov/2022,03:07:13
Terrenos,,R$ 120.000,Ipanema,Araçatuba,SP,220m²,Gustavo Rocha de Souza,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-no-cond-vila-madalena-ii-quitado-220m-1101654238,01/Nov/2022,03:07:13
Terrenos,,R$ 85.000,Vila Aeronáutica,Araçatuba,SP,206m²,Correta Imoveis,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-vila-aeronautica-1073617357,01/Nov/2022,03:07:13
Terrenos,,R$ 500.000,Aviação,Araçatuba,SP,987m²,Correta Imoveis,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-aviacao-1073976619,01/Nov/2022,03:07:13
Terrenos,,R$ 140.000,Concórdia II,Araçatuba,SP,250m²,Correta Imoveis,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-concordia-ii-1073976370,01/Nov/2022,03:07:13
Terrenos,,R$ 105.000,Ipanema,Araçatuba,SP,200m²,Imobiliária Bastos,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/lote-terreno-para-venda-com-200-m-condominio-vila-madalena-2-aracatuba-sp-1103828346,01/Nov/2022,03:07:13
Terrenos,,R$ 185.000,Alphaville Araçatuba 2,Araçatuba,SP,380m²,Imobiliária Bastos,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-tem-380-metros-quadrados-em-alphaville-aracatuba-2-arac-1103819306,01/Nov/2022,03:07:13
Terrenos,,R$ 2.000.000,Jardim Sumaré,Araçatuba,SP,1680m²,ACERTTO IMÓVEIS,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-1680-m-venda-por-r-2-000-000-00-ou-aluguel-por-r-4-500-00-mes-jardim-sumar-1071206551,01/Nov/2022,03:07:13
Terrenos,,R$ 90.000,Iporã,Araçatuba,SP,282m²,Correta Imoveis,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-ipora-1073616777,01/Nov/2022,03:07:13
Terrenos,,R$ 100.000,Vila Aeronáutica,Araçatuba,SP,200m²,Correta Imoveis,31/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-vila-aeronautica-1073616792,01/Nov/2022,03:07:14
Terrenos,,R$ 135.000,Centro,Araçatuba,SP,200m²,André,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-vila-madalena-1-a-venda-200-m2-ao-lado-do-delta-e-habiana-1033293345,01/Nov/2022,03:07:14
Terrenos,,R$ 67.000,Chácaras Moema,Araçatuba,SP,525m²,cesar,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-no-copacabana-1077130822,01/Nov/2022,03:07:14
Terrenos,,R$ 195.000,Saudade,Araçatuba,SP,320m²,Imobiliária Bastos,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-com-320m2-excelente-localizacao-proximo-ao-supermercado-tonin-em-ar-1027711541,01/Nov/2022,03:07:14
Terrenos,,R$ 450.000,Alvorada,Araçatuba,SP,539m²,Aline Pires Corretora,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/esquina-alphaville-957494143,01/Nov/2022,03:07:14
Terrenos,,R$ 20.000,Jardim Nova Yorque,Araçatuba,SP,1000m²,ACERTTO IMÓVEIS,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-alugar-1000-m-por-r-20-000-00-mes-jardim-nova-yorque-aracatuba-sp-956240612,01/Nov/2022,03:07:14
Terrenos,,R$ 290.000,Campus Universitário,Araçatuba,SP,360m²,Adriane Sampaio Ratão,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/alphaville-lote-terreno-para-venda-tem-360-metros-quadrados-em-campus-universitario-arac-1053439362,01/Nov/2022,03:07:14
Terrenos,,R$ 145.000,Ipanema,Araçatuba,SP,250m²,Rodrigo  batista da silva,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-condominio-vila-madalena-1103551455,01/Nov/2022,03:07:14
Terrenos,,R$ 1.040.000,Umuarama,Araçatuba,SP,2400m²,Sergio Inácio,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/lote-terreno-bairro-umuarama-aracatuba-sao-paulo-1003508582,01/Nov/2022,03:07:14
Terrenos,,R$ 180.000,Alvorada,Araçatuba,SP,325m²,Correta Imoveis,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-alvorada-1073616488,01/Nov/2022,03:07:14
Terrenos,,R$ 351.450,Alvorada,Araçatuba,SP,585m²,Correta Imoveis,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-alphaville-aracatuba-1073617376,01/Nov/2022,03:07:14
Terrenos,,R$ 300.000,Alvorada,Araçatuba,SP,588m²,Correta Imoveis,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-alvorada-1055026628,01/Nov/2022,03:07:14
Terrenos,,R$ 60.000,Água Branca I,Araçatuba,SP,,Imobiliária Bastos,30/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/oportunidade-terreno-para-venda-com-250m2-no-bairro-agua-branca-em-aracatuba-1038398689,01/Nov/2022,03:07:15
Terrenos,,R$ 540.000,Parque Baguaçu,Araçatuba,SP,600m²,Aline Pires Corretora,29/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-baguacu-proximo-hospital-unimed-957458219,01/Nov/2022,03:07:15
Terrenos,,R$ 140.000,Iporã,Araçatuba,SP,300m²,Correta Imoveis,29/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/aracatuba-lote-terreno-ipora-1073615464,01/Nov/2022,03:07:15
Terrenos,,R$ 150.000,Parque Baguaçu,Araçatuba,SP,,EXTENSAO IMOVEIS LTDA,29/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-a-venda-no-bairro-n-iorque-aracatuba-cod-30547-1103340086,01/Nov/2022,03:07:15
Terrenos,,R$ 115.000,Ipanema,Araçatuba,SP,200m²,Alvaro Esteves Junior,29/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-aracatuba-ipanema-1103134084,01/Nov/2022,03:07:15
Terrenos,,R$ 169.000,Rosele,Araçatuba,SP,368m²,Alvaro Esteves Junior,29/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-aracatuba-rosele-1103125390,01/Nov/2022,03:07:15
Terrenos,,R$ 85.000,Pinheiros,Araçatuba,SP,300m²,Sergio Inácio,28/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-condominio-mansur-aracatuba-sp-932438965,01/Nov/2022,03:07:15
