tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 240.000,Conjunto Residencial Luiz Egydio de Cerqueira César,Marília,SP,200m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-3-dormitorios-a-venda-conjunto-residencial-luiz-egydio-de-cerqueira-cesar-1038433972,14/Nov/2022,22:06:42
Venda - casa em rua pública,3,R$ 600.000,Jardim São Domingos,Marília,SP,210m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-3-dormitorios-a-venda-210-m-jardim-sao-domingos-1038433875,14/Nov/2022,22:06:42
Venda - casa em rua pública,2,R$ 300.000,São João,Marília,SP,250m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-2-dormitorios-a-venda-por-r-300-000-00-sao-joao-marilia-sp-1038434262,14/Nov/2022,22:06:42
Venda - apartamento padrão,2,R$ 150.000,Jardim Cavallari,Marília,SP,47m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-2-dormitorios-a-venda-47-m-jardim-cavallari-1038434019,14/Nov/2022,22:06:42
Venda - casa em rua pública,3,R$ 850.000,Jardim Tropical,Marília,SP,150m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-3-dormitorios-a-venda-com-1000metros-quadrados-de-terreno-150-m-por-r-850-000-1038435302,14/Nov/2022,22:06:42
Venda - casa em rua pública,3,R$ 285.000,Cavalieri II,Marília,SP,147m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-3-dormitorios-a-venda-147-m-cavalieri-ii-1038433994,14/Nov/2022,22:06:42
Venda - casa em rua pública,5 ou mais,R$ 400.000,Alto Cafezal,Marília,SP,180m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-5-dormitorios-a-venda-180-m-alto-cafezal-marilia-sp-1038431616,14/Nov/2022,22:06:43
Venda - apartamento padrão,3,R$ 500.000,Senador Salgado Filho,Marília,SP,128m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-3-dormitorios-a-venda-128-m-senador-salgado-filho-1038433058,14/Nov/2022,22:06:43
Venda - apartamento padrão,3,R$ 400.000,Boa Vista,Marília,SP,90m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-3-dormitorios-a-venda-90-m-por-r-400-000-00-boa-vista-marilia-sp-1038434060,14/Nov/2022,22:06:43
Venda - casa em rua pública,3,R$ 500.000,Jardim Monte Castelo,Marília,SP,110m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-3-dormitorios-a-venda-110-m-jardim-monte-castelo-1038434012,14/Nov/2022,22:06:43
Venda - casa em rua pública,3,R$ 390.000,Hípica Paulista,Marília,SP,125m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-3-dormitorios-a-venda-hipica-paulista-1038432881,14/Nov/2022,22:06:43
Venda - apartamento padrão,3,R$ 310.000,Jardim Estoril,Marília,SP,100m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-com-3-dormitorios-a-venda-100-m-por-r-310-000-00-jardim-estoril-marilia-1038433870,14/Nov/2022,22:06:43
Venda - casa em rua pública,2,R$ 145.000,Residencial Vida Nova Maracá (Padre Nobrega),Marília,SP,160m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-2-dormitorios-a-venda-maraca-ii-1038422748,14/Nov/2022,22:06:43
Venda - casa em rua pública,2,R$ 198.000,Parque das Acácias,Marília,SP,60m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-2-dormitorios-a-venda-60-m-parque-das-acacias-1038421880,14/Nov/2022,22:06:43
