tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,2,R$ 550.000,Vila Leme da Silva,Bauru,SP,70m²,Rosane Vargas,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-para-venda-em-bauru-jardim-europa-urban-europa-2-dormitorios-2-suites-3-ba-1046543943,11/Oct/2022,22:12:26
Venda - casa em condominio fechado,5 ou mais,R$ 1.850.000,Vila Serrão,Bauru,SP,332m²,Giuliano Persicheto,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-05-quartos-para-venda-1075670866,11/Oct/2022,22:12:26
Venda - apartamento padrão,2,R$ 265.000,Jardim América,Bauru,SP,60m²,Ana Claudia Avallone,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/apartamento-proximo-a-av-getulio-vargas-1085046962,11/Oct/2022,22:12:26
Venda - apartamento padrão,2,R$ 290.000,Vila Altinópolis,Bauru,SP,73m²,Valor Negócios Imobiliários ltda,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/edificio-solar-cristiane-apartamento-para-venda-vl-universitaria-996734093,11/Oct/2022,22:12:27
Venda - casa em rua pública,4,R$ 435.000,Vila Nova Santa Clara,Bauru,SP,200m²,J. BROKER IMOVEIS - MV,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-4-dormitorios-a-venda-200-m-por-r-435-000-00-jardim-estoril-bauru-sp-947888680,11/Oct/2022,22:12:27
Venda - casa em rua pública,3,R$ 580.000,Centro,Bauru,SP,143m²,Vania Pavanelli,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-centro-proxima-ao-supermercado-confianca-da-av-nacoes-unidas-bauru-sp-1075656549,11/Oct/2022,22:12:27
Venda - casa em condominio fechado,3,R$ 2.600.000,Residencial Lago Sul,Bauru,SP,270m²,COPPI Imóveis,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-terrea-lago-sul-1084246033,11/Oct/2022,22:12:27
Venda - apartamento padrão,3,R$ 450.000,Vila Santa Tereza,Bauru,SP,86m²,Perfil Imóveis Bauru,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/proximo-hotel-obeid-plazza-992857785,11/Oct/2022,22:12:27
Venda - apartamento padrão,2,R$ 200.000,Jardim Terra Branca,Bauru,SP,50m²,IMOBILIÁRIA BUSCH IMÓVEIS,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/reserva-terra-branca-934442334,11/Oct/2022,22:12:27
Venda - apartamento padrão,2,R$ 220.000,Jardim Samburá,Bauru,SP,48m²,IMOBILIÁRIA BUSCH IMÓVEIS,10/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/campo-limpo-1004413592,11/Oct/2022,22:12:27
