tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 118.000,Jardim Marise,Bauru,SP,450m²,Elvis J. Lima,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terrenos-em-paranapanema-1085545019,11/Oct/2022,21:46:45
Terrenos,,R$ 399.000,Vila Aviação,Bauru,SP,507m²,D'FATTO IMÓVEIS,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-em-condominio-995595030,11/Oct/2022,21:46:45
Terrenos,,R$ 75.000,Vila Santa Filomena,Bauru,SP,136m²,Casaecia Negócios Imobiliários LTDA,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-murado-com-136-75m-na-vila-santa-filomena-1085527183,11/Oct/2022,21:46:45
Terrenos,,R$ 320.000,Parque Jardim Europa,Bauru,SP,968m²,PÔRTO IMOBILIARIA,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/2-lotes-juntos-br-j-america-989180446,11/Oct/2022,21:46:46
Terrenos,,R$ 480.000,Samambaia Parque Residencial,Bauru,SP,584m²,PÔRTO IMOBILIARIA,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/cond-samambaia-lindo-terreno-989180666,11/Oct/2022,21:46:46
Terrenos,,R$ 18.000,Parque Santa Edwiges,Bauru,SP,,Priscila,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vende-se-terreno-no-pousada-da-esperanca-1085464116,11/Oct/2022,21:46:46
Terrenos,,R$ 185.000,Floratta Nações Residencial,Bauru,SP,250m²,LIMA IMOVEIS LTDA,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/residencial-floratta-altos-das-nacoes-1020286772,11/Oct/2022,21:46:46
Terrenos,,R$ 140.000,Novo Jardim Pagani,Bauru,SP,1440m²,D'FATTO IMÓVEIS,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote-em-condominio-estrada-bauru-arealva-995595105,11/Oct/2022,21:46:46
Terrenos,,R$ 280.000,Residencial Tivoli,Bauru,SP,360m²,AX Imobiliária,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-360-m-por-r-280-000-00-residencial-tivoli-ii-bauru-sp-952823367,11/Oct/2022,21:46:46
Terrenos,,R$ 180.000,Jardim Petrópolis,Bauru,SP,330m²,LIMA IMOVEIS LTDA,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-jardim-progresso-992083463,11/Oct/2022,21:46:46
Terrenos,,R$ 80.000,Parque Roosevelt,Bauru,SP,133m²,MORAES IMOBILIARIA EIRELI,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-132-m-por-r-80-000-00-parque-roosevelt-bauru-sp-1085394344,11/Oct/2022,21:46:46
Terrenos,,R$ 500.000,Vila Aviação,Bauru,SP,450m²,MORAES IMOBILIARIA EIRELI,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-450-m-por-r-500-000-cidade-jardim-residencial-bauru-sp-1085392013,11/Oct/2022,21:46:46
Terrenos,,R$ 12.000.000,Parque São Geraldo,Bauru,SP,13699m²,CLAUDIA MIRANDA ALCANTARA RIBEIRO,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/area-parque-residencial-castelo-bauru-1085389667,11/Oct/2022,21:46:46
Terrenos,,R$ 150.000,Núcleo Residencial Presidente Geisel,Bauru,SP,200m²,CLAUDIA MIRANDA ALCANTARA RIBEIRO,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-nucleo-residencial-presidente-geisel-bauru-1085389341,11/Oct/2022,21:46:46
Terrenos,,R$ 530.000,Vila Aviação,Bauru,SP,440m²,MORAES IMOBILIARIA EIRELI,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-440-m-por-r-530-000-cidade-jardim-residencial-bauru-sp-1085382296,11/Oct/2022,21:46:47
Terrenos,,R$ 120.000,Parque Santa Edwiges,Bauru,SP,300m²,MORAES IMOBILIARIA EIRELI,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-300-m-por-r-120-000-parque-santa-edwiges-bauru-sp-1085382212,11/Oct/2022,21:46:47
Terrenos,,R$ 630.000,Alphaville,Bauru,SP,460m²,Marcus Paulo Consultor de Imóveis,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/residencial-alphaville-1085354297,11/Oct/2022,21:46:47
Terrenos,,R$ 140.000,Parque das Nações,Bauru,SP,263m²,Fluxo Negócios Imobiliários Ltda,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-bairro-parque-das-nacoes-na-cidade-de-bauru-1085350897,11/Oct/2022,21:46:47
Terrenos,,R$ 255.000,Vila Engler,Bauru,SP,242m²,Zwicker Imóveis,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/excelente-terreno-na-vila-engler-1085340835,11/Oct/2022,21:46:47
Terrenos,,R$ 86.000,Parque Santa Edwiges,Bauru,SP,,Zwicker Imóveis,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/excelente-terreno-plano-no-santa-edwirges-957530865,11/Oct/2022,21:46:47
Terrenos,,R$ 295.000,Centro,Bauru,SP,218m²,PÔRTO IMOBILIARIA,17/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-em-otima-localizacao-proximo-ao-hosp-de-base-989180695,11/Oct/2022,21:46:47
Terrenos,,R$ 795.000,Alphaville,Bauru,SP,530m²,A1 Negócios Imobiliários,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-bairro-alphaville-988610386,11/Oct/2022,21:46:47
Terrenos,,R$ 85.000,Pousada da Esperança I,Bauru,SP,188m²,LIMA IMOVEIS LTDA,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-esquina-plano-pousada-1-992083372,11/Oct/2022,21:46:47
Terrenos,,R$ 118.000,Parque Real,Bauru,SP,450m²,Elvis J. Lima,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-1085302350,11/Oct/2022,21:46:47
Terrenos,,R$ 700,Centro,Bauru,SP,32m²,Ascielli Consultoria Imobiliária,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/area-para-alugar-32-m-por-r-700-00-mes-centro-bauru-sp-967747364,11/Oct/2022,21:46:47
Terrenos,,R$ 118.000,Parque Alto Sumaré,Bauru,SP,450m²,Elvis J. Lima,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/bora-conquistar-seu-sonho-de-ter-um-terreno-1085289725,11/Oct/2022,21:46:47
Terrenos,,R$ 350.000,Residencial Spazio Verde Comendador,Bauru,SP,360m²,Guta Vicentin,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-spazio-comendador-970508851,11/Oct/2022,21:46:47
Terrenos,,R$ 118.000,Parque Residencial Jardim Araruna,Bauru,SP,450m²,Elvis J. Lima,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-1085264890,11/Oct/2022,21:46:48
Terrenos,,R$ 118.000,Jardim da Grama,Bauru,SP,450m²,Elvis J. Lima,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/bora-conquistar-seu-sonho-de-ter-um-terreno-1085262104,11/Oct/2022,21:46:48
Terrenos,,R$ 118.000,Vila São João da Boa Vista,Bauru,SP,450m²,Elvis J. Lima,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vendo-terreno-em-lugar-tranquilo-com-area-verde-1085259336,11/Oct/2022,21:46:48
Terrenos,,R$ 118.000,Vila Bela,Bauru,SP,450m²,Elvis J. Lima,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/compre-um-terreno-1085235401,11/Oct/2022,21:46:48
Terrenos,,R$ 390.000,Panorama Parque,Bauru,SP,2500m²,MFX Imobiliária,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/bauru-terreno-padrao-chacaras-cardoso-1070265189,11/Oct/2022,21:46:48
Terrenos,,R$ 380.000,Residencial Villa Lobos,Bauru,SP,525m²,A1 Negócios Imobiliários,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-villa-lobos-988610381,11/Oct/2022,21:46:48
Terrenos,,R$ 325.000,Samambaia Parque Residencial,Bauru,SP,387m²,D'FATTO IMÓVEIS,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-condominio-tambore-995594776,11/Oct/2022,21:46:48
Terrenos,,R$ 210.000,Quinta Ranieri,Bauru,SP,360m²,LIMA IMOVEIS LTDA,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote-residencial-quinta-ranieri-green-996787311,11/Oct/2022,21:46:48
Terrenos,,R$ 125.000,Quinta Ranieri,Bauru,SP,1186m²,Ebert,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-em-piratininga-1085169505,11/Oct/2022,21:46:48
Terrenos,,R$ 1.200,Jardim América,Bauru,SP,440m²,LIMA IMOVEIS LTDA,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-jardim-america-1049505094,11/Oct/2022,21:46:48
Terrenos,,R$ 78.000,Parque Roosevelt,Bauru,SP,132m²,Guta Vicentin,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-parque-roosevelt-1075281902,11/Oct/2022,21:46:49
Terrenos,,R$ 370.000,Jardim América,Bauru,SP,356m²,Innovar Imobiliária,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-356-m-por-r-370-000-00-jardim-america-bauru-sp-892408869,11/Oct/2022,21:46:49
Terrenos,,R$ 250.000,Samambaia Parque Residencial,Bauru,SP,364m²,D'FATTO IMÓVEIS,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-condominio-residencial-tambore-995595206,11/Oct/2022,21:46:49
Terrenos,,R$ 360.000,Centro,Bauru,SP,462m²,MFX Imobiliária,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/bauru-terreno-padrao-centro-1071016314,11/Oct/2022,21:46:49
Terrenos,,R$ 350.000,Residencial Tamboré,Bauru,SP,380m²,Marcus Paulo Consultor de Imóveis,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/condominio-residencial-tambore-1085076585,11/Oct/2022,21:46:49
Terrenos,,R$ 320.000,Vila América,Bauru,SP,,Zwicker Imóveis,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/excelente-terreno-em-regiao-residencial-e-comercial-1085052776,11/Oct/2022,21:46:49
Terrenos,,R$ 480.000,Residencial Estoril Premium,Bauru,SP,443m²,B2B Imóveis,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-para-venda-em-bauru-residencial-cyrela-estoril-premium-993251536,11/Oct/2022,21:46:49
Terrenos,,R$ 70.000,Parque Jaraguá,Bauru,SP,150m²,Imóveis Mercúrio,16/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-150-m-por-r-70-000-00-parque-jaragua-bauru-sp-1085032823,11/Oct/2022,21:46:49
Terrenos,,R$ 86.000,Vila Santista,Bauru,SP,484m²,Imobiliária Lopes Svissero,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-bairro-vila-santista-1083373618,11/Oct/2022,21:46:50
Terrenos,,R$ 118.000,Núcleo Eldorado,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/venha-adquirir-um-terreno-1083368996,11/Oct/2022,21:46:50
Terrenos,,R$ 285.000,Vila Pacífico,Bauru,SP,4933m²,Trajano Rodondo,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-condominio-fechado-palmas-del-rey-proximo-aeroporto-bauru-arealva-1083343149,11/Oct/2022,21:46:50
Terrenos,,R$ 280.000,Residencial Tamboré,Bauru,SP,371m²,Isabelle M. O. Santos,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-371-84-tambore-1079137474,11/Oct/2022,21:46:50
Terrenos,,R$ 320.000,Residencial Tamboré,Bauru,SP,379m²,Isabelle M. O. Santos,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-379-tambore-1079137493,11/Oct/2022,21:46:50
Terrenos,,R$ 125.000,Conjunto Habitacional Isaura Pitta Garms,Bauru,SP,200m²,Innovar Imobiliária,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-200-m-por-r-125-000-conjunto-habitacional-isaura-pitta-garms-bauru-892408982,11/Oct/2022,21:46:50
Terrenos,,R$ 380.000,Samambaia Parque Residencial,Bauru,SP,374m²,MFX Imobiliária,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/bauru-loteamento-condominio-tambore-1052726987,11/Oct/2022,21:46:50
Terrenos,,R$ 250.000,Jardim Estoril,Bauru,SP,480m²,Isabelle M. O. Santos,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-de-480m-a-venda-por-r-250-000-00-jardim-estoril-ii-bauru-sp-1079137482,11/Oct/2022,21:46:50
Terrenos,,R$ 118.000,Jardim Marabá,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-com-negociacao-facilitada-1083163923,11/Oct/2022,21:46:50
Terrenos,,R$ 118.000,Jardim Vitória,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-com-vista-incrivel-para-a-natureza-1083163903,11/Oct/2022,21:46:51
Terrenos,,R$ 118.000,Vila São Manoel,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/bora-conquistar-seu-sonho-de-ter-um-terreno-1083163836,11/Oct/2022,21:46:51
Terrenos,,R$ 118.000,Parque Jaraguá,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vendo-um-lindo-terreno-com-vista-para-a-natureza-1083160595,11/Oct/2022,21:46:51
Terrenos,,R$ 118.000,Jardim Eldorado,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/invista-agora-seu-dinheiro-1083142348,11/Oct/2022,21:46:51
Terrenos,,R$ 118.000,Parque Sergipe,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/garanta-um-terreno-com-pagamento-facilitado-1083142307,11/Oct/2022,21:46:51
Terrenos,,R$ 390.000,Samambaia Parque Residencial,Bauru,SP,371m²,AX Imobiliária,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-371-m-por-r-390-000-00-tambore-bauru-bauru-sp-952823454,11/Oct/2022,21:46:51
Terrenos,,R$ 118.000,Distrito Ind Iii,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-1083136728,11/Oct/2022,21:46:51
Terrenos,,R$ 118.000,Vila Industrial,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/compre-um-terreno-em-paranapanema-1083127167,11/Oct/2022,21:46:51
Terrenos,,R$ 118.000,Núcleo Habitacional Vereador Edson Francisco da Silva,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-com-vista-incrivel-para-a-natureza-1083126253,11/Oct/2022,21:46:51
Terrenos,,R$ 220.000,Jardim Marabá,Bauru,SP,450m²,D'FATTO IMÓVEIS,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-villagio-campo-novo-995594991,11/Oct/2022,21:46:52
Terrenos,,R$ 320.900,Samambaia Parque Residencial,Bauru,SP,322m²,Imobiliária Ponce Amaral,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/residencial-guestier-boutique-984808343,11/Oct/2022,21:46:52
Terrenos,,R$ 118.000,Chácaras Urupês,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-1083089903,11/Oct/2022,21:46:52
Terrenos,,R$ 110.000,Vila Souto,Bauru,SP,187m²,Mirela Omelis,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vendo-ou-troco-1083080180,11/Oct/2022,21:46:52
Terrenos,,R$ 118.000,Jardim Brasil,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-com-otima-vista-para-a-natureza-1083079262,11/Oct/2022,21:46:52
Terrenos,,R$ 92.000,Residencial Parque Granja Cecília A,Bauru,SP,133m²,Innovar Imobiliária,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-133-m-por-r-92-000-residencial-parque-granja-cecilia-a-bauru-sp-892226057,11/Oct/2022,21:46:52
Terrenos,,R$ 110.000,Jardim Silvestre,Bauru,SP,,Zwicker Imóveis,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/otimo-terreno-a-venda-no-jardim-silvestre-ii-986491097,11/Oct/2022,21:46:52
Terrenos,,R$ 118.000,Jardim Samburá,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-em-paranapanema-com-uma-linda-vista-1083070614,11/Oct/2022,21:46:52
Terrenos,,R$ 118.000,Jardim Redentor,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vendo-um-lindo-terreno-com-excelente-localizacao-1083061402,11/Oct/2022,21:46:53
Terrenos,,R$ 118.000,Jardim Panorama,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/quer-morar-em-um-lugar-assim-1083046119,11/Oct/2022,21:46:53
Terrenos,,R$ 230,Vila Independência,Bauru,SP,400m²,Meu Mundo Terápico,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-plano-e-grande-da-desdobro-1083036181,11/Oct/2022,21:46:53
Terrenos,,R$ 118.000,Jardim Santana,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vendo-lote-em-area-verde-e-com-lagos-para-seu-descanso-e-bem-estar-1082981335,11/Oct/2022,21:46:53
Terrenos,,R$ 118.000,Parque Alto Sumaré,Bauru,SP,450m²,Elvis J. Lima,12/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/bora-conquistar-seu-sonho-de-ter-um-terreno-1082980400,11/Oct/2022,21:46:53
