tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 95.400,Reserva Macaúba,Ribeirão Preto,SP,182m²,AMBAR EMPREENDIMENTOS IMOBILIARIOS LTDA - ME,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-ribeirao-preto-reserva-macauba-1063787703,11/Oct/2022,23:56:25
Terrenos,,R$ 450.000,Loteamento Terras de Florença,Ribeirão Preto,SP,344m²,ARCHANGELO IMÓVEIS,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/lote-em-condominio-a-venda-cond-quinta-dos-ventos-ribeirao-preto-sp-1054795189,11/Oct/2022,23:56:26
Terrenos,,R$ 120.000,Vila Mariana,Ribeirão Preto,SP,341m²,ARCHANGELO IMÓVEIS,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-vila-mariana-ribeirao-preto-sp-995089557,11/Oct/2022,23:56:26
Terrenos,,R$ 150.000,Bonfim Paulista,Ribeirão Preto,SP,263m²,Flat Imóveis Empreendimentos Imobiliários Ribeirão Preto Ltda Me,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-residencial-a-venda-vila-do-golf-ribeirao-preto-te0061-1087450647,11/Oct/2022,23:56:26
Terrenos,,R$ 580.000,Residencial e Empresarial Alphaville,Ribeirão Preto,SP,488m²,Aliança Imoveis,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-condominio-ribeirao-preto-alphaville-1046063404,11/Oct/2022,23:56:26
Terrenos,,R$ 600.000,Bonfim Paulista,Ribeirão Preto,SP,671m²,BRIONI IMÓVEIS,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-670-m-por-r-600-000-00-condominio-siena-ribeirao-preto-sp-1048045303,11/Oct/2022,23:56:27
Terrenos,,R$ 95.000,Parque Residencial Cidade Universitária,Ribeirão Preto,SP,144m²,Valor Imóveis,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-144-m-por-r-95-000-reserva-macauba-ribeirao-preto-sp-1031575031,11/Oct/2022,23:56:27
Terrenos,,R$ 4.000,Recreio Anhanguera,Ribeirão Preto,SP,834m²,Magna Imóveis e Administração Ltda.,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-para-alugar-834-m-por-r-4-000-mes-recreio-anhang-era-ribeirao-preto-sp-1064650908,11/Oct/2022,23:56:27
Terrenos,,R$ 289.000,Jardim Recreio,Ribeirão Preto,SP,450m²,Imobiliária Canah LTDA,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/ribeirao-preto-terreno-padrao-jardim-recreio-1012056562,11/Oct/2022,23:56:27
Terrenos,,R$ 280.000,City Ribeirão,Ribeirão Preto,SP,490m²,ANAJU EMPREENDIMENTO IMOBILIARIO LTDA - ME,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-rua-city-ribeirao-ribeirao-preto-sp-1029584188,11/Oct/2022,23:56:27
Terrenos,,R$ 277.000,Portal da Mata,Ribeirão Preto,SP,340m²,Flat Imóveis Empreendimentos Imobiliários Ribeirão Preto Ltda Me,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-residencial-a-venda-portal-da-mata-bonfim-paulista-te0006-1087450577,11/Oct/2022,23:56:27
Terrenos,,R$ 550.000,Residencial Alto do Castelo,Ribeirão Preto,SP,360m²,Wellington Evangelista,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-condominio-alto-do-castelo-em-ribeirao-preto-1081131889,11/Oct/2022,23:56:27
Terrenos,,R$ 10.505.000,Quinta da Primavera,Ribeirão Preto,SP,3502m²,Peniel Negócios Imobiliários,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-3501-m-por-r-10-505-000-00-quinta-da-primavera-ribeirao-preto-sp-883761960,11/Oct/2022,23:56:27
Terrenos,,R$ 65.000,Jardim Pedra Branca,Ribeirão Preto,SP,160m²,ANDRADE & MENEZES,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-160-m-por-r-65-000-00-jardim-pedra-branca-ribeirao-preto-sp-929884265,11/Oct/2022,23:56:27
Terrenos,,R$ 425.000,Residencial Alto do Castelo,Ribeirão Preto,SP,360m²,CIRCULUS NEGÓCIOS IMOBILIÁRIOS,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-360-m-por-r-425-000-00-alto-do-castelo-ribeirao-preto-sp-1049688288,11/Oct/2022,23:56:27
Terrenos,,R$ 470.000,Loteamento Terras de Florença,Ribeirão Preto,SP,618m²,Dantas Leal Negócios Imobiliários,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/lote-terreno-618-m-ilha-de-esquina-frente-a-area-verde-quinta-dos-ventos-981203918,11/Oct/2022,23:56:27
Terrenos,,R$ 5.700.000,Jardim Botânico,Ribeirão Preto,SP,1270m²,Cavalo Marinho Imobiliária,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-1270-m-por-r-5-700-000-00-jardim-botanico-ribeirao-preto-sp-1048506895,11/Oct/2022,23:56:27
Terrenos,,R$ 790.000,Residencial e Empresarial Alphaville,Ribeirão Preto,SP,684m²,SIM RIBEIRAO IMOVEIS EIRELI - ME,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-no-alphaville-bairro-alphaville-ribeirao-preto-1064345301,11/Oct/2022,23:56:27
Terrenos,,R$ 275.000,Real Sul,Ribeirão Preto,SP,340m²,PARTNERS NEGOCIOS IMOBILIARIOS EIRELI,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-em-condominio-para-venda-em-ribeirao-preto-real-sul-1041958720,11/Oct/2022,23:56:27
Terrenos,,R$ 990.000,Bonfim Paulista,Ribeirão Preto,SP,545m²,REMAX REDE WE,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-lindo-no-jardim-olhos-d-agua-loteamento-bela-vista-1014793295,11/Oct/2022,23:56:27
Terrenos,,R$ 195.000,Bonfim Paulista,Ribeirão Preto,SP,336m²,Rossini Negócios Imobiliários Ltda,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-em-condominio-bonfim-paulista-sp-987512780,11/Oct/2022,23:56:27
Terrenos,,R$ 296.800,Alto do Ipiranga,Ribeirão Preto,SP,300m²,Brandão Consultoria Imobiliária,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/area-venda-300-m-por-r-296-800-ipiranga-ribeirao-preto-sp-988072565,11/Oct/2022,23:56:28
Terrenos,,R$ 450.000,Jardim Sumaré,Ribeirão Preto,SP,450m²,CLASSE A RP IMÓVEIS VENDAS E ADMINISTRAÇÃO LTDA,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/ribeirao-preto-terreno-padrao-jardim-sumare-1019232042,11/Oct/2022,23:56:28
Terrenos,,R$ 170.000,Bonfim Paulista,Bonfim Paulista,SP,250m²,S. A. C. BOULEVARD IMOVEIS LTDA - ME,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/bonfim-paulista-loteamento-condominio-centro-1019219142,11/Oct/2022,23:56:28
Terrenos,,R$ 120.000,Bonfim Paulista,Ribeirão Preto,SP,188m²,Fortes Guimarães Imobiliária,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/bonfim-paulista-terreno-padrao-bonfim-paulista-998609711,11/Oct/2022,23:56:28
Terrenos,,R$ 800.000,Jardim Canadá,Ribeirão Preto,SP,1045m²,Cavalo Marinho Imobiliária,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-1045-m-por-r-800-000-00-jardim-canada-ribeirao-preto-sp-1048510681,11/Oct/2022,23:56:28
Terrenos,,R$ 1.500.000,Jardim Paulistano,Ribeirão Preto,SP,300m²,J Siqueira Imóveis,02/10/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/vendo-terreno-300-metros-de-esquina-1085010366,11/Oct/2022,23:56:28
