tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 100.000,Palmares,Parintins,AM,,Zelia Assis,02/07/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-para-venda-1052998876,23/Aug/2022,21:16:07
Venda - casa em condominio fechado,5 ou mais,R$ 230.000,Itaúna I,Parintins,AM,200m²,Imobiliaria Parintins,17/08/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-1072493819,23/Aug/2022,21:16:07
Venda - casa em rua pública,4,R$ 700.000,Centro,Parintins,AM,,Conceição,29/06/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-em-parintins-vendo-troco-por-apartamento-em-manaus-921158861,23/Aug/2022,21:16:07
Venda - casa em rua pública,3,R$ 250.000,Djard Vieira,Parintins,AM,,Jonathas Carneiro,28/06/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-parintins-1051229295,23/Aug/2022,21:16:07
Venda - casa em rua pública,3,R$ 500.000,Centro,Parintins,AM,,Consultora,23/07/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/ma-compre-seu-imovel-entrada-1-leia-o-anuncio-1031922896,23/Aug/2022,21:16:08
Venda - apartamento padrão,2,R$ 30.743,Djard Vieira,Parintins,AM,40m²,Iury Sampaio,24/06/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-residencial-vila-cristina-2qts-40m-parintins-1049044918,23/Aug/2022,21:16:08
Terrenos,,null,Teixeirão,Parintins,AM,,Dandara C.,19/08/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/terreno-na-beira-do-rio-parintins-1073120938,23/Aug/2022,21:16:08
Venda - casa em rua pública,0,R$ 330.000,Teixeirão,Parintins,AM,0m²,Consultora,13/07/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/dj-casa-a-venda-em-parintins-am-946048031,23/Aug/2022,21:16:08
Terrenos,,R$ 25.000,João Novo,Parintins,AM,150000m²,SENA,15/08/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/vendo-terreno-em-parintins-1071368036,23/Aug/2022,21:16:08
Venda - casa em rua pública,3,R$ 210.000,Centro,Parintins,AM,,Conceição,27/06/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-em-parintins-vendo-troco-com-a-apartamento-em-manaus-1005399909,23/Aug/2022,21:16:08
Venda - casa em rua pública,0,R$ 300.000,Emílio Moreira,Parintins,AM,0m²,Consultora,26/07/2022,https://am.olx.com.br/regiao-de-manaus/imoveis/dj-casa-a-venda-em-parintins-1036324029,23/Aug/2022,21:16:08
Terrenos,,null,União,Parintins,AM,,Rosalva,26/06/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/terreno-1050334214,23/Aug/2022,21:16:08
Terrenos,,R$ 1.000.000,Paulo Correa,Parintins,AM,,Consultora,25/07/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/gg-carta-de-credito-rural-em-parintins-leia-o-anuncio-982639934,23/Aug/2022,21:16:08
Terrenos,,R$ 280.000,Castanheira,Parintins,AM,1100m²,ABN IMOVEIS,19/08/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/terrenovenda-1-100-metros-quadrados-frente-para-o-lago-macurany-em-castanheira-parintin-1017752546,23/Aug/2022,21:16:08
Terrenos,,R$ 40.000,Djard Vieira,Parintins,AM,1000m²,Frank,07/07/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/2-terrenos-em-parintins-20x50-r-40mil-1055183684,23/Aug/2022,21:16:08
