tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 90.000,Loteamento Luizote IV,Uberlândia,MG,300m²,ALAN,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-comercial-em-avenida-1071782007,23/Aug/2022,22:58:43
Terrenos,,R$ 1.200.000,Taiaman,Uberlândia,MG,1000m²,STORTE IMÓVEIS LTDA,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/excelentes-terrenos-comerciais-a-venda-de-1-000m-a-1-414m-sendo-a-partir-de-r-1-200-00-1049030979,23/Aug/2022,22:58:47
Terrenos,,R$ 229.000,Jardim Europa,Uberlândia,MG,274m²,Copacabana Imobiliária,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-para-venda-em-uberlandia-jardim-italia-1005253763,23/Aug/2022,22:58:47
Terrenos,,R$ 800.000,Morada do Sol,Uberlândia,MG,5100m²,Thiago Ferrari,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/casa-de-condominio-para-venda-tem-5100-metros-quadrados-em-morada-do-sol-uberlandia-mg-1074454012,23/Aug/2022,22:58:47
Terrenos,,R$ 300.000,Custódio Pereira,Uberlândia,MG,600m²,LIDER NEGÓCIOS IMOBILIÁRIOS,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-custodio-pereira-1010418986,23/Aug/2022,22:58:48
Terrenos,,R$ 360.000,Santa Mônica,Uberlândia,MG,360m²,Bruno Peixoto,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/vendo-terreno-antiga-29-santa-monica-1074443943,23/Aug/2022,22:58:48
Terrenos,,R$ 1.510.000,Gávea,Uberlândia,MG,601m²,Terrenos Uberlândia,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-condominio-solares-da-gavea-986364592,23/Aug/2022,22:58:48
Terrenos,,R$ 350.000,Mansões Aeroporto,Uberlândia,MG,816m²,Ribeirao,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-frente-ao-aeroporto-uberlandia-1071815822,23/Aug/2022,22:58:48
Terrenos,,R$ 400.000,Martins,Uberlândia,MG,350m²,ATIVA IMOVEIS LTDA - ME,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-para-venda-em-uberlandia-mg-995655278,23/Aug/2022,22:58:48
Terrenos,,R$ 140.000,Minas Gerais,Uberlândia,MG,250m²,IMOBILIARIA MAX,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/excelente-terreno-no-minas-gerais-com-250m-por-r-140-000-1055141007,23/Aug/2022,22:58:48
Terrenos,,R$ 400.000,Morada da Colina,Uberlândia,MG,556m²,EVERTON IMOBILIARIA,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/otimo-terreno-zona-sul-uberlandia-mg-1029666931,23/Aug/2022,22:58:48
Terrenos,,R$ 660.000,Granja Marileusa,Uberlândia,MG,471m²,Rodrigo Corretor de Imóveis,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-em-condominio-condominio-alphaville-1-1067739160,23/Aug/2022,22:58:48
Terrenos,,R$ 290.000,Centro,Uberlândia,MG,316m²,Rodrigo Corretor de Imóveis,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-condominio-terras-alpha-1067740464,23/Aug/2022,22:58:48
Terrenos,,R$ 720.000,Carajás,Uberlândia,MG,960m²,N2  Imobiliária,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-carajas-993527051,23/Aug/2022,22:58:48
Terrenos,,R$ 230.000,Centro,Uberlândia,MG,275m²,Caira Fernanda,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-no-terras-alpha-1017959641,23/Aug/2022,22:58:48
Terrenos,,R$ 2.000,Alto Umuarama,Uberlândia,MG,318m²,N2 Imobiliária,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/aluguel-terreno-alto-umuarama-940955993,23/Aug/2022,22:58:49
Terrenos,,R$ 455.000,Granja Marileusa,Uberlândia,MG,451m²,Everton Flávio Cândido,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lotes-no-alphaville-com-condicoes-unicas-980322585,23/Aug/2022,22:58:49
Terrenos,,R$ 2.400.000,Centro,Uberlândia,MG,,CALIXTO NEGÓCIOS IMOBILIÁRIOS,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-bairro-copacabana-981452234,23/Aug/2022,22:58:49
Terrenos,,R$ 150.000,Dona Zulmira,Uberlândia,MG,,Valdo Jacinto de Souza,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-de-terreno-comercial-1019051583,23/Aug/2022,22:58:49
Terrenos,,R$ 555.600,Granja Marileusa,Uberlândia,MG,463m²,MICHEL MAKUL,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-com-463-m-condominio-alphaville-i-granja-marileusa-uberlandia-mg-1029744014,23/Aug/2022,22:58:49
Terrenos,,R$ 285.000,Alto Umuarama,Uberlândia,MG,316m²,Moriah Empreendimentos Imobiliários,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lote-condominio-terras-alphaville-316m-1065424318,23/Aug/2022,22:58:49
Terrenos,,R$ 500.000,Santa Mônica,Uberlândia,MG,420m²,LIDER NEGÓCIOS IMOBILIÁRIOS,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-santa-monica-1010418988,23/Aug/2022,22:58:49
Terrenos,,R$ 225.000,Novo Mundo,Uberlândia,MG,300m²,Terrenos Uberlândia,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-bairro-bem-viver-novo-mundo-300m-1073253952,23/Aug/2022,22:58:49
Terrenos,,R$ 1.150,Brasil,Uberlândia,MG,400m²,danecompras,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-av-espirito-santo-aluguel-para-lava-jato-etc-1074368366,23/Aug/2022,22:58:49
Terrenos,,R$ 160.000,Minas Gerais,Uberlândia,MG,250m²,ARANTES IMOVEIS,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-flamboyant-residencial-park-1019870168,23/Aug/2022,22:58:49
Terrenos,,R$ 130.000,Laranjeiras,Uberlândia,MG,250m²,Rodrigo Corretor de Imóveis,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-250m-b-aurora-977255579,23/Aug/2022,22:58:49
Terrenos,,R$ 600.000,Patrimônio,Uberlândia,MG,600m²,Luis Fernando Negocios Imobiliarios Eirelli,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/copacabana-terreno-com-600m-12-x-50-otimo-para-predio-1038346427,23/Aug/2022,22:58:49
Terrenos,,R$ 198.000,Granada,Uberlândia,MG,250m²,JOSE LUIZ PARREIRA GARCIA,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lote-terreno-para-venda-com-250-metros-quadrados-em-granada-uberlandia-mg-981991377,23/Aug/2022,22:58:49
Terrenos,,R$ 200.000,Cidade Jardim,Uberlândia,MG,250m²,Vitrine Negócios - LTDA ME,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-cidade-jardim-uberlandia-r-200-mil-cod-338-969193781,23/Aug/2022,22:58:49
Terrenos,,R$ 15.000,Guarani,Uberlândia,MG,,Joao Carlos,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-em-uniao-dos-palmares-1074334044,23/Aug/2022,22:58:50
Terrenos,,R$ 85.000,Jardim Holanda,Uberlândia,MG,,Valdiney O.,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/carta-de-credito-consorcio-em-andamento-1074332777,23/Aug/2022,22:58:50
Terrenos,,R$ 350.000,Santa Mônica,Uberlândia,MG,360m²,Vitrine Negócios - LTDA ME,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-santa-monica-uberlandia-r-350-mil-cod-422-962258342,23/Aug/2022,22:58:50
Terrenos,,R$ 450.000,Granja Marileusa,Uberlândia,MG,518m²,FR IMÓVEIS,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/uberlandia-loteamento-condominio-cond-alphaville-i-1036995806,23/Aug/2022,22:58:50
Terrenos,,R$ 1.200.000,Tibery,Uberlândia,MG,840m²,STORTE IMÓVEIS LTDA,22/08/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-840m-por-r-1-200-000-tibery-uberlandia-mg-1049030769,23/Aug/2022,22:58:50
