tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 221,,Campo Alegre,AL,160m²,Marcos Ribeiro,13/09/2023,https://al.olx.com.br/alagoas/terrenos/loteamento-em-campo-alegre-160m2-1233239737,02/Oct/2023,13:12:49
Outros,,R$ 1,Centro,Jequiá da Praia,AL,500m²,Ednewton,03/08/2023,https://al.olx.com.br/alagoas/terrenos/imoveis-1218041203,02/Oct/2023,13:12:49
Venda - casa em rua pública,2,R$ 120.000,,Campo Alegre,AL,,claramartins28,22/08/2023,https://al.olx.com.br/alagoas/imoveis/casa-1225060688,02/Oct/2023,13:12:49
Terrenos,,R$ 84.050,Centro,Jequiá da Praia,AL,160m²,Brandao Imobiliaria,19/09/2023,https://al.olx.com.br/alagoas/terrenos/o-terreno-lote-da-sua-casa-de-praia-condicoes-facilitadas-1182386165,02/Oct/2023,13:12:49
Terrenos,,R$ 74.662,Centro,Jequiá da Praia,AL,,AF Consultoria Imobiliaria,31/08/2023,https://al.olx.com.br/alagoas/terrenos/lote-no-condominio-de-alto-padrao-litoral-sul-dunas-de-jequia-1228697832,02/Oct/2023,13:12:49
Terrenos,,R$ 35.000.000,Centro,Campo Alegre,AL,1460000m²,Maurício Padilha Barbosa Padilha Barbosa,30/06/2023,https://al.olx.com.br/alagoas/terrenos/terreno-beira-mar-de-146-hectares-jequia-da-praia-1204585515,02/Oct/2023,13:12:49
Terrenos,,R$ 18.400,Centro,Jequiá da Praia,AL,180m²,Alba,18/08/2023,https://al.olx.com.br/alagoas/terrenos/lote-no-loteamento-mirantes-do-jequia-1223787981,02/Oct/2023,13:12:49
Venda - casa em rua pública,1,R$ 160.000,,Campo Alegre,AL,150m²,Lucas,15/08/2023,https://al.olx.com.br/alagoas/imoveis/casa-para-vender-1222514555,02/Oct/2023,13:12:50
Terrenos,,R$ 100.000,Centro,Jequiá da Praia,AL,200m²,Nena Freire,06/09/2022,https://al.olx.com.br/alagoas/terrenos/lote-terreno-para-venda-tem-200-metros-quadrados-em-centro-jequia-da-praia-al-1080904524,02/Oct/2023,13:12:50
Terrenos,,R$ 42.000,Centro,Jequiá da Praia,AL,180m²,Lucas Ferreira Imóveis,03/08/2023,https://al.olx.com.br/alagoas/terrenos/loteamento-em-jequia-da-praia-com-parcelamento-ate-150x-1218130589,02/Oct/2023,13:12:50
Venda - casa em rua pública,3,null,,Campo Alegre,AL,,joycelima_34,05/09/2023,https://al.olx.com.br/alagoas/imoveis/vende-se-casa-1230535423,02/Oct/2023,13:12:50
Terrenos,,R$ 550.000,Centro,Jequiá da Praia,AL,3000m²,Joelma Lima,04/09/2023,https://al.olx.com.br/alagoas/terrenos/terreno-jequia-da-praia-1205989672,02/Oct/2023,13:12:50
Venda - casa em rua pública,3,R$ 90.000,,Campo Alegre,AL,,ET a 299,16/08/2023,https://al.olx.com.br/alagoas/imoveis/casa-em-campo-alegre-1223054816,02/Oct/2023,13:12:50
Venda - casa em rua pública,3,R$ 275.000,,Campo Alegre,AL,,Lean Santos Consultor imobiliário,06/08/2023,https://al.olx.com.br/alagoas/imoveis/vendo-casa-na-cidade-de-campo-alegre-prox-a-entrada-da-cidade-1080534725,02/Oct/2023,13:12:50
Terrenos,,R$ 74.662,Centro,Jequiá da Praia,AL,128m²,AF Consultoria Imobiliaria,26/04/2023,https://al.olx.com.br/alagoas/terrenos/lote-no-condominio-de-alto-padrao-mais-bem-localizado-no-litoral-sul-em-ate-100x-1177688997,02/Oct/2023,13:12:50
Venda - casa em rua pública,2,R$ 40.000,,Campo Alegre,AL,0m²,sky,05/08/2023,https://al.olx.com.br/alagoas/imoveis/casa-a-venda-em-luziapolis-1218812483,02/Oct/2023,13:12:50
Terrenos,,R$ 690.000,Centro,Campo Alegre,AL,,Cotistas do Brasil,26/09/2023,https://al.olx.com.br/alagoas/terrenos/terra-vista-jequia-loteamento-com-apenas-17-lotes-e-heliponto-1237646181,02/Oct/2023,13:12:50
Terrenos,,R$ 725,Centro,Jequiá da Praia,AL,,msawt,25/07/2023,https://al.olx.com.br/alagoas/terrenos/lotes-a-1500-metros-da-praia-e-das-falesias-de-jequia-sem-entrada-1214556857,02/Oct/2023,13:12:50
Terrenos,,R$ 221,,Campo Alegre,AL,160m²,Marcos Ribeiro,13/09/2023,https://al.olx.com.br/alagoas/terrenos/loteamento-sol-nascente-em-campo-alegre-1233209460,02/Oct/2023,13:12:50
Terrenos,,R$ 600.000,Centro,Jequiá da Praia,AL,1230m²,Elô Baêta,04/09/2023,https://al.olx.com.br/alagoas/terrenos/vendo-terreno-com-casarao-colonial-em-area-turistica-1230114235,02/Oct/2023,13:12:50
Terrenos,,R$ 74.662,Centro,Jequiá da Praia,AL,128m²,AF Consultoria Imobiliaria,11/04/2023,https://al.olx.com.br/alagoas/terrenos/condominio-de-alto-padrao-oque-sua-familia-sempre-sonhou-confira-1159496481,02/Oct/2023,13:12:50
