tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 17.000,,Feliz Deserto,AL,182m²,Farias,20/03/2023,https://al.olx.com.br/alagoas/terrenos/terreno-em-feliz-deserto-1161493048,20/Mar/2023,22:09:16
Terrenos,,R$ 119.600,,Feliz Deserto,AL,260m²,Cleverton T.,15/03/2023,https://al.olx.com.br/alagoas/terrenos/oasis-beach-residence-litoral-sul-praia-do-toco-feliz-deserto-al-venda-de-lotes-1159724877,20/Mar/2023,22:09:16
Terrenos,,null,,Feliz Deserto,AL,300m²,Marcos Melo Imoveis,27/02/2023,https://al.olx.com.br/alagoas/terrenos/excelentes-lotes-em-condominio-fechado-1152324750,20/Mar/2023,22:09:16
Terrenos,,R$ 119.600,,Feliz Deserto,AL,260m²,UP IMOBILIARIA DESCOMPLICADA LTDA - MV,21/03/2023,https://al.olx.com.br/alagoas/terrenos/pre-lancamento-a-beira-mar-em-ate-132-meses-na-praia-de-feliz-deserto-1152670580,20/Mar/2023,22:09:16
Terrenos,,R$ 200.000,,Feliz Deserto,AL,200000m²,Irene,03/03/2023,https://al.olx.com.br/alagoas/terrenos/sao-pedro-20-hectares-1154302591,20/Mar/2023,22:09:16
Venda - casa em vila,3,R$ 30.000,,Feliz Deserto,AL,100m²,lla.atendimento,08/02/2023,https://al.olx.com.br/alagoas/imoveis/casa-no-pontal-do-peba-1144606112,20/Mar/2023,22:09:16
Terrenos,,R$ 300.000,Centro,Feliz Deserto,AL,,Imóveis Alagoas,12/02/2023,https://al.olx.com.br/alagoas/terrenos/lote-a-300-metros-do-mar-de-feliz-deserto-1146307064,20/Mar/2023,22:09:16
Terrenos,,R$ 1.799.000,,Feliz Deserto,AL,47000m²,UP IMOBILIARIA DESCOMPLICADA LTDA - MV,13/03/2023,https://al.olx.com.br/alagoas/terrenos/area-beira-mar-4-7-hec-em-feliz-deserto-47m-de-praia-1115841590,20/Mar/2023,22:09:16
Terrenos,,R$ 150.000,,Feliz Deserto,AL,450m²,antoniel cordeiro,02/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-a-venda-1141816794,20/Mar/2023,22:09:16
Terrenos,,null,,Feliz Deserto,AL,300m²,Marcos Melo Imoveis,14/03/2023,https://al.olx.com.br/alagoas/terrenos/lotes-em-condominio-fechado-em-piacabucu-al-1159189048,20/Mar/2023,22:09:16
Terrenos,,R$ 110.000,,Feliz Deserto,AL,960m²,Jeime Lessa da Silva,28/04/2022,https://al.olx.com.br/alagoas/terrenos/vendo-terreno-em-feliz-deserto-1025821923,20/Mar/2023,22:09:16
Terrenos,,R$ 119.600,,Feliz Deserto,AL,260m²,Márcio Santos Silva,15/03/2023,https://al.olx.com.br/alagoas/terrenos/condominio-a-beira-mar-lote-terreno-para-venda-possui-260m2-em-centro-feliz-deserto-al-1159421625,20/Mar/2023,22:09:16
Terrenos,,R$ 150.000,,Feliz Deserto,AL,1000m²,Lucas Ferreira Imóveis,27/02/2023,https://al.olx.com.br/alagoas/terrenos/condominio-country-mar-lote-com-1000m-confira-1152291896,20/Mar/2023,22:09:16
Terrenos,,null,,Feliz Deserto,AL,,Cláudio,02/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-10x64-1142014793,20/Mar/2023,22:09:16
Terrenos,,null,,Feliz Deserto,AL,188m²,Marcos Melo Imoveis,31/01/2023,https://al.olx.com.br/alagoas/terrenos/vendo-terrenos-em-condominio-fechado-em-piacabucu-1140755236,20/Mar/2023,22:09:16
Terrenos,,R$ 7.500.000,Centro,Feliz Deserto,AL,,Marcelo Azevedo Dos Anjos,16/03/2023,https://al.olx.com.br/alagoas/terrenos/vendo-area-a-beira-mar-da-praia-da-flexeira-1139951324,20/Mar/2023,22:09:16
Terrenos,,R$ 120.000,Centro,Feliz Deserto,AL,30000m²,Wagner D. Costa,12/03/2023,https://al.olx.com.br/alagoas/terrenos/vendo-propriedade-em-feliz-deserto-alagoas-999340108,20/Mar/2023,22:09:16
Terrenos,,R$ 2.000.000,,Feliz Deserto,AL,47571m²,IMOBILIÁRIA LOPES MACEIÓ,14/03/2023,https://al.olx.com.br/alagoas/terrenos/feliz-deserto-terreno-padrao-centro-1107312133,20/Mar/2023,22:09:16
Terrenos,,R$ 108.900,,Feliz Deserto,AL,220m²,Márcio Santos Silva,13/03/2023,https://al.olx.com.br/alagoas/terrenos/beira-mar-lote-terreno-para-venda-possui-220-metros-quadrados-em-centro-feliz-deserto-1158373951,20/Mar/2023,22:09:16
Terrenos,,null,,Feliz Deserto,AL,180m²,Marcos Melo Imoveis,13/12/2022,https://al.olx.com.br/alagoas/terrenos/oportunidade-lotes-residenciais-em-condominio-fechado-em-coruripe-al-1121034325,20/Mar/2023,22:09:17
Terrenos,,R$ 1.800.000,,Feliz Deserto,AL,40174m²,Cunha Empreendimentos Ltda,23/02/2023,https://al.olx.com.br/alagoas/terrenos/lindissima-area-beira-mar-feliz-deserto-1150876409,20/Mar/2023,22:09:17
Terrenos,,null,,Feliz Deserto,AL,188m²,Marcos Melo Imoveis,18/02/2023,https://al.olx.com.br/alagoas/terrenos/lotes-em-condominio-fechado-em-piacabucu-al-1148922724,20/Mar/2023,22:09:17
