tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 550.000,Guaxuma,Maceió,AL,640m²,antoniolessa,10/03/2023,https://al.olx.com.br/alagoas/terrenos/green-park-residence-1157366741,20/Mar/2023,21:25:48
Terrenos,,R$ 250.000,Guaxuma,Maceió,AL,400m²,Thamara Alencar,15/03/2023,https://al.olx.com.br/alagoas/terrenos/terreno-em-guaxuma-10x40-1159660300,20/Mar/2023,21:25:48
Venda - casa em rua pública,5 ou mais,null,Guaxuma,Maceió,AL,98m²,Ana Paula,07/03/2023,https://al.olx.com.br/alagoas/imoveis/casa-no-litoral-norte-1155624668,20/Mar/2023,21:25:48
Venda - apartamento padrão,4,R$ 1.670.000,Guaxuma,Maceió,AL,227m²,Marcio Litrenta Costa,02/03/2023,https://al.olx.com.br/alagoas/imoveis/apartamentos-com-4-suites-de-alto-padrao-pe-na-areia-de-guaxuma-1153534747,20/Mar/2023,21:25:48
Terrenos,,R$ 400.000,Guaxuma,Maceió,AL,,PAULO AMARAL,20/03/2023,https://al.olx.com.br/alagoas/terrenos/lotes-planos-grota-com-vista-mar-e-vista-mata-no-green-park-lotes-com-exclusividade-997620577,20/Mar/2023,21:25:48
Terrenos,,R$ 337.324,Guaxuma,Maceió,AL,450m²,AF Consultoria Imobiliaria,20/03/2023,https://al.olx.com.br/alagoas/terrenos/pre-lancamento-condominio-de-alto-padrao-a-poucos-metros-do-mar-1103042798,20/Mar/2023,21:25:48
Terrenos,,R$ 390.000,Guaxuma,Maceió,AL,,Dionizio Peixoto Neto,20/03/2023,https://al.olx.com.br/alagoas/terrenos/lote-green-park-997797196,20/Mar/2023,21:25:48
Terrenos,,R$ 900.000,Guaxuma,Maceió,AL,850m²,AF Consultoria Imobiliaria,20/03/2023,https://al.olx.com.br/alagoas/terrenos/lote-em-condominio-de-luxo-850m-confira-1140427338,20/Mar/2023,21:25:48
Terrenos,,R$ 638.000,Guaxuma,Maceió,AL,799m²,AF Consultoria Imobiliaria,18/03/2023,https://al.olx.com.br/alagoas/terrenos/lote-em-condominio-de-alto-padrao-799-61m-1141998313,20/Mar/2023,21:25:48
Terrenos,,R$ 550.000,Guaxuma,Maceió,AL,300m²,Fontan Imoveis Ltda,17/03/2023,https://al.olx.com.br/alagoas/terrenos/terreno-no-condominio-green-park-residence-1096737251,20/Mar/2023,21:25:48
Terrenos,,R$ 420.000,Guaxuma,Maceió,AL,640m²,NI NEGÓCIOS IMOBILIÁRIOS LTDA,20/03/2023,https://al.olx.com.br/alagoas/terrenos/lote-em-condominio-a-venda-guaxuma-maceio-al-894456008,20/Mar/2023,21:25:48
Terrenos,,R$ 780.000,Guaxuma,Maceió,AL,685m²,Daniel Araújo,20/03/2023,https://al.olx.com.br/alagoas/terrenos/lote-com-vista-total-para-o-mar-em-maceio-condominio-horizonte-fenix-em-guaxuma-maceio-900876075,20/Mar/2023,21:25:48
Terrenos,,R$ 800.000,Guaxuma,Maceió,AL,948m²,Márcio Rapôso Imóveis,19/03/2023,https://al.olx.com.br/alagoas/terrenos/maceio-terreno-padrao-guaxuma-1025706972,20/Mar/2023,21:25:48
Terrenos,,R$ 421.739,Guaxuma,Maceió,AL,635m²,AF Consultoria Imobiliaria,18/03/2023,https://al.olx.com.br/alagoas/terrenos/lote-com-635m-em-condominio-de-alto-padrao-condominio-green-park-confira-911817533,20/Mar/2023,21:25:48
Terrenos,,R$ 534.000,Guaxuma,Maceió,AL,640m²,Jackson Celestino,14/03/2023,https://al.olx.com.br/alagoas/terrenos/excelente-lote-no-condominio-green-park-em-guaxuma-maceio-alagoas-tratar-com-jackson-1039954701,20/Mar/2023,21:25:48
Terrenos,,R$ 460.000,Guaxuma,Maceió,AL,720m²,Márcio Rapôso Imóveis,17/03/2023,https://al.olx.com.br/alagoas/terrenos/maceio-terreno-padrao-guaxuma-1026283462,20/Mar/2023,21:25:48
Terrenos,,null,Guaxuma,Maceió,AL,140m²,Jean Lucas,17/03/2023,https://al.olx.com.br/alagoas/terrenos/vende-se-dois-terrenos-7x20-na-guaxuma-1160682084,20/Mar/2023,21:25:48
Terrenos,,R$ 1.100.000,Guaxuma,Maceió,AL,1208m²,Márcio Rapôso Imóveis,09/03/2023,https://al.olx.com.br/alagoas/terrenos/maceio-loteamento-condominio-guaxuma-1066806224,20/Mar/2023,21:25:48
Terrenos,,R$ 430.000,Guaxuma,Maceió,AL,,Nobre imóveis Ltda EPP,15/03/2023,https://al.olx.com.br/alagoas/terrenos/terreno-guaxuna-1043463392,20/Mar/2023,21:25:48
Terrenos,,R$ 600.000,Guaxuma,Maceió,AL,,Zaira Lyra,16/03/2023,https://al.olx.com.br/alagoas/terrenos/terreno-condominio-fechado-green-park-640m2-em-guaxuma-1123540544,20/Mar/2023,21:25:48
Terrenos,,R$ 520.000,Guaxuma,Maceió,AL,635m²,FERNANDA SAMPAIO,19/03/2023,https://al.olx.com.br/alagoas/terrenos/lote-terreno-para-venda-com-635m-em-guaxuma-maceio-al-933815716,20/Mar/2023,21:25:49
Terrenos,,R$ 550.000,Guaxuma,Maceió,AL,,JOAQUIM MUNIZ DE ALMEIDA NETO,13/03/2023,https://al.olx.com.br/alagoas/terrenos/oportunidade-green-park-997621940,20/Mar/2023,21:25:49
Terrenos,,R$ 500.000,Guaxuma,Maceió,AL,720m²,Márcio Rapôso Imóveis,10/03/2023,https://al.olx.com.br/alagoas/terrenos/maceio-loteamento-condominio-guaxuma-1068837876,20/Mar/2023,21:25:49
Terrenos,,R$ 496.000,Guaxuma,Maceió,AL,799m²,AF Consultoria Imobiliaria,08/03/2023,https://al.olx.com.br/alagoas/terrenos/lote-no-condominio-green-park-com-799m-plano-1137255749,20/Mar/2023,21:25:49
Terrenos,,R$ 466.700,Guaxuma,Maceió,AL,719m²,Márcio Rapôso Imóveis,08/03/2023,https://al.olx.com.br/alagoas/terrenos/maceio-loteamento-condominio-guaxuma-1058488030,20/Mar/2023,21:25:49
Terrenos,,R$ 337.324,Guaxuma,Maceió,AL,450m²,Lucas Ferreira Imóveis,07/03/2023,https://al.olx.com.br/alagoas/terrenos/pre-lancamento-condominio-de-alto-padrao-a-poucos-metros-do-mar-1140969078,20/Mar/2023,21:25:49
Terrenos,,R$ 520.000,Guaxuma,Maceió,AL,633m²,ARBO IMÓVEIS,02/03/2023,https://al.olx.com.br/alagoas/terrenos/green-park-lotes-a-venda-localizado-em-guaxuma-maceio-al-1153676460,20/Mar/2023,21:25:49
Terrenos,,null,Guaxuma,Maceió,AL,,Kika,28/02/2023,https://al.olx.com.br/alagoas/terrenos/oportunidade-repasso-lote-ita-patacho-1152778134,20/Mar/2023,21:25:49
Terrenos,,R$ 10.500,Guaxuma,Maceió,AL,120m²,Sandro Sieger,25/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-em-guaxuma-vendo-ou-troco-1151470439,20/Mar/2023,21:25:49
Terrenos,,R$ 12.500,Guaxuma,Maceió,AL,120m²,Alpha,16/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-6x20-1148250315,20/Mar/2023,21:25:49
Terrenos,,R$ 60.000,Guaxuma,Maceió,AL,,Henrique Santos Araujo,16/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-na-rota-do-mar-guaxuma-1147839404,20/Mar/2023,21:25:49
Outros,,R$ 7.000,Guaxuma,Maceió,AL,,Aylla Maria,12/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-em-guaxuma-praia-7mil-1146366159,20/Mar/2023,21:25:49
Outros,,R$ 70.000,Guaxuma,Maceió,AL,,Paulo Gomes,11/02/2023,https://al.olx.com.br/alagoas/terrenos/venda-de-terreno-1145886792,20/Mar/2023,21:25:49
Terrenos,,R$ 800.000,Guaxuma,Maceió,AL,948m²,Michel Cosme,02/02/2023,https://al.olx.com.br/alagoas/terrenos/vista-mar-green-park-lote-pronto-para-construir-r-800-000-00-1005142823,20/Mar/2023,21:25:49
Terrenos,,R$ 60.000,Guaxuma,Maceió,AL,237m²,marciocostacris,01/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-em-guaxuma-8-5mx23m-1141435989,20/Mar/2023,21:25:49
Terrenos,,R$ 19.000,Guaxuma,Maceió,AL,,Johnathan,01/02/2023,https://al.olx.com.br/alagoas/terrenos/troco-terreno-por-moto-1141087320,20/Mar/2023,21:25:49
Terrenos,,R$ 370.000,Guaxuma,Maceió,AL,720m²,Imóveis Maceió,04/12/2022,https://al.olx.com.br/alagoas/terrenos/ps-vendo-lote-no-green-park-1117521336,20/Mar/2023,21:25:49
Terrenos,,R$ 1.000.000,Guaxuma,Maceió,AL,922m²,ANDREA MELO,23/04/2022,https://al.olx.com.br/alagoas/terrenos/terreno-no-condominio-green-park-guaxuma-1023961751,20/Mar/2023,21:25:49
Venda - apartamento padrão,4,R$ 1.750.000,Guaxuma,Maceió,AL,226m²,Márcio Santos Silva,20/08/2022,https://al.olx.com.br/alagoas/imoveis/beira-mar-em-guaxuma-condominio-green-village-1073919145,20/Mar/2023,21:25:49
Venda - apartamento padrão,4,R$ 1.850.000,Guaxuma,Maceió,AL,196m²,Fernando Sampaio,15/05/2022,https://al.olx.com.br/alagoas/imoveis/aparamento-green-village-1032538037,20/Mar/2023,21:25:49
Venda - apartamento padrão,4,R$ 1.702.000,Guaxuma,Maceió,AL,198m²,Márcio Santos Silva,19/08/2022,https://al.olx.com.br/alagoas/imoveis/apt-a-beira-mar-alto-padrao-edf-green-village-4-4-suites-198m2-varanda-gourmet-1072992985,20/Mar/2023,21:25:49
Venda - apartamento padrão,4,R$ 1.639.635,Guaxuma,Maceió,AL,227m²,Procuro Imóveis em Alagoas,04/05/2022,https://al.olx.com.br/alagoas/imoveis/apartamento-para-venda-em-maceio-guaxuma-4-dormitorios-4-suites-5-banheiros-5-vagas-1028321636,20/Mar/2023,21:25:49
Venda - apartamento padrão,3,R$ 1.300.000,Guaxuma,Maceió,AL,114m²,Carol Marinho,20/03/2023,https://al.olx.com.br/alagoas/imoveis/gran-marine-apartamento-para-venda-114-metros-quadrados-com-3-quartos-em-guaxuma-1161860225,20/Mar/2023,21:25:49
Venda - casa em condominio fechado,5 ou mais,R$ 4.400.000,Guaxuma,Maceió,AL,592m²,PAULO AMARAL,20/03/2023,https://al.olx.com.br/alagoas/imoveis/linda-casa-no-condominio-atlantis-1142891768,20/Mar/2023,21:25:49
Terrenos,,R$ 444.647,Guaxuma,Maceió,AL,10m²,ARBO IMÓVEIS,07/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-a-venda-687-75m-guaxuma-maceio-al-greenpark-1143838522,20/Mar/2023,21:25:49
Terrenos,,R$ 1.000.000,Guaxuma,Maceió,AL,922m²,ANDREA MELO,06/02/2023,https://al.olx.com.br/alagoas/terrenos/terreno-no-condominio-green-park-guaxuma-923434833,20/Mar/2023,21:25:49
Venda - apartamento padrão,4,R$ 1.500.000,Guaxuma,Maceió,AL,196m²,Márcio Santos Silva,20/08/2022,https://al.olx.com.br/alagoas/imoveis/beira-mar-com-4-4-suites-varanda-gourmet-196m2-e-04-vagas-1073925818,20/Mar/2023,21:25:49
