tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 130.000,,Boca do Acre,AM,800m²,Victor S.,17/03/2023,https://am.olx.com.br/leste-do-amazonas/terrenos/terreno-em-boca-do-acre-1160770956,21/Mar/2023,00:01:45
Venda - casa em rua pública,1,R$ 35.000,,Boca do Acre,AM,,Davy S.,29/01/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/casa-em-boca-do-acre-1139853321,21/Mar/2023,00:01:45
Venda - casa em rua pública,3,null,,Boca do Acre,AM,,TØK MELIØDA? 777,10/03/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/vendo-ou-troco-uma-casa-no-bairro-macaxeiral-na-cidade-de-boca-do-acre-1157185086,21/Mar/2023,00:01:46
Venda - casa em rua pública,3,R$ 35,,Boca do Acre,AM,1m²,Ioneide Nascimento,26/02/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/venda-de-casa-1151841097,21/Mar/2023,00:01:46
Venda - casa em rua pública,3,R$ 110.000,,Boca do Acre,AM,,nara lima,17/03/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/vendo-ou-troco-essa-casa-em-boca-do-acre-troco-por-uma-em-rio-branco-1160492839,21/Mar/2023,00:01:46
Venda - casa em rua pública,2,R$ 90.000,,Boca do Acre,AM,80m²,Marcos,25/01/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/vende-uma-casa-em-boca-do-arce-bairro-plator-do-piquia-1138244678,21/Mar/2023,00:01:46
Venda - apartamento padrão,3,R$ 420.000,,Boca do Acre,AM,98m²,João wictor queiroz,11/03/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/vende-se-ap-no-residencial-floresta-1-em-rio-branco-acre-1157912578,21/Mar/2023,00:01:46
Venda - casa em rua pública,2,R$ 500.000,,Boca do Acre,AM,242m²,Salete,19/03/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/casa-a-venda-em-boca-do-acre-1118933359,21/Mar/2023,00:01:46
Venda - casa em rua pública,3,null,,Boca do Acre,AM,,Salim,23/02/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/vendo-casa-em-boca-do-acre-ou-troco-por-casa-em-rio-branco-1150770116,21/Mar/2023,00:01:46
Venda - casa em rua pública,2,R$ 80.000,,Boca do Acre,AM,2m²,Nancinete Lima,18/02/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/uma-chacara-1149066798,21/Mar/2023,00:01:46
Venda - casa em rua pública,3,null,,Boca do Acre,AM,0m²,Salim,23/02/2023,https://am.olx.com.br/leste-do-amazonas/imoveis/vendo-casa-em-boca-do-acre-ou-troco-por-uma-em-rio-branco-1150772883,21/Mar/2023,00:01:46
