tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento cobertura,3,R$ 650.000,Colônia Santo Antônio,Manaus,AM,131m²,Excellence Imobiliária,14/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/cobertura-duplex-smile-cidade-nova-1083275001,20/Mar/2023,23:36:07
Venda - casa em condominio fechado,3,R$ 320.020,Colônia Santo Antônio,Manaus,AM,88m²,IMÓVEIS MANAURA,17/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-duplex-3-quartos-88-m2-em-condominio-fechado-financia-1160663885,20/Mar/2023,23:36:07
Venda - casa em rua pública,2,R$ 140.007,Colônia Santo Antônio,Manaus,AM,100m²,Salmo Costa da Silva,15/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-2-quartos-7x37-pronta-pra-morar-prox-max-teixeira-1159430556,20/Mar/2023,23:36:07
Venda - apartamento padrão,3,R$ 360.000,Colônia Santo Antônio,Manaus,AM,81m²,M&SANTOS IMOVEIS,11/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/smile-village-3-quartos-financia-faca-sua-proposta-1157979207,20/Mar/2023,23:36:08
Venda - casa em rua pública,2,R$ 140.000,Colônia Santo Antônio,Manaus,AM,100m²,Salmo Costa da Silva,17/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/pronta-pra-morar-2-quartos-7x37-excelente-espaco-prox-max-teixeira-1160595603,20/Mar/2023,23:36:08
Venda - casa em rua pública,3,R$ 160.000,Colônia Santo Antônio,Manaus,AM,,Rafaela Viana,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/vendo-ou-alugo-1160106486,20/Mar/2023,23:36:08
Venda - casa em condominio fechado,3,R$ 320.040,Colônia Santo Antônio,Manaus,AM,88m²,IMÓVEIS MANAURA,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-duplex-3-quartos-88-m2-em-condominio-fechado-financia-1152829658,20/Mar/2023,23:36:08
Venda - apartamento padrão,3,R$ 650.000,Colônia Santo Antônio,Manaus,AM,131m²,M&SANTOS IMOVEIS,17/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/excelente-apartamento-para-venda-com-3-quartos-smile-cidade-nova-manaus-am-1160581320,20/Mar/2023,23:36:08
Venda - apartamento padrão,2,R$ 290.000,Colônia Santo Antônio,Manaus,AM,64m²,Dayana Lima da Silva,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/residencial-smille-village-cidade-nova-para-venda-de-2-quartos-1128927931,20/Mar/2023,23:36:08
Venda - casa em rua pública,2,R$ 140.007,Colônia Santo Antônio,Manaus,AM,100m²,Salmo Costa da Silva,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/pronta-pra-morar-2-quartos-via-publica-entrega-imediata-1160000972,20/Mar/2023,23:36:08
Venda - casa em rua pública,2,R$ 140.005,Colônia Santo Antônio,Manaus,AM,100m²,Salmo Costa da Silva,17/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/pra-fechar-negocio-casa-2-quartos-7x37-prox-max-teixeira-1160546793,20/Mar/2023,23:36:08
Venda - casa em rua pública,2,R$ 140.000,Colônia Santo Antônio,Manaus,AM,100m²,Salmo Costa da Silva,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-2-quartos-pronta-pra-morar-prox-max-teixeira-1159842326,20/Mar/2023,23:36:08
Venda - apartamento padrão,3,R$ 390.000,Colônia Santo Antônio,Manaus,AM,81m²,Acão Imobiliaria,15/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/vendo-apto-smile-cidade-nova-1087283538,20/Mar/2023,23:36:08
Venda - casa em rua pública,2,R$ 140.007,Colônia Santo Antônio,Manaus,AM,100m²,Salmo Costa da Silva,14/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/pronta-pra-morar-2-quartos-quintal-prox-max-teixeira-1159033053,20/Mar/2023,23:36:08
Venda - apartamento padrão,3,R$ 375.000,Colônia Santo Antônio,Manaus,AM,81m²,Alice,15/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/condominio-residencial-smile-village-cidade-nova-pronto-pra-morar-manaus-am-1127314674,20/Mar/2023,23:36:08
Venda - casa em condominio fechado,3,R$ 320.011,Colônia Santo Antônio,Manaus,AM,88m²,IMÓVEIS MANAURA,17/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-duplex-3-quartos-88-m2-em-condominio-fechado-financia-1160366814,20/Mar/2023,23:36:08
Venda - apartamento padrão,3,R$ 235.000,Colônia Santo Antônio,Manaus,AM,68m²,Sabre Consultoria Imobiliária,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/manaus-apartamento-padrao-flores-1153574512,20/Mar/2023,23:36:08
Venda - casa em condominio fechado,3,R$ 300.000,Colônia Santo Antônio,Manaus,AM,160m²,Esther O. Barbosa,17/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/vende-casa-terrea-residencial-fechado-aeroporto-3-quartos-1-suite-160m-aceita-financiamen-1107174406,20/Mar/2023,23:36:08
Venda - casa em rua pública,3,R$ 150.000,Colônia Santo Antônio,Manaus,AM,450m²,Rocimeire Gonçalves da Silva,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-bairro-colonia-santo-antonio-1018980642,20/Mar/2023,23:36:08
Venda - casa em rua pública,3,R$ 300.000,Colônia Santo Antônio,Manaus,AM,495m²,Esther O. Barbosa,12/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/venda-casa-terrea-495m-3-quartos-1-suite-colonia-santo-antonio-manaus-am-1030627540,20/Mar/2023,23:36:08
Venda - apartamento padrão,2,R$ 153.000,Colônia Santo Antônio,Manaus,AM,70m²,M&SANTOS IMOVEIS,11/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-com-2-quartos-garagem-coberta-colonia-santo-antonio-ha-4-minutos-da-max-teixeira-1157984868,20/Mar/2023,23:36:08
Venda - apartamento padrão,3,R$ 479.900,Colônia Santo Antônio,Manaus,AM,81m²,Jorge Moreira Consultor imobiliário,13/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/lindo-apartamento-smile-village-cidade-nova-3-dormitorios-com-vista-para-area-verde-e-pisc-1125274002,20/Mar/2023,23:36:08
