tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 500.000,Flores,Manaus,AM,750000m²,Procasa Empresa Imobiliária,01/11/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/corredeira-a-venda-750000-m-por-rs-500-000-area-rural-manaus-am-1104455651,20/Mar/2023,23:39:25
Terrenos,,R$ 180.000,Novo Aleixo,Manaus,AM,325m²,Máxima Imóveis Manaus,16/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/otimo-terreno-no-aguas-claras-1160179932,20/Mar/2023,23:39:32
Terrenos,,R$ 1.300.000,Flores,Manaus,AM,32000m²,Emanoel Lacerda,16/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/lote-terreno-br-174-km-17-terreno-plano-com-igarape-dentro-nos-fundos-manaus-am-1125207959,20/Mar/2023,23:39:32
Terrenos,,R$ 185.000,Flores,Manaus,AM,400m²,Nielson Barbosa,17/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/vendo-terreno-400m2-parque-das-laranjeiras-prox-residencial-sao-judas-tadeu-1160800583,20/Mar/2023,23:39:32
Terrenos,,R$ 180.000,Novo Aleixo,Manaus,AM,325m²,Máxima Imóveis Manaus,10/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/otimo-terreno-no-aguas-claras-1157546654,20/Mar/2023,23:39:32
Terrenos,,R$ 100.000,Flores,Manaus,AM,187m²,SCI Imóveis,16/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/lote-venda-no-parque-das-laranjeiras-1153840727,20/Mar/2023,23:39:32
Terrenos,,R$ 370.000,Flores,Manaus,AM,450m²,Jadson A. Albuquerque,09/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/lote-todo-documentado-vincitore-1157019545,20/Mar/2023,23:39:32
Terrenos,,R$ 180.000,Novo Aleixo,Manaus,AM,325m²,Máxima Imóveis Manaus,09/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/otimo-terreno-no-aguas-claras-1157039565,20/Mar/2023,23:39:32
Terrenos,,R$ 12.600.000,Flores,Manaus,AM,700000m²,Sergio Mourão Cunha,18/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/2-lotes-no-km-28-da-br174-com-700-000m2-tem-benfeitorias-e-esta-documentado-1160995584,20/Mar/2023,23:39:32
Terrenos,,R$ 4.150.000,Flores,Manaus,AM,4800m²,Sergio Mourão Cunha,06/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/terreno-com-4-800m2-na-av-marquez-de-tamandare-pq-das-laranjeiras-com-3-frentes-1155587232,20/Mar/2023,23:39:32
