tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,2,R$ 261.400,Planalto,Manaus,AM,51m²,Mady Teixeira Imóveis,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/prime-mosaico-1022408976,20/Mar/2023,23:49:16
Venda - apartamento padrão,3,R$ 350.000,Planalto,Manaus,AM,63m²,Sabre Consultoria Imobiliária,15/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/manaus-apartamento-padrao-planalto-1156216140,20/Mar/2023,23:49:16
Venda - apartamento padrão,2,R$ 360.980,Planalto,Manaus,AM,55m²,IMÓVEIS MANAURA,15/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/vista-dos-cedros-100-porcelanato-2qts-1-suite-no-planalto-1152755110,20/Mar/2023,23:49:16
Venda - apartamento padrão,2,R$ 227.990,Planalto,Manaus,AM,45m²,MACIEL | EU DE CASA NOVA,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/apto-2-qts-e-elevador-cond-fechado-melhores-condicoes-do-mercado-1107493310,20/Mar/2023,23:49:16
Terrenos,,R$ 5.500.000,Planalto,Manaus,AM,10000m²,Procasa Empresa Imobiliária,03/10/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/terreno-a-venda-10000-m-por-rs-5-500-000-00-planalto-manaus-am-1091937076,20/Mar/2023,23:49:16
Terrenos,,R$ 6.000,Planalto,Manaus,AM,1125m²,Wellington Silva,08/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/lotes-pra-chacaras-na-beira-do-rio-taruma-acu-1156581282,20/Mar/2023,23:49:16
Terrenos,,R$ 95.000,Planalto,Manaus,AM,400m²,Wal,18/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/terreno-barra-do-cetur-1161085946,20/Mar/2023,23:49:16
Venda - apartamento padrão,2,R$ 280.000,Planalto,Manaus,AM,51m²,Jaqueline Silva De Andrade,15/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/condominio-prime-vivendas-do-parque-lancamento-2-qtos-1016144150,20/Mar/2023,23:49:16
Venda - apartamento padrão,2,R$ 360.997,Planalto,Manaus,AM,55m²,IMÓVEIS MANAURA,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/vista-dos-cedros-1160040177,20/Mar/2023,23:49:16
Venda - apartamento padrão,2,R$ 257.990,Planalto,Manaus,AM,42m²,M&SANTOS IMOVEIS,15/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/257-990-obras-avancadas-financie-ou-parcele-em-tabela-direta-invista-1159350224,20/Mar/2023,23:49:16
Terrenos,,R$ 20.000,Planalto,Manaus,AM,840m²,noelcio josé ribeiro leitao,16/02/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/vendo-dois-terreno-no-rio-preto-da-erva-1148093434,20/Mar/2023,23:49:16
Venda - casa em rua pública,2,R$ 300.000,Planalto,Manaus,AM,87m²,FRANCISCA DAS CHAGAS PEDROSA CUSTÓDIO,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-para-venda-com-87-metros-quadrados-com-2-quartos-em-planalto-manaus-am-1132682799,20/Mar/2023,23:49:16
Terrenos,,R$ 150.000,Planalto,Manaus,AM,220m²,Sabre Consultoria Imobiliária,15/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/manaus-terreno-padrao-planalto-1159414411,20/Mar/2023,23:49:16
Venda - casa em rua pública,5 ou mais,R$ 480.000,Planalto,Manaus,AM,200m²,Máxima Imóveis Manaus,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-com-2-piso-no-campos-eliseos-1160286847,20/Mar/2023,23:49:16
Terrenos,,R$ 530.000,Planalto,Manaus,AM,,Eliane Cordeiro De Sá,16/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/chacara-campo-belo-proximo-a-presidente-figueiredo-1022265529,20/Mar/2023,23:49:16
Venda - casa em rua pública,4,R$ 200.000,Planalto,Manaus,AM,288m²,Esther O. Barbosa,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/vende-casa-duplex-conjunto-belvedere-planalto-manaus-am-144m-4-quartos-1030025491,20/Mar/2023,23:49:16
Terrenos,,null,Planalto,Manaus,AM,,Evelyn Melo,05/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/vende-se-lotes-no-km-5-do-ramal-da-cachoeira-do-castanho-1154880957,20/Mar/2023,23:49:16
Venda - apartamento padrão,2,R$ 360.985,Planalto,Manaus,AM,55m²,IMÓVEIS MANAURA,16/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/vista-dos-cedros-100-porcelanato-2qts-1-suite-no-planalto-1160288982,20/Mar/2023,23:49:16
Terrenos,,R$ 1.300.000,Planalto,Manaus,AM,470000m²,PUNKT IMOVEIS,05/03/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/terreno-a-venda-470000-m-por-r-1-300-000-00-estrada-manacapuru-am-918061287,20/Mar/2023,23:49:16
Venda - casa em rua pública,3,R$ 560.000,Planalto,Manaus,AM,145m²,MOYSES DE OLIVEIRA BENCHIMOL,15/03/2023,https://am.olx.com.br/regiao-de-manaus/imoveis/casa-de-145m-com-3-quartos-em-planalto-manaus-991950483,20/Mar/2023,23:49:16
Terrenos,,R$ 35,Planalto,Manaus,AM,0m²,glauciaamazonas7,23/01/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/vendo-terreno-quitado-depois-da-ponte-valor-negociavel-1137052524,20/Mar/2023,23:49:16
Terrenos,,R$ 122.000,Planalto,Manaus,AM,180m²,hellen Almeida,27/02/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/vendo-lote-1152428649,20/Mar/2023,23:49:16
Terrenos,,R$ 40.000,Planalto,Manaus,AM,1000m²,Gama & Oliveira Imóveis,29/06/2022,https://am.olx.com.br/regiao-de-manaus/terrenos/transferencia-de-lote-1000m-nas-chacaras-rio-negro-1-com-hipica-e-baias-1051527468,20/Mar/2023,23:49:16
Terrenos,,R$ 42.000,Planalto,Manaus,AM,1000m²,Kasuelen,29/01/2023,https://am.olx.com.br/regiao-de-manaus/terrenos/terreno-estrada-iranduba-1140043041,20/Mar/2023,23:49:16
