tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 70.000,Santa Rita,Macapá,AP,,Tatiana Modesto,25/02/2023,https://ap.olx.com.br/amapa/terrenos/terreno-na-linha-f-1151504801,20/Mar/2023,23:06:10
Terrenos,,R$ 550.000,Santa Rita,Macapá,AP,450m²,PH Imóveis & Construções,18/03/2023,https://ap.olx.com.br/amapa/terrenos/lote-terreno-para-venda-15x30-registrado-em-santa-rita-macapa-ap-1021725293,20/Mar/2023,23:06:10
Venda - casa em rua pública,3,R$ 349.000,Santa Rita,Macapá,AP,110m²,nelsonprin,22/02/2023,https://ap.olx.com.br/amapa/imoveis/casa-titulada-no-santa-rita-1150299049,20/Mar/2023,23:06:10
Terrenos,,R$ 600.000,Santa Rita,Macapá,AP,,Altair Pereira Imóveis LTDA,15/03/2023,https://ap.olx.com.br/amapa/terrenos/terreno-padrao-para-venda-central-macapa-1159660401,20/Mar/2023,23:06:10
Outros,,R$ 60.000,Santa Rita,Macapá,AP,4000m²,Vagas Churrascaria,13/03/2023,https://ap.olx.com.br/amapa/terrenos/terreno-rural-1158644687,20/Mar/2023,23:06:10
Terrenos,,R$ 900.000,Santa Rita,Macapá,AP,,Dantas Imóveis,15/03/2023,https://ap.olx.com.br/amapa/terrenos/lote-no-bairro-santa-rita-na-frente-da-cea-1020553622,20/Mar/2023,23:06:10
Terrenos,,null,Santa Rita,Macapá,AP,294m²,Lucas Oliver,29/01/2023,https://ap.olx.com.br/amapa/terrenos/vende-se-terreno-bairro-santa-rita-1140044252,20/Mar/2023,23:06:10
Terrenos,,R$ 3.500,Santa Rita,Macapá,AP,300m²,Ellen Christina,02/03/2023,https://ap.olx.com.br/amapa/terrenos/vendo-2-terrenos-em-tartarugalzinho-1153949475,20/Mar/2023,23:06:10
Terrenos,,R$ 60.000,Santa Rita,Macapá,AP,250m²,Luiza Helena Costa,08/02/2023,https://ap.olx.com.br/amapa/terrenos/lote-loteamento-terra-nova-1144653426,20/Mar/2023,23:06:10
Venda - casa em rua pública,4,R$ 750.000,Santa Rita,Macapá,AP,600m²,Enzo Matheus,21/01/2023,https://ap.olx.com.br/amapa/imoveis/casa-bairro-universidade-1136453704,20/Mar/2023,23:06:10
Venda - casa em rua pública,3,R$ 43.000,Santa Rita,Macapá,AP,,d.almeida.sena.ds,14/02/2023,https://ap.olx.com.br/amapa/imoveis/vendo-casa-no-santa-rita-1147265010,20/Mar/2023,23:06:10
Terrenos,,R$ 100.000,Santa Rita,Macapá,AP,250m²,MC OPÇOES,15/02/2023,https://ap.olx.com.br/amapa/terrenos/vendo-lote-residencial-platon-1147663473,20/Mar/2023,23:06:10
