tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,4,R$ 450.000,,Alcobaça,BA,127m²,oladir.sales,30/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-4-quartos-piscina-terreno-de-450m2-bairro-palmeiras-1188621772,02/Oct/2023,22:38:19
Terrenos,,R$ 700.000,,Alcobaça,BA,250000m²,BIASI LEILÕES,30/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-na-praia-dos-corais-em-alcobaca-ba-1239055995,02/Oct/2023,22:38:19
Terrenos,,R$ 130.000,,Alcobaça,BA,1000m²,Frederico,10/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno-em-alcobaca-bahia-1232076085,02/Oct/2023,22:38:19
Venda - casa em rua pública,3,R$ 260.000,,Alcobaça,BA,180m²,Frederico Alves Zulato,11/08/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-para-venda-em-alcobaca-ba-1221110602,02/Oct/2023,22:38:19
Terrenos,,R$ 90.000,,Alcobaça,BA,600m²,Rafael R.,07/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-em-alcobaca-ba-1231254202,02/Oct/2023,22:38:20
Venda - casa em rua pública,5 ou mais,R$ 550.000,,Alcobaça,BA,450m²,RE/MAX COUNTRY,24/05/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-com-8-dormitorios-a-venda-450-m-por-r-550-000-00-centro-alcobaca-ba-1189271582,02/Oct/2023,22:38:20
Venda - casa em rua pública,3,null,,Alcobaça,BA,384m²,Luiz,27/08/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/terreno-murado-com-construcao-alcobaca-1224689642,02/Oct/2023,22:38:20
Venda - casa em rua pública,2,R$ 120.000,,Alcobaça,BA,,Berengo,03/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/vendo-casa-em-alcobaca-1229674972,02/Oct/2023,22:38:20
Venda - casa em rua pública,3,R$ 750.000,,Alcobaça,BA,300m²,Antônio Araújo,30/12/2022,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-para-venda-tem-300-metros-quadrados-com-3-quartos-em-centro-alcobaca-ba-1127164640,02/Oct/2023,22:38:20
Venda - casa em rua pública,2,R$ 300.000,,Alcobaça,BA,1500m²,RE/MAX COUNTRY,20/05/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-com-2-dormitorios-a-venda-1500-m-por-r-300-000-00-cajarana-alcobaca-ba-1187620004,02/Oct/2023,22:38:20
Venda - casa em rua pública,3,R$ 150.000,,Alcobaça,BA,200m²,Frederico Alves Zulato,01/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-para-venda-possui-200-metros-quadrados-com-3-quartos-em-centro-alcobaca-ba-1229124059,02/Oct/2023,22:38:20
Venda - casa em rua pública,2,R$ 200.000,,Alcobaça,BA,20m²,Gislaine,09/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-em-alcobaca-a-venda-1207779003,02/Oct/2023,22:38:20
Venda - casa em rua pública,2,R$ 210.000,,Alcobaça,BA,130m²,Frederico Alves Zulato,06/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-para-em-alcobaca-ba-1230697426,02/Oct/2023,22:38:20
Venda - casa em rua pública,4,R$ 250.000,,Alcobaça,BA,200m²,Daniel Lindebergs,20/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/vendo-casa-bahia-alcobaca-1235947173,02/Oct/2023,22:38:20
Venda - casa em rua pública,2,R$ 250.000,,Alcobaça,BA,300m²,Frederico Alves Zulato,14/10/2022,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-para-venda-no-praia-do-farol-em-alcobaca-bahia-1096872499,02/Oct/2023,22:38:20
Terrenos,,R$ 33.000,,Alcobaça,BA,,Sam Silva,31/07/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/oportunidade-terreno-a-venda-1216794315,02/Oct/2023,22:38:20
Venda - casa em vila,1,R$ 80.000,,Alcobaça,BA,,Marcos A.,03/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/vendo-um-lote-em-alcobaca-bahia-bairro-eldorado-300-metro-perto-da-praia-1229813709,02/Oct/2023,22:38:20
Venda - casa em rua pública,5 ou mais,R$ 500.000,,Alcobaça,BA,480m²,Teto Imobiliária,23/02/2022,https://ba.olx.com.br/sul-da-bahia/imoveis/a-venda-6-quartos-10-vagas-centro-alcobaca-ba-998495214,02/Oct/2023,22:38:20
Venda - casa em rua pública,2,R$ 160.000,,Alcobaça,BA,90m²,Tarciana,16/08/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/vendo-casa-na-praia-em-alcobaca-ba-2-quartos-1222670055,02/Oct/2023,22:38:20
Venda - casa em rua pública,3,R$ 0,,Alcobaça,BA,150m²,Adelino,30/07/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/vendo-essa-casa-ou-troco-1216469481,02/Oct/2023,22:38:20
