tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 29.999,Top Park,Itabuna,BA,128m²,alex pires,17/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-top-park-oportunidade-29-999-99-1234720457,02/Oct/2023,22:39:13
Venda - casa em rua pública,3,R$ 200.000,Sinval Palmeira,Itabuna,BA,250m²,nsimoveis,29/04/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-a-venda-em-itabuna-no-sinval-palmeiras-1178839718,02/Oct/2023,22:39:13
Venda - casa em rua pública,3,R$ 395.000,Nova Itabuna,Itabuna,BA,105m²,ELLIANE MORAES CORRETORA,01/09/2022,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-com-3-dormitorios-a-venda-105-m-por-r-395-000-00-encantada-eusebio-ce-1078638843,02/Oct/2023,22:39:13
Venda - casa em rua pública,2,R$ 80.000,Nova Itabuna,Itabuna,BA,200m²,villasboas_filho,12/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/imovel-1232783713,02/Oct/2023,22:39:13
Terrenos,,R$ 35.000,Top Park,Itabuna,BA,128m²,Bombarda Diff,07/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno-no-top-park-128m-1231312769,02/Oct/2023,22:39:13
Terrenos,,R$ 30.000,Top Park,Itabuna,BA,128m²,Maria Bomfim,24/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-top-park-quitado-oportunidade-1237089307,02/Oct/2023,22:39:13
Venda - casa em rua pública,0,R$ 12.000,Urbis IV,Itabuna,BA,0m²,Yuri Vieira,01/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/terreno-na-urbis-4-1229097228,02/Oct/2023,22:39:13
Venda - casa em rua pública,2,R$ 350.000,Nova Itabuna,Itabuna,BA,140m²,Felippe Araújo do Nascimento,04/04/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-a-venda-140-m-por-r-350-000-00-eusebio-eusebio-ce-1107115506,02/Oct/2023,22:39:13
Venda - casa em rua pública,3,R$ 330.000,Nova Itabuna,Itabuna,BA,130m²,MEGA VENDA DE IMOVEIS,11/04/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-com-3-quartos-a-venda-no-bairro-encantada-eusebio-ce-1049702263,02/Oct/2023,22:39:13
Venda - casa em rua pública,2,null,Top Park,Itabuna,BA,180m²,ANA,12/09/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/oportunidade-triplex-novinho-recem-construido-1232734394,02/Oct/2023,22:39:13
Terrenos,,R$ 110.000,Nova Itabuna,Itabuna,BA,300m²,HD NEGOCIOS IMOBILIARIOS LTDA,30/08/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-terreno-para-venda-possui-300-metros-quadrados-em-nova-itabuna-itabuna-ba-1228132301,02/Oct/2023,22:39:13
Terrenos,,null,Nova Itabuna,Itabuna,BA,1000m²,Jorge brito,03/08/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendas-1218006467,02/Oct/2023,22:39:13
Terrenos,,R$ 35,Centro Industrial,Itabuna,BA,140m²,Carvalho,23/09/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno35-mil-1236995383,02/Oct/2023,22:39:13
