tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 135.000,,Vitória da Conquista,BA,530m²,Bianca Cortes,18/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/oportunidade-vendo-terreno-no-haras-residence-1211625575,14/Aug/2023,21:21:26
Terrenos,,null,Ibirapuera,Vitória da Conquista,BA,420m²,Daniel,18/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/passo-lote-de-420m-no-campus-vivant-1181179810,14/Aug/2023,21:21:26
Terrenos,,R$ 9.000,Alto Maron,Vitória da Conquista,BA,200m²,anderson,13/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/vendo-terreno-na-lagoa-das-flores-1209732047,14/Aug/2023,21:21:26
Terrenos,,R$ 65.000,Patagônia,Vitória da Conquista,BA,75m²,Ric,18/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/ponto-comercial-1211589869,14/Aug/2023,21:21:26
Terrenos,,R$ 155.000,,Vitória da Conquista,BA,500m²,Uelma e Andrea,17/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/haras-residence-lote-500-m2-px-area-lazer-1185334679,14/Aug/2023,21:21:26
Terrenos,,R$ 150.000,Recreio,Vitória da Conquista,BA,360m²,Iago,13/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/terreno-no-jardim-candeias-360m2-1209932677,14/Aug/2023,21:21:26
Terrenos,,R$ 160.000,Candeias,Vitória da Conquista,BA,1046m²,TSO,13/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/haras-camping-club-1209880429,14/Aug/2023,21:21:26
Terrenos,,R$ 140.000,Jurema,Vitória da Conquista,BA,200m²,Mari,17/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/terreno-centro-av-juracy-magalhaes-av-caracas-1211070545,14/Aug/2023,21:21:26
Terrenos,,R$ 650.000,Candeias,Vitória da Conquista,BA,270m²,luuu,13/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/terreno-proximo-a-laura-nunes-1209672623,14/Aug/2023,21:21:27
Terrenos,,R$ 425.000,Bateias,Vitória da Conquista,BA,1000m²,ARBO IMÓVEIS,20/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/5-terrenos-de-200m-totalizando-1000-m-a-venda-em-rua-asfaltada-em-otima-localizacao-no-c-1212423216,14/Aug/2023,21:21:27
Terrenos,,R$ 45.000,Zabelê,Vitória da Conquista,BA,450m²,Julio César Brito,14/07/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/terreno-em-vitoria-da-conquista-1210354840,14/Aug/2023,21:21:28
Terrenos,,R$ 5.423.000,Recreio,Vitória da Conquista,BA,5423m²,Antonio Carlos,12/08/2023,https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/terrenos/terreno-5-500-m-no-recreio-1116462747,14/Aug/2023,21:21:28
