tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 450.000,,Esplanada,BA,750m²,IMOBILIÁRIA PONTO 4,15/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/terrenos/esplanada-terreno-padrao-baixio-1115881411,21/Mar/2023,05:17:17
Venda - casa em rua pública,2,R$ 330.000,,Esplanada,BA,,Lana,26/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/vendo-ponto-comercial-e-casa-comercial-1152012938,21/Mar/2023,05:17:17
Venda - casa em vila,2,R$ 70,,Esplanada,BA,,valder,30/01/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/vende-se-1140280260,21/Mar/2023,05:17:17
Venda - apartamento padrão,3,R$ 950.000,,Esplanada,BA,88m²,fosgood10000,12/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/residencial-ponta-de-inhambupe-1158149689,21/Mar/2023,05:17:17
Terrenos,,R$ 600.000,,Esplanada,BA,17435m²,Léo,17/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/terrenos/terreno-com-casa-1160515991,21/Mar/2023,05:17:17
Terrenos,,R$ 30.000,,Esplanada,BA,,Leticia,16/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/terrenos/terreno-1160277985,21/Mar/2023,05:17:17
Terrenos,,R$ 600.000,,Esplanada,BA,4283m²,Vívian Lázara,08/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/terrenos/lote-chacara-1062585461,21/Mar/2023,05:17:17
Terrenos,,R$ 45.000.000,,Esplanada,BA,50m²,Edu Lins,22/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/terrenos/vendo-lotes-1150068791,21/Mar/2023,05:17:17
Venda - casa em condominio fechado,4,R$ 2.263.270,,Esplanada,BA,314m²,Uniimoveis,20/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/ponta-de-inhambupe-casa-em-condominio-quatro-suites-terreno-670-20-m2-area-construida-3-1107120572,21/Mar/2023,05:17:17
Terrenos,,R$ 30.000,,Esplanada,BA,21780m²,Elderson Augusto,08/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/terrenos/5-tarefa-de-terra-1156392350,21/Mar/2023,05:17:17
Venda - casa em condominio fechado,4,R$ 150.000,,Esplanada,BA,156m²,SKS Imobiliária,19/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-de-condominio-para-venda-possui-156-metros-quadrados-com-4-quartos-em-centro-esplan-1155465270,21/Mar/2023,05:17:17
Venda - casa em rua pública,1,R$ 80.000,,Esplanada,BA,200m²,river.vel,31/01/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-de-praia-em-baixio-linha-bahia-1140598330,21/Mar/2023,05:17:17
Venda - casa em rua pública,4,R$ 150.000,,Esplanada,BA,150m²,Delmiro Carvalho,04/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/vendo-uma-casa-esplanada-1091551139,21/Mar/2023,05:17:17
Venda - apartamento padrão,2,R$ 400.000,,Esplanada,BA,68m²,Alexandre Andrade,13/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/ponta-de-inhambupe-deslumbrantes-praias-residencial-localizado-a-30-min-de-praia-do-forte-991715863,21/Mar/2023,05:17:17
Terrenos,,R$ 280.000,Centro,Esplanada,BA,1848m²,Igor Rudner Corretor de Imóveis,22/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/terrenos/esplanada-terreno-padrao-centro-1057653153,21/Mar/2023,05:17:17
Venda - apartamento padrão,2,R$ 560.000,,Esplanada,BA,58m²,AILTON MIRANDA,26/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/2-4-com-suite-tipo-resort-em-baixio-mobiliado-pe-na-areia-com-vista-mar-do-ap-1151782906,21/Mar/2023,05:17:17
Venda - casa em condominio fechado,4,R$ 2.150.000,,Esplanada,BA,238m²,Jessica Ribeiro,15/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-em-ponta-de-inhambupe-1105779616,21/Mar/2023,05:17:17
Venda - casa em condominio fechado,4,R$ 1.250.000,,Esplanada,BA,124m²,Arembepe Imobiliária,18/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/apartamento-com-4-dormitorios-a-venda-124-m-por-r-1-250-000-baixio-esplanada-ba-1097090877,21/Mar/2023,05:17:17
Terrenos,,null,,Esplanada,BA,,Marta,17/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/terrenos/imovel-1160537515,21/Mar/2023,05:17:17
Venda - apartamento padrão,2,R$ 524.063,,Esplanada,BA,68m²,MATHEUS BAHIA,17/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/apartamento-para-venda-tem-68-m-com-2-quartos-em-ponta-de-inhambupe--esplanada-ba-1020148124,21/Mar/2023,05:17:17
Venda - apartamento padrão,2,R$ 435.000,,Esplanada,BA,58m²,LITORAL NORTE IMOVEIS LTDA ME,25/09/2022,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/ponta-de-inhambupe-apartamento-2-e-3-4-em-baixio-1088766853,21/Mar/2023,05:17:17
Venda - apartamento padrão,1,R$ 100.000,,Esplanada,BA,58m²,Corretores CM,07/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/ponta-de-inhambupe-br-seu-encontro-com-o-paraiso-sao-casas-e-apartamentos-a-venda-oportuni-1121487246,21/Mar/2023,05:17:17
Venda - casa em condominio fechado,2,R$ 501.344,,Esplanada,BA,68m²,Baiana Realty Soluções Imobiliárias,25/11/2022,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/village-com-2-dormitorios-a-venda-68-m-por-r-501-344-00-baixios-esplanada-ba-1114122170,21/Mar/2023,05:17:17
Venda - casa em rua pública,3,R$ 180.000,,Esplanada,BA,,Flávia,27/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-de-praia-em-baixio-1152367634,21/Mar/2023,05:17:17
Venda - casa em rua pública,5 ou mais,R$ 450.000,,Esplanada,BA,150m²,Jullie Araujo,03/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/vende-se-uma-casa-em-esplanada-ba-1154303717,21/Mar/2023,05:17:17
Venda - casa em rua pública,2,R$ 99.000,,Esplanada,BA,80m²,SKS Imobiliária,20/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-para-venda-com-80-metros-quadrados-com-2-quartos-em-centro-esplanada-ba-1021424680,21/Mar/2023,05:17:17
Venda - casa em condominio fechado,2,R$ 450.000,,Esplanada,BA,58m²,Igor Rudner Corretor de Imóveis,09/03/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/esplanada-residencial-palame-1017705083,21/Mar/2023,05:17:17
Venda - apartamento padrão,2,R$ 559.000,,Esplanada,BA,68m²,Leonardo Araujo,15/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/vendo-ap-68m-2-4-completo-porteira-fechada-em-condominio-beira-mar-em-baixio-1147436999,21/Mar/2023,05:17:17
Venda - apartamento padrão,2,R$ 680.000,,Esplanada,BA,,hugo rocha,07/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/apartamento-2-4-sendo-1-suite-em-baixios-1105571778,21/Mar/2023,05:17:17
Venda - apartamento padrão,4,R$ 1.390.000,,Esplanada,BA,124m²,Alexandre Nemen Matos,28/02/2023,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/apartamento-a-venda-no-bairro-centro-esplanada-ba-1030018773,21/Mar/2023,05:17:17
