tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 70.000,Santana (Ilha de Maré),Salvador,BA,100m²,VICTORIA SOLUÇÕES,08/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-possui-100-metros-quadrados-com-3-quartos-1156175058,21/Mar/2023,02:45:52
Terrenos,,null,Praia Grande (Ilha de Maré),Salvador,BA,,LotesIlhaDeMaré,13/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/oportunidade-lotes-partir-de-r-8-000-936192103,21/Mar/2023,02:45:52
Terrenos,,R$ 9.000,Itamoabo (Ilha de Maré),Salvador,BA,70m²,MESSIAS,02/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/ilha-de-mare-1141974669,21/Mar/2023,02:45:52
Terrenos,,R$ 8.000,Botelho (Ilha de Maré),Salvador,BA,,Henderson Vn,23/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-1137465505,21/Mar/2023,02:45:52
Venda - casa em rua pública,3,R$ 490.000,Santana (Ilha de Maré),Salvador,BA,199m²,Bittencourt Imóveis,19/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/js-casa-para-venda-com-199-metros-quadrados-com-3-quartos-em-santana-ilha-de-mare-salva-1135354245,21/Mar/2023,02:45:52
Venda - casa em rua pública,3,R$ 130.000,Engenho de Maré (Ilha de Maré),Salvador,BA,,Webster Pinheiro,07/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/vendo-casa-1155600104,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 100.000,Santana (Ilha de Maré),Salvador,BA,100m²,Bittencourt Imóveis,19/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/ts-casa-em-ilha-de-mar-1135589273,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 100.000,Santana (Ilha de Maré),Salvador,BA,100m²,Bittencourt Imóveis,20/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/ts-casa-em-ilha-de-mare-1136152456,21/Mar/2023,02:45:52
Venda - casa em rua pública,3,R$ 100.000,Oratório (Ilha de Maré),Salvador,BA,100m²,Golden Imobiliária,19/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-com-100-metros-quadrados-com-3-quartos-em-oratorio-ilha-de-mare-salvad-1161373318,21/Mar/2023,02:45:52
Terrenos,,R$ 12.000,Praia Grande (Ilha de Maré),Salvador,BA,15m²,Gil C.,01/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-um-terreno-em-ilha-de-mare-1153199340,21/Mar/2023,02:45:52
Terrenos,,R$ 7.000,Praia Grande (Ilha de Maré),Salvador,BA,,Lay,20/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-6-por-12-1161752757,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 40.000.000,,Ilha De Maré,BA,,Josy,28/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/vendo-casa-em-ilha-de-mare-santana-1139589955,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 80.000,Santana (Ilha de Maré),Salvador,BA,80m²,Wesley filipe Moreira dos Santos,26/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-tem-80-metros-quadrados-com-2-quartos-em-santana-ilha-de-mare-salvador-1138927123,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 160.000,Santana (Ilha de Maré),Salvador,BA,80m²,Bittencourt Imóveis,09/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/gp6-casa-para-venda-em-santana-ilha-de-mare-1145154113,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 100.000,Santana (Ilha de Maré),Salvador,BA,100m²,Bittencourt Imóveis,24/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/evs-casa-na-ilha-1137784346,21/Mar/2023,02:45:52
Terrenos,,R$ 7.000,Praia Grande (Ilha de Maré),Salvador,BA,,Sirleide Lopes,19/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-terrenio-em-ilha-de-mare-unica-oportunidade-de-viver-com-qualidade-de-vida-1135742702,21/Mar/2023,02:45:52
Venda - casa em rua pública,3,R$ 50.000,,Ilha De Maré,BA,,Jamrodrigues,09/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-e-venda-ou-troca-1144794912,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 80.000,Santana (Ilha de Maré),Salvador,BA,55m²,Bittencourt Imóveis,26/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/js-casa-para-venda-em-santana-ilha-de-mare-salvador-bahia-1138923290,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 90.000,Santana (Ilha de Maré),Salvador,BA,90m²,Wesley filipe Moreira dos Santos,26/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-tem-90-metros-quadrados-com-2-quartos-em-santana-ilha-de-mare-salvador-1138926653,21/Mar/2023,02:45:52
Venda - casa em rua pública,3,R$ 100.000,Bananeiras (Ilha de Maré),Salvador,BA,102m²,Golden Imobiliária,19/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-tem-102-metros-quadrados-com-3-quartos-em-bananeiras-ilha-de-mare-salv-1161357306,21/Mar/2023,02:45:52
Venda - casa em rua pública,3,R$ 75.000,Santana (Ilha de Maré),Salvador,BA,110m²,VICTORIA SOLUÇÕES,16/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-possui-110-metros-quadrados-com-3-quartos-1148242275,21/Mar/2023,02:45:52
Venda - casa em rua pública,2,R$ 80.000,Santana (Ilha de Maré),Salvador,BA,85m²,Bittencourt Imóveis,11/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/js-casa-para-venda-em-santana-ilha-de-mare-salvador-bahia-1145889379,21/Mar/2023,02:45:52
Venda - casa em rua pública,4,R$ 300.000,Santana (Ilha de Maré),Salvador,BA,95m²,Bittencourt Imóveis,23/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/jl-vendo-este-imovel-1137321570,21/Mar/2023,02:45:52
Venda - casa em rua pública,3,R$ 130.000,Engenho de Maré (Ilha de Maré),Salvador,BA,,Janiceia P.,06/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/vendo-uma-casa-1155592828,21/Mar/2023,02:45:52
