tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 800.000,Centro,Itabuna,BA,147m²,IBS Imóveis Bahia Sul LTDA - ME,07/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno-com-147m-no-centro-itabuna-ba-890785744,21/Mar/2023,03:17:40
Terrenos,,R$ 35.000,Vila Anália,Itabuna,BA,140m²,Mayra Souza,20/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-este-terreno-1161516795,21/Mar/2023,03:17:40
Terrenos,,R$ 700.000,Centro,Itabuna,BA,217m²,Lemos & Paim Imóveis,17/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-em-itabuna-centro-1040955613,21/Mar/2023,03:17:40
Terrenos,,R$ 10.000,Centro,Itabuna,BA,140m²,Fernando Nascimento,18/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-no-top-park-2-em-itabuna-1161181377,21/Mar/2023,03:17:40
Terrenos,,R$ 1.080.000,São Judas Tadeu,Itabuna,BA,3600m²,IBS Imóveis Bahia Sul LTDA - ME,17/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno-com-3600m-no-bairro-sao-judas-890794100,21/Mar/2023,03:17:40
Terrenos,,R$ 550.000,Monte Cristo,Itabuna,BA,525m²,Marcelo,19/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-lote-1161260104,21/Mar/2023,03:17:40
Terrenos,,R$ 47.000,Parque Verde,Itabuna,BA,160m²,Weslley Araujo,20/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-no-parque-verde-em-itabuna-escriturado-1138292372,21/Mar/2023,03:17:40
Terrenos,,R$ 350.000,São Judas Tadeu,Itabuna,BA,2400m²,Gustavo Correia da Silva,16/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-com-2-400m-em-itabuna-ba-1008739561,21/Mar/2023,03:17:40
Terrenos,,R$ 350.000,Jardim Vitória,Itabuna,BA,232m²,Lemos & Paim Imóveis,13/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-terreno-para-venda-jardim-vitoria-itabuna-ba-1151224971,21/Mar/2023,03:17:40
Terrenos,,R$ 1.200.000,Alto Maron,Itabuna,BA,30867m²,IBS Imóveis Bahia Sul LTDA - ME,12/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-loteamento-em-itabuna-891052853,21/Mar/2023,03:17:40
Terrenos,,R$ 50.000,Jaçanã,Itabuna,BA,240m²,Lemos & Paim Imóveis,12/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno-lote-jacana-itabuna-ba-1148272177,21/Mar/2023,03:17:40
Terrenos,,R$ 1.200.000,Jaçanã,Itabuna,BA,10000m²,IBS Imóveis Bahia Sul LTDA - ME,15/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-situado-na-rodovia-jorge-amado-br-415-890795773,21/Mar/2023,03:17:40
Terrenos,,R$ 110.000,Centro,Itabuna,BA,250m²,IBS Imóveis Bahia Sul LTDA - ME,16/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno-1160145385,21/Mar/2023,03:17:40
Terrenos,,R$ 12,São Roque,Itabuna,BA,196m²,Leandro7560,06/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-a-venda-1155548269,21/Mar/2023,03:17:40
Terrenos,,R$ 375.000,Santo Antônio,Itabuna,BA,150m²,oscar neto,02/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terrenos-na-br-101-em-itabuna-ba-763747515,21/Mar/2023,03:17:40
Terrenos,,R$ 60.000,,Itabuna,BA,200m²,Talisson,02/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-condominio-leao-marinho-1153574227,21/Mar/2023,03:17:40
Terrenos,,R$ 130.000,Pontalzinho,Itabuna,BA,280m²,IBS Imóveis Bahia Sul LTDA - ME,14/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/excelente-terreno-de-esquina-890794194,21/Mar/2023,03:17:40
Terrenos,,R$ 78.400,São Caetano,Itabuna,BA,160m²,Val,02/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/loteamento-duas-barras-1153949903,21/Mar/2023,03:17:40
Terrenos,,R$ 65.000,Califórnia,Itabuna,BA,,Cristina,15/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-1159622543,21/Mar/2023,03:17:40
Terrenos,,R$ 24.000,Novo São Caetano,Itabuna,BA,,Van,13/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-1158575162,21/Mar/2023,03:17:40
Terrenos,,R$ 15.000,Centro,Itabuna,BA,230m²,Marcelo,27/02/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/aluguel-incorporacao-ou-arrendamento-1152242499,21/Mar/2023,03:17:40
Venda - apartamento padrão,3,R$ 320.000,Santo Antônio,Itabuna,BA,300m²,Lemos & Paim Imóveis,04/03/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/apartamento-padrao-em-itabuna-santo-antonio-1044148707,21/Mar/2023,03:17:40
Terrenos,,R$ 50.000,Jaçanã,Itabuna,BA,,Lemos & Paim Imóveis,26/02/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-de-condominio-jacana-itabuna-r-50-mil-1042957686,21/Mar/2023,03:17:40
Terrenos,,R$ 60.000,Jaçanã,Itabuna,BA,360m²,IBS Imóveis Bahia Sul LTDA - ME,16/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-excelente-terreno-localizado-no-loteamento-fernando-cordier-jacana-1160052111,21/Mar/2023,03:17:40
Terrenos,,R$ 200.000,Jardim Vitória,Itabuna,BA,150m²,Tayara Viana Fontinele,28/02/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-terreno-para-venda-possui-150-metros-quadrados-em-jardim-vitoria-itabuna-ba-1152840306,21/Mar/2023,03:17:40
Terrenos,,R$ 111.111,Osvaldo Cruz,Itabuna,BA,240m²,Adriano,18/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-condominio-fechado-1160942554,21/Mar/2023,03:17:40
Terrenos,,R$ 100.000,Santo Antônio,Itabuna,BA,135m²,Maisa Bernadino,26/02/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/terreno-1151837934,21/Mar/2023,03:17:40
Terrenos,,R$ 165.000,São Roque,Itabuna,BA,300m²,IBS Imóveis Bahia Sul LTDA - ME,21/02/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vende-se-terreno-em-boa-localizacao-890799627,21/Mar/2023,03:17:40
Terrenos,,R$ 5.051.211,Nossa Senhora das Graças,Itabuna,BA,33675m²,IBS Imóveis Bahia Sul LTDA - ME,24/02/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno-com-33-674-74m-na-avenida-fernando-gomes-itabuna-ba-890796966,21/Mar/2023,03:17:40
Terrenos,,R$ 450.000,Alto Maron,Itabuna,BA,300m²,Ana Védova Araujo Empr Ldta,25/02/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-terreno-comercial-na-av-ilheus-itabuna-ba-1084568044,21/Mar/2023,03:17:40
