tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 15.000,,Itaparica,BA,360m²,ita,19/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/terrenos-na-ilha-de-itaparica-apartir-de-15mil-pertinho-da-praia-lugar-paraiso-venha-pegar-1135684952,21/Mar/2023,02:46:32
Terrenos,,R$ 13.000,,Itaparica,BA,200m²,jefferson,21/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-1149971556,21/Mar/2023,02:46:32
Terrenos,,R$ 10.000,,Itaparica,BA,150m²,azhelder,09/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-terreno-10x15-proximo-ao-hgi-itaparica-1157089914,21/Mar/2023,02:46:32
Terrenos,,R$ 40.000,,Itaparica,BA,300m²,Sandro,29/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-1139976497,21/Mar/2023,02:46:32
Terrenos,,R$ 369.000,,Itaparica,BA,492m²,Cesar,23/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-itaparica-492-66-m-c23-1044564557,21/Mar/2023,02:46:32
Terrenos,,R$ 50.000,,Itaparica,BA,1370m²,Projeto Resgaty,24/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-muito-bom-ideal-pra-fazer-um-sitio-oportunidade-1150923324,21/Mar/2023,02:46:32
Terrenos,,R$ 231.000,,Itaparica,BA,308m²,Cesar,23/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-itaparica-308-14-m-c22-1044590190,21/Mar/2023,02:46:32
Terrenos,,R$ 20.000,,Itaparica,BA,540m²,Matteus Amorim,21/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-1149744082,21/Mar/2023,02:46:32
Terrenos,,R$ 13.000,,Itaparica,BA,,Kinho Santos,22/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-terreno-na-ilha-de-itaparica-1150386987,21/Mar/2023,02:46:32
Terrenos,,R$ 15.000,,Itaparica,BA,,Clécia S.,17/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/vende-se-um-terreno-1148319938,21/Mar/2023,02:46:32
Terrenos,,R$ 15.000,,Itaparica,BA,470m²,Evelyn,13/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terrenos-na-ilha-de-itaparica-localizado-na-rodotec-amoreiras-1146586019,21/Mar/2023,02:46:32
Terrenos,,R$ 120.000,,Itaparica,BA,105m²,Madson Nunes,21/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-bom-despacho-1149885084,21/Mar/2023,02:46:32
Terrenos,,R$ 5.000,,Itaparica,BA,470m²,Vinha da Hora,13/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/leia-o-anuncio-terrenos-na-ilha-de-itaparica-localizado-na-rodotec-amoreiras-470m2-1146590050,21/Mar/2023,02:46:32
