tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 780.000,Liberdade,Salvador,BA,408m²,Patricia Deminco,02/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-na-ladeira-da-soledade-com-vista-pro-mar-1153962265,21/Mar/2023,01:34:13
Terrenos,,R$ 60.000,Liberdade,Salvador,BA,,Alex,10/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-amplo-1157539024,21/Mar/2023,01:34:13
Terrenos,,R$ 30.000,Liberdade,Salvador,BA,300m²,Oliveira,13/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-30-mil-troco-por-carro-ou-casa-no-valor-1158788873,21/Mar/2023,01:34:13
Terrenos,,R$ 6.000,Curuzu,Salvador,BA,40m²,Glicia Pires,05/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vende-se-terreno-1154954358,21/Mar/2023,01:34:13
Venda - casa em rua pública,2,R$ 80.000,Liberdade,Salvador,BA,78m²,Golden Imobiliária,18/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-a-venda-na-liberdade-px-1-travessa-da-central-1161184523,21/Mar/2023,01:34:13
Terrenos,,R$ 19.000,Liberdade,Salvador,BA,119m²,jesus é o senhor,15/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-bem-localizado-em-pau-da-lima-sao-marcos-1147690432,21/Mar/2023,01:34:13
Terrenos,,R$ 100.000,Liberdade,Salvador,BA,62m²,NNOVA NETIMÓVEIS,18/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/venda-lote-area-terreno-liberdade-salvador-1095716842,21/Mar/2023,01:34:13
Terrenos,,R$ 1.700.000,Liberdade,Salvador,BA,,Cotistas do Brasil Web,17/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-venda-no-largo-do-tanque-830m-1148716881,21/Mar/2023,01:34:13
Terrenos,,R$ 30.000,Liberdade,Salvador,BA,300m²,kelsoto01,12/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-terreno-em-porto-de-sauipe-1158112022,21/Mar/2023,01:34:13
Terrenos,,R$ 120.000,Liberdade,Salvador,BA,28m²,geo,14/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-na-avenida-principal-da-liberdade-1158910104,21/Mar/2023,01:34:13
