tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 70.000,,Nova Viçosa,BA,460m²,Wnmend65,27/01/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-460-m2-em-nova-vicosa-frente-para-o-mar-1138989632,21/Mar/2023,03:33:28
Venda - casa em rua pública,2,R$ 85.000,,Nova Viçosa,BA,,Henrique,20/03/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-em-nova-vicosa-bahia-75-1161593490,21/Mar/2023,03:33:28
Venda - casa em rua pública,1,R$ 194.000,,Nova Viçosa,BA,1000m²,Arthur Santos,15/02/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-de-praia-1147298184,21/Mar/2023,03:33:28
Venda - casa em rua pública,3,R$ 300.000,,Nova Viçosa,BA,,cristiano syssa,02/03/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-de-praia-nova-vicosa-ba-1150924283,21/Mar/2023,03:33:28
Venda - casa em vila,4,R$ 590.000,,Nova Viçosa,BA,255m²,Mozart,28/01/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/venha-viver-no-paraiso-na-costa-do-atlantico-1127663389,21/Mar/2023,03:33:28
Venda - casa em condominio fechado,4,R$ 250.000,,Nova Viçosa,BA,153m²,RE/MAX COUNTRY,05/03/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-com-4-dormitorios-a-venda-153-m-por-r-250-000-00-centro-nova-vicosa-ba-1107337302,21/Mar/2023,03:33:28
Venda - casa em rua pública,5 ou mais,R$ 250.000,,Nova Viçosa,BA,,Caio Moreira,27/02/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/residencial-1152426080,21/Mar/2023,03:33:29
Terrenos,,R$ 35.000,,Nova Viçosa,BA,300m²,Zig,01/03/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/lote-nova-vicosa-ba-1153089344,21/Mar/2023,03:33:29
Venda - casa em rua pública,3,R$ 250.000,,Nova Viçosa,BA,110m²,Jonas,29/01/2023,https://ba.olx.com.br/sul-da-bahia/imoveis/casa-de-praia-nova-vicosa-recebendo-melhorias-1139943876,21/Mar/2023,03:33:29
Terrenos,,R$ 25.000,,Nova Viçosa,BA,,Campello G.,22/01/2023,https://ba.olx.com.br/sul-da-bahia/terrenos/vendo-lote-em-nova-vicosa-bahia-300-metro-da-praia-1131328149,21/Mar/2023,03:33:29
