tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 43.500,Pau Miúdo,Salvador,BA,80m²,jutacifreitas,02/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-jaua-vendo-troca-41-500mil-1153560247,21/Mar/2023,01:41:29
Venda - casa em rua pública,2,R$ 90.000,Pau Miúdo,Salvador,BA,100m²,Innova,13/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/vsc-casa-pau-miudo-2quartos-1053976615,21/Mar/2023,01:41:29
Venda - casa em rua pública,2,R$ 60.000,Pau Miúdo,Salvador,BA,80m²,Encontre Imóveis,11/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-em-pau-miudo-1088103774,21/Mar/2023,01:41:29
Venda - casa em rua pública,2,R$ 88.000,Pau Miúdo,Salvador,BA,,Marques,18/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/venda-de-casa-2-4-1160900219,21/Mar/2023,01:41:29
Venda - casa em rua pública,3,R$ 60.000,Pau Miúdo,Salvador,BA,150m²,Wesley filipe Moreira dos Santos,15/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-possui-150-metros-quadrados-com-3-quartos-em-pau-miudo-salvador-bahia-1159349978,21/Mar/2023,01:41:29
Terrenos,,R$ 580.000,Pau Miúdo,Salvador,BA,298m²,Cotistas do Brasil Web,25/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/lote-terreno-para-venda-com-298-metros-quadrados-em-pau-miudo-salvador-ba-1053118293,21/Mar/2023,01:41:29
Venda - casa em rua pública,2,R$ 50.000,Pau Miúdo,Salvador,BA,60m²,Isnaelle da Silva Cruz,20/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/dacredd-compre-seu-imovel-atraves-de-boleto-bancario-1161613632,21/Mar/2023,01:41:29
Venda - casa em rua pública,3,R$ 50.000,Pau Miúdo,Salvador,BA,90m²,Wesley filipe Moreira dos Santos,13/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-com-90-metros-quadrados-com-3-quartos-em-pau-miudo-salvador-bahia-1133109426,21/Mar/2023,01:41:29
Venda - casa em rua pública,1,R$ 55.000,Pau Miúdo,Salvador,BA,40m²,luideglima,21/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/vendo-casa-1-4-terreno-1149790707,21/Mar/2023,01:41:29
Venda - casa em rua pública,3,R$ 140.000,Pau Miúdo,Salvador,BA,130m²,Imóvel,18/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-no-pau-miudo-1161042889,21/Mar/2023,01:41:29
Outros,,R$ 80.000,Pau Miúdo,Salvador,BA,,pamela,24/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-casa-do-bairro-do-pau-miudo-1137558407,21/Mar/2023,01:41:29
