tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Outros,,null,Praia Grande,Salvador,BA,102m²,Apl,03/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/venda-de-um-terreno-laje-1154151122,21/Mar/2023,01:42:09
Terrenos,,null,Periperi,Salvador,BA,54m²,Igu,25/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-terreno-em-periperi-1138307404,21/Mar/2023,01:42:09
Venda - casa em rua pública,2,R$ 160.000,Praia Grande,Salvador,BA,95m²,Encontre Imóveis,20/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-tem-95-metros-quadrados-com-2-quartos-em-suburbios-ferroviarios-salvador-1161582802,21/Mar/2023,01:42:09
Terrenos,,R$ 11,Periperi,Salvador,BA,12m²,Vivianny Pires,17/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-na-cocisa-1160660415,21/Mar/2023,01:42:10
Terrenos,,R$ 16.000.000,Periperi,Salvador,BA,14000m²,Tamyy Barbosa,08/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-maragogipe-a-venda-1156316753,21/Mar/2023,01:42:10
Terrenos,,R$ 17.000,Periperi,Salvador,BA,17000m²,naldo pires,12/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/1-vao-com-terra-de-1040-metros-quadrado-17-mil-1158292706,21/Mar/2023,01:42:10
Terrenos,,R$ 4.500,Periperi,Salvador,BA,65m²,Priscila Silva,11/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-5x13-1157939651,21/Mar/2023,01:42:10
Terrenos,,R$ 14.000,Periperi,Salvador,BA,200m²,IVANA OLIVEIRA....,14/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-ou-troco-terreno-na-ilha-aratuba-1158809952,21/Mar/2023,01:42:10
Terrenos,,R$ 27.000,Periperi,Salvador,BA,,Uemerson Vieira,11/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-terreno-1157880468,21/Mar/2023,01:42:10
Terrenos,,R$ 45.000,Periperi,Salvador,BA,54m²,TAIRONE ?,27/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-a-venda-1139023083,21/Mar/2023,01:42:10
Terrenos,,R$ 50.000,Periperi,Salvador,BA,382m²,elzalua52,07/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-um-terreno-no-valor-de-r-50-000-00-a-vista-com-382m-1155775820,21/Mar/2023,01:42:10
Terrenos,,R$ 40.000,Praia Grande,Salvador,BA,400m²,SouzaEfs,22/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-terreno-no-reserva-vera-cruz-bairro-planejado-1150181163,21/Mar/2023,01:42:10
Terrenos,,R$ 30.000,Periperi,Salvador,BA,140m²,yasmin Silva,12/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vende-se-um-terreno-documentado-ja-com-umas-fundacoes-1158129676,21/Mar/2023,01:42:10
Terrenos,,R$ 15.000,Periperi,Salvador,BA,45m²,lucas,20/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-periperi-rua-da-gloria-1136060067,21/Mar/2023,01:42:10
Terrenos,,R$ 11.000,Periperi,Salvador,BA,24m²,Jel,14/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-cajazeiras-1146966302,21/Mar/2023,01:42:10
Terrenos,,R$ 25.600,Periperi,Salvador,BA,60m²,Lenise R.,03/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-um-lote-proximo-ao-hospital-do-suburbio-contato-roberto-1142518826,21/Mar/2023,01:42:10
Terrenos,,R$ 35.000,Periperi,Salvador,BA,180m²,Wiliam R.,03/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-barra-do-gil-1154013352,21/Mar/2023,01:42:10
Terrenos,,R$ 5.000.000,Periperi,Salvador,BA,40000m²,PARQUE ATLÂNTICO IMOBILIÁRIA LTDA,01/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-40-000m-periperi-988889178,21/Mar/2023,01:42:10
Terrenos,,R$ 28.000,Periperi,Salvador,BA,84m²,JAIR,10/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-periperi-1145519837,21/Mar/2023,01:42:10
Terrenos,,R$ 8.000,Periperi,Salvador,BA,30000m²,Jomaris,23/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-frente-ao-hospital-do-suburbio-9-de-frente-por-23-de-comprimento-1150791762,21/Mar/2023,01:42:10
Terrenos,,null,Praia Grande,Salvador,BA,400m²,Ingrid Santanna,05/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-na-ilha-de-itaparica-1154953870,21/Mar/2023,01:42:10
Terrenos,,R$ 22.000,Periperi,Salvador,BA,1000m²,Markinhos,08/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-1144388934,21/Mar/2023,01:42:10
Terrenos,,R$ 28.000,Periperi,Salvador,BA,77m²,Sisall,01/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-ou-troco-terreno-1152980156,21/Mar/2023,01:42:10
Terrenos,,R$ 1.600.000,Praia Grande,Salvador,BA,7000m²,lucas.sb09,10/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-taipu-de-dentro-1145547007,21/Mar/2023,01:42:10
Terrenos,,R$ 25.000,Praia Grande,Salvador,BA,159m²,anderson Jesus Santos,27/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-1139266802,21/Mar/2023,01:42:10
Terrenos,,R$ 60.000,Periperi,Salvador,BA,128m²,Rege,01/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-a-venda-em-periperi-75-000-1141359810,21/Mar/2023,01:42:10
Terrenos,,R$ 25.600,Periperi,Salvador,BA,60m²,robertobatista73,01/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vende-se-lote-proximo-ao-hospital-do-suburbio-1153204668,21/Mar/2023,01:42:10
Terrenos,,R$ 45.000,Periperi,Salvador,BA,9m²,luciano ferreira,23/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-1137355023,21/Mar/2023,01:42:10
Terrenos,,null,Periperi,Salvador,BA,45m²,Romelia Mourentino,17/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/vende-se-um-terreno-pronto-1160496412,21/Mar/2023,01:42:10
Venda - casa em rua pública,2,R$ 80.000,Periperi,Salvador,BA,74m²,Golden Imobiliária,18/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-a-venda-em-periper-px-travessa-sao-jorge-de-mirantes-de-periperi-1161036854,21/Mar/2023,01:42:10
