tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 20.000,Roma,Salvador,BA,300m²,A Santos,06/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/lotes-em-conde-linha-verde-1155324871,21/Mar/2023,01:51:22
Venda - casa em rua pública,2,R$ 375.000,Roma,Salvador,BA,,Antonio Matheus PitÃ¡goras F. de Castro,14/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-roma-1147141389,21/Mar/2023,01:51:22
Venda - apartamento padrão,2,R$ 400.000,Roma,Salvador,BA,120m²,Guimarães Imobiliária,19/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-com-2-dormitorios-a-venda-120-m-por-r-400-000-00-roma-salvador-ba-1076181326,21/Mar/2023,01:51:22
Venda - casa em rua pública,3,R$ 90.000,Roma,Salvador,BA,86m²,Golden Imobiliária,19/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-a-venda-no-bairro-de-roma-px-rua-araujo-bulcao-1161258526,21/Mar/2023,01:51:22
Venda - casa em rua pública,2,R$ 50.000,Roma,Salvador,BA,54m²,Bahia Imóveis,15/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/ms-casa-na-roma-1159351368,21/Mar/2023,01:51:22
Venda - casa em rua pública,4,R$ 850.000,Roma,Salvador,BA,,Betto,26/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/baixa-do-bonfim-vendo-casa-tipo-predio-1138889268,21/Mar/2023,01:51:22
Venda - casa em rua pública,3,R$ 100.000,Roma,Salvador,BA,129m²,Golden Imobiliária,20/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-em-roma-pr-rua-frederico-lisboa-1161556693,21/Mar/2023,01:51:22
Terrenos,,R$ 0,Roma,Salvador,BA,1360m²,Lia,26/01/2023,https://ba.olx.com.br/grande-salvador/terrenos/vendo-lotes-1138810120,21/Mar/2023,01:51:22
Terrenos,,null,Roma,Salvador,BA,480m²,Edson,06/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-canto-dos-passaros-venda-ou-troca-1143654993,21/Mar/2023,01:51:22
Venda - casa em rua pública,4,R$ 350.000,Roma,Salvador,BA,220m²,Guimarães Imobiliária,08/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-com-4-quartos-a-venda-por-r-350-000-roma-salvador-ba-1080705193,21/Mar/2023,01:51:22
Venda - casa em rua pública,5 ou mais,R$ 315.000,Roma,Salvador,BA,190m²,Jair Pinheiro Corretor de Imóveis,19/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casarao-livre-5-5-frente-x-50-de-fundo-5-quartos-quintal-roma-982536731,21/Mar/2023,01:51:22
Venda - casa em rua pública,2,R$ 69.000,Roma,Salvador,BA,77m²,Victor Santana,16/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-roma-salvador-ba-1105973087,21/Mar/2023,01:51:22
Venda - casa em rua pública,3,R$ 410.000,Roma,Salvador,BA,107m²,Cotistas do Brasil Web,08/12/2022,https://ba.olx.com.br/grande-salvador/imoveis/casa-3-4-cobertura-1-garagem-bairro-machado-r-410-000-00-1119259580,21/Mar/2023,01:51:22
Venda - apartamento padrão,2,R$ 240.000,Roma,Salvador,BA,,Phelinos,25/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/ap-1138303990,21/Mar/2023,01:51:22
Venda - casa em rua pública,2,R$ 90.000,Roma,Salvador,BA,60m²,Bittencourt Imóveis,19/12/2022,https://ba.olx.com.br/grande-salvador/imoveis/ar-casa-para-venda-em-roma-salvador-ba-1123479470,21/Mar/2023,01:51:22
Venda - casa em rua pública,5 ou mais,R$ 695.000,Roma,Salvador,BA,320m²,Kasa Nove Imóveis,26/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-5-quartos-320-m-jardim-amplas-salas-quarto-de-servico-3-vagas-de-garagem-1009911343,21/Mar/2023,01:51:22
Venda - casa em rua pública,2,R$ 80.000,Roma,Salvador,BA,126m²,Wesley filipe Moreira dos Santos,20/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-roma-salvador-bahia-1136143879,21/Mar/2023,01:51:22
Venda - casa em rua pública,2,R$ 20.000,Roma,Salvador,BA,53m²,Innova,16/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/an-apartamento-largo-de-roma-982989132,21/Mar/2023,01:51:22
Venda - apartamento duplex/triplex,4,R$ 600.000,Roma,Salvador,BA,312m²,Thadila N. C. Affonso,09/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-e-cobertura-a-venda-em-roma-salvador-1145169720,21/Mar/2023,01:51:22
Venda - apartamento padrão,4,R$ 600.000,Roma,Salvador,BA,144m²,Guimarães Imobiliária,08/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-duplex-com-4-quartosa-venda-144-m-por-r-600-000-roma-salvador-ba-1156158285,21/Mar/2023,01:51:22
Venda - casa em rua pública,2,R$ 60.000,Roma,Salvador,BA,56m²,Bahia Imóveis,03/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/ms-casa-em-roma-1154007391,21/Mar/2023,01:51:22
Venda - casa em rua pública,4,R$ 150.000,Roma,Salvador,BA,250m²,Encontre Imóveis,10/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-possui-250-metros-quadrados-com-4-quartos-em-roma-salvador-bahia-1157336209,21/Mar/2023,01:51:22
Venda - casa em rua pública,2,R$ 70.000,Roma,Salvador,BA,80m²,Encontre Imóveis,18/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-em-roma-1034256735,21/Mar/2023,01:51:22
Venda - apartamento padrão,2,R$ 90.000,Roma,Salvador,BA,45m²,Innova,28/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/db-credito-imobiliario-979082063,21/Mar/2023,01:51:22
