tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 7.500,São Gonçalo,Salvador,BA,13m²,bateradesalvador,20/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-13-6-troco-por-carro-1161464259,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 55.000,São Gonçalo,Salvador,BA,100m²,VICTORIA SOLUÇÕES,22/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-possui-100-metros-quadrados-com-2-quartos-em-sao-goncalo-salvador-bahi-1150008370,21/Mar/2023,01:55:28
Venda - casa em rua pública,3,R$ 90.000,São Gonçalo,Salvador,BA,90m²,Bittencourt Imóveis,21/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/cb-casa-em-sao-goncalo-1136488235,21/Mar/2023,01:55:28
Venda - casa em rua pública,3,R$ 110.000,São Gonçalo,Salvador,BA,85m²,Bittencourt Imóveis,26/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/evs-casa-no-sao-goncalo-1138751454,21/Mar/2023,01:55:28
Venda - casa em rua pública,5 ou mais,R$ 400.000,São Gonçalo,Salvador,BA,280m²,Sergio,10/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/vendo-casa-5-quartos-1145647837,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 185.000,São Gonçalo,Salvador,BA,120m²,Bittencourt Imóveis,10/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/gp29-casa-para-venda-em-sao-goncalo-1145571150,21/Mar/2023,01:55:28
Terrenos,,R$ 88.000.000,São Gonçalo,Salvador,BA,600m²,Edcarlos,10/03/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-aguas-de-sauipe-linha-verde-r-88-000-1157132713,21/Mar/2023,01:55:28
Terrenos,,R$ 47.000,São Gonçalo,Salvador,BA,60m²,jeandersonf646,22/02/2023,https://ba.olx.com.br/grande-salvador/terrenos/terreno-em-madre-de-deus-1150394958,21/Mar/2023,01:55:28
Venda - casa em rua pública,3,R$ 180.000,São Gonçalo,Salvador,BA,110m²,Innovarii Investimentos,08/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-tem-110-metros-quadrados-com-3-quartos-em-sao-goncalo-salvador-ba-1133007335,21/Mar/2023,01:55:28
Venda - apartamento padrão,2,R$ 150.000,São Gonçalo,Salvador,BA,70m²,Innova,16/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/vsc-duplex-com-2-4-em-sao-goncalo-987424791,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 85.000,São Gonçalo,Salvador,BA,80m²,Bittencourt Imóveis,19/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/cb-casa-em-sao-goncalo-1135732843,21/Mar/2023,01:55:28
Venda - casa em rua pública,3,R$ 169.900,São Gonçalo,Salvador,BA,180m²,LUIS AUGUSTO NASCIMENTO DA SILVA,14/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-possui-180-metros-quadrados-com-3-quartos-em-sao-goncalo-salvador-ba-1142554048,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 120.000,São Gonçalo,Salvador,BA,60m²,PINHO IMOVEIS LTDA,13/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-em-salvador-sao-goncalo-2-dormitorios-1-banheiro-1076676565,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 80.000,São Gonçalo,Salvador,BA,100m²,Bittencourt Imóveis,16/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-com-100-metros-quadrados-com-2-quartos-em-sao-goncalo-salvador-bahia-1134045218,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 120.000,São Gonçalo,Salvador,BA,40m²,Bittencourt Imóveis,16/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/f-casa-a-venda-em-sao-goncalo-salvador-ba-1147768652,21/Mar/2023,01:55:28
Venda - casa em rua pública,3,R$ 155.000,São Gonçalo,Salvador,BA,220m²,Bittencourt Imóveis,20/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/acs323-casa-para-venda-em-sao-goncalo-1149484269,21/Mar/2023,01:55:28
Venda - apartamento padrão,2,R$ 165.000,São Gonçalo,Salvador,BA,60m²,Celi Amorim de Abreu,18/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-com-60-metros-quadrados-com-2-quartos-em-sao-goncalo-salvador-b-993704168,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 70.000,São Gonçalo,Salvador,BA,70m²,Wesley filipe Moreira dos Santos,02/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-com-70-metros-quadrados-com-2-quartos-em-sao-goncalo-salvador-bahia-1141976415,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 60.000,São Gonçalo,Salvador,BA,70m²,Selma Alexandrino,26/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-grande-a-venda-1138893461,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 120.000,São Gonçalo,Salvador,BA,75m²,Bittencourt Imóveis,15/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/mss212-casa-para-venda-no-sao-goncalo-1159657671,21/Mar/2023,01:55:28
Venda - casa em rua pública,3,R$ 70.000,São Gonçalo,Salvador,BA,100m²,Wesley filipe Moreira dos Santos,02/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-tem-100-metros-quadrados-com-3-quartos-em-sao-goncalo-salvador-bahia-1142013200,21/Mar/2023,01:55:28
Venda - apartamento padrão,2,R$ 229.000,São Gonçalo,Salvador,BA,82m²,LOPES BAHIA,18/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-com-2-quartos-a-venda-no-sao-goncalo-do-retiro-1161022766,21/Mar/2023,01:55:28
Venda - apartamento padrão,3,R$ 290.000,São Gonçalo,Salvador,BA,92m²,Simone N. Lima,08/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-possui-92-metros-quadrados-com-3-quartos-em-sao-goncalo-salvador-1051231679,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 85.000,São Gonçalo,Salvador,BA,90m²,Bittencourt Imóveis,22/12/2022,https://ba.olx.com.br/grande-salvador/imoveis/ad-casa-em-sao-goncalo-1124414079,21/Mar/2023,01:55:28
Venda - casa em vila,2,R$ 45.000,São Gonçalo,Salvador,BA,,Ls P.,05/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-1143093707,21/Mar/2023,01:55:28
Venda - casa em rua pública,3,R$ 70.000,São Gonçalo,Salvador,BA,120m²,Wesley filipe Moreira dos Santos,03/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-possui-0-metros-quadrados-com-3-quartos-em-sao-goncalo-salvador-bahia-1142476048,21/Mar/2023,01:55:28
Venda - casa em rua pública,2,R$ 93.000,São Gonçalo,Salvador,BA,60m²,NNOVA NETIMÓVEIS,19/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/venda-casa-sao-goncalo-salvador-1051784409,21/Mar/2023,01:55:29
Venda - casa em rua pública,3,R$ 180.000,São Gonçalo,Salvador,BA,250m²,Bittencourt Imóveis,18/01/2023,https://ba.olx.com.br/grande-salvador/imoveis/js-casa-para-venda-tem-250-metros-quadrados-com-3-quartos-em-sao-goncalo-salvador-bahi-1135244652,21/Mar/2023,01:55:29
Venda - casa em vila,1,R$ 30.000,São Gonçalo,Salvador,BA,,Elvis Ferreira,20/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-a-venda-no-sao-goncalo-do-retiro-tem-conversa-no-valor-1149418375,21/Mar/2023,01:55:29
Venda - casa em rua pública,2,R$ 72.000,São Gonçalo,Salvador,BA,109m²,VICTORIA SOLUÇÕES,20/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-com-109-metros-quadrados-com-2-quartos-em-sao-goncalo-salvador-bahia-1149261694,21/Mar/2023,01:55:29
Venda - casa em rua pública,2,R$ 50.000,São Gonçalo,Salvador,BA,60m²,Wesley filipe Moreira dos Santos,02/03/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-a-venda-na-barros-reis-1153698401,21/Mar/2023,01:55:29
Venda - casa em rua pública,3,R$ 79.000,São Gonçalo,Salvador,BA,100m²,RRA IMÓVEIS,05/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-em-narandiba-no-cabula-1089995761,21/Mar/2023,01:55:29
Venda - casa em rua pública,2,R$ 45.000,São Gonçalo,Salvador,BA,,ana491519,15/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-1147663268,21/Mar/2023,01:55:29
Venda - casa em rua pública,2,R$ 70.000,São Gonçalo,Salvador,BA,100m²,Wesley filipe Moreira dos Santos,02/02/2023,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-possui-100-metros-quadrados-com-2-quartos-em-sao-goncalo-salvador-bahi-1142002404,21/Mar/2023,01:55:29
