tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 120.000,,Paracuru,CE,1024m²,Ricardo,30/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-terreno-de-1-024-m-no-paracuru-1239111171,03/Oct/2023,07:28:20
Terrenos,,R$ 7.500,,Paracuru,CE,10m²,Màrcio Luckman Filho,23/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-paracuru-1236996504,03/Oct/2023,07:28:21
Terrenos,,R$ 36.300,,Paracuru,CE,150m²,Eliezio Teixeira Imóveis,28/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-lagoa-do-giral-em-paracuru-1217548114,03/Oct/2023,07:28:21
Terrenos,,R$ 1.500.000,,Paracuru,CE,1400m²,Kekel,05/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-de-esquina-de-1-400m2-no-centro-de-paracuru-proximo-a-praia-1230551556,03/Oct/2023,07:28:21
Terrenos,,R$ 70.000,,Paracuru,CE,805m²,Ed G,20/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-terreno-em-paracuru-8-min-do-centro-da-cidade-1235830005,03/Oct/2023,07:28:21
Terrenos,,R$ 29.500,,Paracuru,CE,150m²,Nivea,15/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-lote-no-paracuru-particular-1224007838,03/Oct/2023,07:28:21
Terrenos,,R$ 253,,Paracuru,CE,,Allesson Alves,16/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/mm-residencial-paraiso-condominio-fechado-paracuru-ceara-1234485491,03/Oct/2023,07:28:21
Terrenos,,R$ 50.980,Centro,Paracuru,CE,150m²,Eliezio Teixeira Imóveis,20/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-proximo-praia-de-paracuru-1230394963,03/Oct/2023,07:28:21
Terrenos,,R$ 50.080,,Paracuru,CE,150m²,Eliezio Teixeira Imóveis,28/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-em-paracuru-ja-pronto-para-construir-1222079381,03/Oct/2023,07:28:21
Terrenos,,R$ 50.260,,Paracuru,CE,150m²,Eliezio Teixeira Imóveis,20/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-parque-dos-coqueiros-em-paracuru-1197811177,03/Oct/2023,07:28:21
Terrenos,,R$ 40.000,,Paracuru,CE,200m²,Claudiano Ramos,21/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/venda-de-terreno-1236336625,03/Oct/2023,07:28:21
Terrenos,,R$ 62.000,,Paracuru,CE,140m²,Jefferson,11/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-paracuru-ce-parque-dos-coqueiros-1232314108,03/Oct/2023,07:28:21
Terrenos,,R$ 50.000,,Paracuru,CE,450m²,Rodrigo,13/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-em-paracuru-450-m2-1233246301,03/Oct/2023,07:28:21
Terrenos,,R$ 750.000,,Paracuru,CE,760m²,Kekel,11/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-de-760m2-a-100-metros-da-praia-e-praca-de-paracuru-1183691707,03/Oct/2023,07:28:21
Terrenos,,R$ 90.000,,Paracuru,CE,1200m²,Kekel,13/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-dois-lotes-no-loteamento-barra-mar-taiba-proximo-a-praia-1233391100,03/Oct/2023,07:28:21
Terrenos,,R$ 35.000,,Paracuru,CE,150m²,João Eudes,14/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-ou-troco-lote-em-carro-paracuru-praia-1233688139,03/Oct/2023,07:28:21
Terrenos,,R$ 28.000,,Paracuru,CE,1080m²,SSilva,26/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/paracuru-3-lotes-1237637438,03/Oct/2023,07:28:21
Terrenos,,R$ 1.500.000,,Paracuru,CE,60000m²,Kekel,05/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-6-hectares-na-entrada-do-paracuru-proximo-ao-posto-mil-1230567608,03/Oct/2023,07:28:21
Terrenos,,R$ 40.000,,Paracuru,CE,,everardolopexs,21/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-terreno-em-paracuru-ce-20x35-todo-documentado-1236046366,03/Oct/2023,07:28:21
Terrenos,,R$ 7.000,,Paracuru,CE,,Wanessa,21/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vende-se-terreno-no-paracuru-1236190279,03/Oct/2023,07:28:21
Terrenos,,R$ 66.000,,Paracuru,CE,230m²,mouramatheus528,26/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-em-paracuru-1237786654,03/Oct/2023,07:28:21
Terrenos,,R$ 30.000,,Paracuru,CE,262m²,Garcia,07/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-no-paracuru-1231091513,03/Oct/2023,07:28:21
Terrenos,,R$ 50.121,,Paracuru,CE,150m²,Eliezio Teixeira Imóveis,20/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-parque-dos-coqueiros-em-paracuru-1196041315,03/Oct/2023,07:28:21
Terrenos,,R$ 30.000,,Paracuru,CE,300m²,saldanhafp,24/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-2-lotes-na-praia-de-paracuru-medindo-6x25-cada-totalizando-12x25-1237086030,03/Oct/2023,07:28:21
Terrenos,,R$ 36.300,Centro,Paracuru,CE,,José G. S. Pereira,26/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/adquira-hoje-o-seu-terreno-a-venda-no-paracuru-tamanhos-de-150m-a-225m-1237607156,03/Oct/2023,07:28:21
Terrenos,,R$ 34.000,,Paracuru,CE,600m²,Francisco,29/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-sao-goncalo-do-amarante-siupe-1238874148,03/Oct/2023,07:28:22
Terrenos,,R$ 1.150.000,,Paracuru,CE,5000m²,Kekel,18/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-proximo-da-praia-do-quebra-mar-em-paracuru-764460525,03/Oct/2023,07:28:22
Terrenos,,R$ 190.000,,Paracuru,CE,1700m²,Dannyel Coelho,12/09/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-em-paracuru-oportunidade-1232952043,03/Oct/2023,07:28:22
