tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.000.000,,Barbalha,CE,1970m²,CARLOS GUIMARÃES CONSULTOR IMOBILIÁRIO,28/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terreno-com-1970-metros-quadrados-41-x-47-1139472627,28/Feb/2023,21:09:39
Terrenos,,R$ 260.000,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,28/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/parcelas-a-partir-de-r-2-000-loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-parais-1152936614,28/Feb/2023,21:09:39
Terrenos,,R$ 260.000,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,28/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/parcelas-a-partir-de-r-2-000-loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-parais-1152935856,28/Feb/2023,21:09:39
Terrenos,,R$ 260.000,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,28/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/parcelas-a-partir-de-r-2-000-loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-parais-1152934773,28/Feb/2023,21:09:39
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,28/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/parcelas-a-partir-de-r-288-00-lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lago-1152934718,28/Feb/2023,21:09:39
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,28/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/parcelas-a-partir-de-r-288-00-lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lago-1152934635,28/Feb/2023,21:09:39
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-10659841992388475-1113764247,28/Feb/2023,21:09:45
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-7492566-1113753152,28/Feb/2023,21:09:45
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-760-1113685159,28/Feb/2023,21:09:45
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-588-1113949640,28/Feb/2023,21:09:45
Terrenos,,R$ 32.000,,Várzea Alegre,CE,126m²,Raimundo Nonato,31/01/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terreno-em-varzea-alegre-1141081519,28/Feb/2023,21:09:45
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-14-1113763696,28/Feb/2023,21:09:45
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-9-1113681796,28/Feb/2023,21:09:45
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-241290065756-1113759517,28/Feb/2023,21:09:45
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-37640486575379506-1113770160,28/Feb/2023,21:09:45
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-30734-1113679402,28/Feb/2023,21:09:45
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-7-1113762030,28/Feb/2023,21:09:45
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-6576248-1113956095,28/Feb/2023,21:09:45
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-16222560067962-1113684655,28/Feb/2023,21:09:45
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-14615384538926313-1113753488,28/Feb/2023,21:09:45
Terrenos,,R$ 29.000,,Jijoca de Jericoacoara,CE,200m²,Lotevendas,19/03/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-paraiso-jeri-lote-200m-jijoca-de-jericoacoara-ce-1009033770,28/Feb/2023,21:09:45
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,28/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/parcelas-a-partir-de-r-288-00-lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lago-1152935853,28/Feb/2023,21:09:45
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-385261-1113685186,28/Feb/2023,21:09:45
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,14/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-15606188382572-1121749668,28/Feb/2023,21:09:45
Terrenos,,R$ 119.000,,Icapuí,CE,450m²,francisco,04/01/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/vende-se-terreno-15-por-30-em-icapui-ce-leia-a-descricao-abaixo-1128887789,28/Feb/2023,21:09:45
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,14/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-1121713025,28/Feb/2023,21:09:45
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-08308700535951-1113679575,28/Feb/2023,21:09:45
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-1113683174,28/Feb/2023,21:09:45
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-91-1113753434,28/Feb/2023,21:09:45
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,14/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-3828317-1121557436,28/Feb/2023,21:09:46
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,30/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-1115693789,28/Feb/2023,21:09:46
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,14/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-51366-1121517872,28/Feb/2023,21:09:46
Terrenos,,R$ 45.000,Ponta da Serra,Crato,CE,40m²,Lourdinha Imoveis,14/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lote-terreno-para-venda-tem-40-45-metros-quadrados-em-ponta-da-serra-crato-ceara-1121453203,28/Feb/2023,21:09:46
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-9327583-1113753369,28/Feb/2023,21:09:46
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-7207-1113767640,28/Feb/2023,21:09:46
Terrenos,,R$ 500.000,Leandro Bezerra de Meneses,Juazeiro do Norte,CE,50m²,Lourdinha Imoveis,13/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lote-terreno-para-venda-possui-50-35-metros-quadrados-com-1-quarto-1121149839,28/Feb/2023,21:09:46
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,14/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-097-1121714440,28/Feb/2023,21:09:46
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-175185500574-1113684696,28/Feb/2023,21:09:46
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,13/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-47416726657956-1120993988,28/Feb/2023,21:09:46
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,28/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/parcelas-a-partir-de-r-288-00-lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lago-1152948954,28/Feb/2023,21:09:46
Terrenos,,R$ 30.450,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/lotes-em-jeri-com-entrada-facilitada-ha-2-minutos-da-lagoa-do-paraiso-n-0-491-1113679743,28/Feb/2023,21:09:46
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,13/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-29106271359885-1120996889,28/Feb/2023,21:09:46
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,14/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-275256-1121748697,28/Feb/2023,21:09:46
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,13/12/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-94473-1120994680,28/Feb/2023,21:09:46
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-5700944-1113683734,28/Feb/2023,21:09:46
Terrenos,,R$ 2.009,Centro,Jijoca de Jericoacoara,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/loteamento-de-alto-padrao-em-jeri-ao-lado-da-lagoa-do-paraiso-n-0-59748-1113683211,28/Feb/2023,21:09:46
Terrenos,,R$ 1.000,,Russas,CE,,Francisco Assis da Silva,24/11/2022,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terrenos-em-russas-parcelas-de-160-reais-mensais-entrada-facilitada-n-0-85-1113683172,28/Feb/2023,21:09:46
Terrenos,,R$ 300.000,,Miraíma,CE,,Kleuder Teclas,26/02/2023,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/terrenos/terreno-1151753939,28/Feb/2023,21:09:46
