tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 200.000,Parque Santa Maria,Fortaleza,CE,350m²,ROSANGELA XAVIER MOURA - ME,22/07/2022,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-2-lotes-em-messejana-prox-a-br-116-medindo-18m-x-22-50m-1061329361,21/Mar/2023,06:54:11
Venda - casa em condominio fechado,2,R$ 100.000,Parque Santa Maria,Fortaleza,CE,77m²,Raquel Reis da Silvas,06/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/repasse-de-casa-em-condominio-fechado-messejana-1155128141,21/Mar/2023,06:54:11
Terrenos,,R$ 15.000,Aracapé,Fortaleza,CE,360m²,Maryllia F.,18/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-12x30-iguape-1161117434,21/Mar/2023,06:54:11
Terrenos,,R$ 1.900.000,Parque Santa Maria,Fortaleza,CE,5496m²,EQUATORIAL EMPREENDIMENTOS IMOBILIARIOS LTDA - ME,09/01/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-a-venda-5496-m-por-r-1-900-000-00-parque-santa-maria-fortaleza-ce-1048869043,21/Mar/2023,06:54:11
Venda - casa em rua pública,2,R$ 195.000,Parque Santa Maria,Fortaleza,CE,,Raffael Almeida,25/01/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-a-venda-1138471322,21/Mar/2023,06:54:11
Terrenos,,R$ 169.990,Parque Santa Maria,Fortaleza,CE,250m²,Davson Aguiar,15/02/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/lote-no-clube-ville-10x25m-particular-1147292338,21/Mar/2023,06:54:11
Terrenos,,R$ 870.000,Parque Santa Maria,Fortaleza,CE,1702m²,FORTALEZA SUL IMOVEIS LTDA - EPP,19/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-a-venda-1701-m-por-r-870-000-00-parque-santa-maria-fortaleza-ce-989444429,21/Mar/2023,06:54:11
Outros,,R$ 8.000,Parque Santa Maria,Fortaleza,CE,,Moura,20/01/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-piscina-1135966868,21/Mar/2023,06:54:11
Terrenos,,R$ 13.000,Parque Santa Maria,Fortaleza,CE,810m²,silvio,13/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-1158521544,21/Mar/2023,06:54:12
Terrenos,,R$ 1.100.000,Parque Santa Maria,Fortaleza,CE,1702m²,MADRE DE DEUS,09/02/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/excelente-terreno-disponivel-na-messejana-1145258543,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,3,R$ 105.000,Parque Santa Maria,Fortaleza,CE,51m²,Nobre & Farias Corretora de Imóveis,11/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-repasse-1157906192,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,3,R$ 105.000,Parque Santa Maria,Fortaleza,CE,51m²,Nobre & Farias Corretora de Imóveis,11/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-de-repasse-com-3-quartos-em-parque-santa-maria-fortaleza-ceara-1157803359,21/Mar/2023,06:54:12
Venda - casa em rua pública,3,R$ 105.000,Parque Santa Maria,Fortaleza,CE,51m²,Nobre & Farias Corretora de Imóveis,12/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-de-repassecom-3-quartos-em-parque-santa-maria-fortaleza-ceara-1158318482,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,3,R$ 105.000,Parque Santa Maria,Fortaleza,CE,51m²,Nobre & Farias Corretora de Imóveis,11/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-de-repasse-com-3-quartos-em-parque-santa-maria-fortaleza-ceara-1158000430,21/Mar/2023,06:54:12
Terrenos,,R$ 110.000,Aracapé,Fortaleza,CE,100m²,Raquel,09/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/vendo-terreno-no-alto-alegre-2-1156982656,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,2,R$ 210.000,Parque Santa Maria,Fortaleza,CE,70m²,DR CLASS IMÓVEIS,05/02/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-com-2-dormitorios-a-venda-70-m-por-r-210-000-messejana-fortaleza-ce-1038219428,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,2,R$ 210.000,Parque Santa Maria,Fortaleza,CE,70m²,SOL NASCENTE CONSULTORIA E IMOBILIARIA LTDA - ME,21/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/ref-11697-casa-duplex-em-condominio-fechado-997822814,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,3,R$ 105.000,Parque Santa Maria,Fortaleza,CE,51m²,Nobre & Farias Corretora de Imóveis,12/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-repasse-1158021962,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,2,R$ 90.000,Parque Santa Maria,Fortaleza,CE,71m²,Raquel Reis da Silvas,20/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/repasse-em-condominio-fechado-duplex-1161585869,21/Mar/2023,06:54:12
Venda - casa em rua pública,2,R$ 210.000,Parque Santa Maria,Fortaleza,CE,70m²,Thiago Cruz,16/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-duplex-para-venda-em-fortaleza-parque-santa-maria-2-dormitorios-2-suites-1-banhei-1141312445,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,2,R$ 89.900,Parque Santa Maria,Fortaleza,CE,77m²,Raquel Reis da Silvas,10/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/duplex-de-repasse-negociavel-1157167513,21/Mar/2023,06:54:12
Venda - apartamento padrão,2,R$ 107.500,Parque Santa Maria,Fortaleza,CE,50m²,danielnogueiraoliveira,08/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/oportunidade-apto-messejana-com-engenharia-1135829567,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,3,R$ 210.000,Parque Santa Maria,Fortaleza,CE,70m²,Seta Empreendimentos Imobiliários Ltda ME,16/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/ca36-casa-de-condominio-com-70-m-messejana-1060352866,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,3,R$ 105.000,Parque Santa Maria,Fortaleza,CE,51m²,Nobre & Farias Corretora de Imóveis,11/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-de-repasse-com-3-quartos-em-parque-santa-maria-fortaleza-ceara-1157812141,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,3,R$ 105.000,Parque Santa Maria,Fortaleza,CE,51m²,Nobre & Farias Corretora de Imóveis,12/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-repasse-1158026890,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,3,R$ 105.000,Parque Santa Maria,Fortaleza,CE,51m²,Nobre & Farias Corretora de Imóveis,12/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casa-repasse-1158026184,21/Mar/2023,06:54:12
Terrenos,,R$ 22.000,Parque Presidente Vargas,Fortaleza,CE,97m²,Luana Abreu,06/02/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/terreno-no-presidente-vargas-alto-alegre-2-1143511691,21/Mar/2023,06:54:12
Venda - casa em condominio fechado,2,R$ 90.000,Parque Santa Maria,Fortaleza,CE,77m²,Raquel Reis da Silvas,08/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/duplex-abaixo-do-valor-de-mercado-fortaleza-repasse-1156334637,21/Mar/2023,06:54:12
