tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 38.000,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,18/12/2022,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-villa-cascavel-pronto-para-construir-a-sua-casa-saia-do-aluguel-n-jamais-desi-1123083783,21/Mar/2023,07:02:18
Terrenos,,R$ 220.000,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,18/12/2022,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/breve-lancamento-cidade-alphaville-venha-adquirir-o-seu-lote-faca-o-seu-cadastro--mateu-1123226867,21/Mar/2023,07:02:18
Terrenos,,R$ 50.000,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,13/12/2022,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/lotes-na-praia-do-presidio-ao-lado-do-resort-riviera-tamanohos-6x30-e-7-5x30-pe-na-areia-n-1120892168,21/Mar/2023,07:02:19
Terrenos,,R$ 38.000,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,18/12/2022,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-villa-cascavel-pronto-para-construir-a-sua-casa-saia-do-aluguel-n-a-vida-e-ge-1123084908,21/Mar/2023,07:02:19
Terrenos,,R$ 220.000,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,12/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-cidade-alphaville-venha-adquirir-o-seu-lote-com-excelentes-condicoes-ligue-ago-1158276128,21/Mar/2023,07:02:19
Terrenos,,R$ 50.000,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,30/11/2022,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/lotes-na-praia-do-presidio-ao-lado-do-resort-riviera-tamanohos-6x30-e-7-5x30-pe-na-areia-n-1115881776,21/Mar/2023,07:02:19
Terrenos,,R$ 42.800,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,20/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-em-condominio-fechado-no-cascavel-ce-a-05-minnutos-da-praia-da-barra-nova-n-1161688555,21/Mar/2023,07:02:19
Terrenos,,R$ 50.000,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,18/12/2022,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/lotes-na-praia-do-presidio-ao-lado-do-resort-riviera-tamanohos-6x30-e-7-5x30-pe-na-areia-n-1123260541,21/Mar/2023,07:02:19
Terrenos,,R$ 42.800,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,18/12/2022,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-em-condominio-fechado-no-cascavel-ce-a-05-minnutos-da-praia-da-barra-nova-n-1123084934,21/Mar/2023,07:02:19
Terrenos,,R$ 3.562,Cidade dos Funcionários,Fortaleza,CE,,ALEXSANDRO ROCHA,14/03/2023,https://ce.olx.com.br/fortaleza-e-regiao/terrenos/loteamento-porto-aquiraz-a-900-metros-da-praia-da-prainha-localizacao-muito-top-ultimas-un-1158855612,21/Mar/2023,07:02:19
