tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 220.000,Jardim Califórnia,Formosa,DF,257m²,BUENO IMOVEIS LTDA,02/10/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terreno-asas-douradas-com-257-25m-r-220-000-00-1239553671,03/Oct/2023,07:55:40
Terrenos,,R$ 140.000,Vila Aurora,Formosa,DF,250m²,Guilherme Araujo,01/10/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/lote-1233393783,03/Oct/2023,07:55:40
Terrenos,,R$ 1.200.000,Setor Pampulha,Formosa,DF,450m²,joaohilariovieira,28/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/vendo-lote-no-condominio-santa-felicidade-em-formosa-go-1238310823,03/Oct/2023,07:55:40
Terrenos,,R$ 77.000,Centro,Formosa,DF,330m²,andersonlopesbr,27/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/lote-10x33-vazado-1237927463,03/Oct/2023,07:55:41
Terrenos,,R$ 150.000,Jardim Triângulo,Formosa,DF,300m²,REGIS,01/10/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terrenos-area-de-esquina-jardim-triangulo-1234572450,03/Oct/2023,07:55:41
Terrenos,,R$ 230.000,Parque Laguna II,Formosa,DF,600m²,imobiliariajorge,25/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/lote-1134974529,03/Oct/2023,07:55:41
Terrenos,,R$ 830.000,Setor Bosque,Formosa,DF,431m²,BUENO IMOVEIS LTDA,02/10/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terreno-diamond-ville-com-430-64m-r-830-000-00-1239553628,03/Oct/2023,07:55:41
Terrenos,,R$ 85.000,Bezerra,Formosa,DF,310m²,Rony,24/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terreno-com-310-m-1237011480,03/Oct/2023,07:55:41
Terrenos,,R$ 98.000,Parque da Colina I,Formosa,DF,260m²,paulo lopes,17/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/lote-comercial-1234735886,03/Oct/2023,07:55:41
Terrenos,,R$ 1.200.000,Setor Bosque,Formosa,DF,702m²,BUENO IMOVEIS LTDA,02/10/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terreno-diamond-ville-com-701-68m-r-1-200-000-00-1239553609,03/Oct/2023,07:55:41
Terrenos,,R$ 46.000,Parque São Francisco,Formosa,DF,420m²,imobiliariajorge,20/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/lote-1235720204,03/Oct/2023,07:55:41
Terrenos,,R$ 53.000,Parque Vila Verde,Formosa,DF,300m²,imobiliariajorge,25/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/lote-1162992300,03/Oct/2023,07:55:41
Terrenos,,R$ 240.000,Parque da Colina I,Formosa,DF,660m²,Imobiliária Eraf,28/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terreno-a-venda-no-bairro-parque-da-colina-i-formosa-go-1238543048,03/Oct/2023,07:55:41
Terrenos,,R$ 600.000,Formosinha,Formosa,DF,487m²,Imobiliária Eraf,27/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terreno-a-venda-no-bairro-formosinha-formosa-go-1237952751,03/Oct/2023,07:55:41
Outros,,R$ 13.500,Centro,Formosa,DF,3m²,Joao Pedro Ornelas,30/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/jazigo-formosa-goias-1239082901,03/Oct/2023,07:55:41
Terrenos,,R$ 300.000,Setor de Chácaras Sul,Formosa,DF,1035m²,BUENO IMOVEIS LTDA,02/10/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terreno-com-1-035m-localizado-no-setor-sul-r-300-000-00-1239553614,03/Oct/2023,07:55:41
Terrenos,,R$ 70.000,Setor Bela Vista,Formosa,DF,240m²,Natália,20/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/vende-se-2-dois-lotes-em-formosa-go-1235831290,03/Oct/2023,07:55:41
Terrenos,,R$ 230.000,Jardim Califórnia,Formosa,DF,257m²,BUENO IMOVEIS LTDA,02/10/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/terreno-asas-douradas-com-257-25m-r-230-000-00-1239553613,03/Oct/2023,07:55:41
Terrenos,,R$ 2.800,Centro,Formosa,DF,88m²,Mara Rodrigues Corretora de Imoveis Eireli - ME,15/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/formosa-go-loteamento-condominio-centro-1233906325,03/Oct/2023,07:55:41
Terrenos,,R$ 150.000,Centro,Formosa,DF,290m²,RG Corretor de Imóveis,18/09/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/lote-9-30x30m-praca-pau-ferro-centro-formosa-go-1235045046,03/Oct/2023,07:55:42
