tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 60.000,Candangolândia,Brasília,DF,22m²,andreia avila prado,14/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/lote-1158810930,21/Mar/2023,08:13:37
Venda - casa em rua pública,3,null,Candangolândia,Brasília,DF,50m²,Vinícius Avelar,16/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-na-candangolandia-1160025513,21/Mar/2023,08:13:37
Venda - casa em rua pública,2,R$ 50.000,Candangolândia,Brasília,DF,180m²,Mayrla,17/02/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/credito-imobiliario-1148663463,21/Mar/2023,08:13:38
Venda - casa em rua pública,2,R$ 390.000,Candangolândia,Brasília,DF,,martafrancisca845,26/02/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-casa-na-candangolandia-1151940588,21/Mar/2023,08:13:38
Terrenos,,R$ 110.000,Candangolândia,Brasília,DF,300m²,Eduardo,23/01/2023,https://df.olx.com.br/distrito-federal-e-regiao/terrenos/jardim-botanico-lotes-de-300mt-1137311936,21/Mar/2023,08:13:38
Venda - casa em rua pública,4,R$ 550.000,Candangolândia,Brasília,DF,127m²,Rogério,13/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-na-laje-desocupada-reformada-com-armarios-na-cozinha-4-quartos-sendo-1-suite-aceita-f-1131449148,21/Mar/2023,08:13:38
Venda - apartamento padrão,2,R$ 220.000,Candangolândia,Brasília,DF,60m²,Edileide T. Silva,15/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-60-metros-quadrados-com-2-quartos-em-candangolandia-brasilia-1159353468,21/Mar/2023,08:13:38
Venda - casa em rua pública,3,R$ 280.000,Candangolândia,Brasília,DF,,francisco alencar,18/12/2022,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-recanto-das-emas-avista-e-financiamento-1123171290,21/Mar/2023,08:13:38
Venda - casa em rua pública,3,R$ 415.000,Candangolândia,Brasília,DF,120m²,Urbanic Imóveis,09/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qd-02-03-quartos-candangolandia-df-1156717016,21/Mar/2023,08:13:38
Venda - casa em rua pública,3,R$ 550.000,Candangolândia,Brasília,DF,170m²,Graça Campelo,18/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-3-quartos-qr-2-candangolandia-1155981419,21/Mar/2023,08:13:38
Venda - casa em rua pública,4,R$ 800.000,Candangolândia,Brasília,DF,160m²,francisco alencar,18/12/2022,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-riacho-fundo-2-1097515756,21/Mar/2023,08:13:38
Venda - casa em rua pública,3,R$ 395.000,Candangolândia,Brasília,DF,120m²,reinildo.s.f,01/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-na-candangolandia-1152959506,21/Mar/2023,08:13:38
Venda - casa em rua pública,4,R$ 409.000,Candangolândia,Brasília,DF,135m²,SÓ ÁGIO: IMÓVEIS DF,15/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-de-04-quartos-na-quadra-qr-5-da-candangolandia-1155731508,21/Mar/2023,08:13:38
Venda - apartamento padrão,2,R$ 265.000,Candangolândia,Brasília,DF,49m²,DNG IMOBILIARIA LTDA - ME,16/03/2023,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-quartos-1-andar-candangolandia-1157854381,21/Mar/2023,08:13:38
