tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 400.000,Alvorada,Vila Velha,ES,680m²,lau4100,05/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-em-alvorada-vila-velha-espirito-santo-1155109105,21/Mar/2023,08:27:42
Venda - apartamento padrão,2,R$ 165.000,Alvorada,Vila Velha,ES,54m²,Anderson Martins Imóveis,08/09/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-em-alvorada-vila-velha-es-870838811,21/Mar/2023,08:27:42
Venda - casa em rua pública,3,R$ 190.000,Alvorada,Vila Velha,ES,75m²,Marcia Fernandes,11/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-venda-em-alvorada-vila-velha-espirito-santo-1157754372,21/Mar/2023,08:27:42
Venda - casa em rua pública,2,R$ 170.000,Alvorada,Vila Velha,ES,90m²,Marcia Fernandes,23/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-alvorada-1150824504,21/Mar/2023,08:27:42
Venda - casa em rua pública,3,R$ 20.000,Alvorada,Vila Velha,ES,89m²,Marcia Fernandes,18/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-alvorada-1160966707,21/Mar/2023,08:27:42
Venda - casa em rua pública,3,R$ 26.000,Alvorada,Vila Velha,ES,85m²,Marcia Fernandes,07/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-alvorada-1155958443,21/Mar/2023,08:27:42
Venda - casa em rua pública,3,R$ 19.000,Alvorada,Vila Velha,ES,94m²,Marcia Fernandes,16/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-alvorada-1159845311,21/Mar/2023,08:27:42
Venda - apartamento padrão,2,R$ 165.000,Alvorada,Vila Velha,ES,54m²,Anderson Martins Imóveis,27/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-em-alvorada-vila-velha-es-1029756135,21/Mar/2023,08:27:42
Terrenos,,R$ 109.000,Alvorada,Vila Velha,ES,230m²,Andrea,14/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-ponta-fruta-vista-eterna-para-o-mar-1147212094,21/Mar/2023,08:27:42
Terrenos,,R$ 350.000,Alvorada,Vila Velha,ES,300m²,Elisangela Souza,16/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/vendo-lote-carlos-lindenberg-300m2-1020470178,21/Mar/2023,08:27:42
Terrenos,,R$ 2.499.000,Alvorada,Vila Velha,ES,2100m²,Raphael Brandão Imóveis,11/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/oportunidade-para-compra-permuta-ou-incorporacao-na-av-carlos-lindemberg-1073607429,21/Mar/2023,08:27:42
Terrenos,,R$ 270.000,Alvorada,Vila Velha,ES,5500m²,thomazi,03/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-santa-teresa-1154299539,21/Mar/2023,08:27:42
Terrenos,,R$ 109.000,Alvorada,Vila Velha,ES,230m²,Andrea,16/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-ponta-da-fruta-vista-eterna-pro-mar-1160343157,21/Mar/2023,08:27:42
Venda - casa em rua pública,3,R$ 380.000,Alvorada,Vila Velha,ES,150m²,França,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/oportunidade-em-vila-velha-1159645546,21/Mar/2023,08:27:42
Terrenos,,R$ 72.000,Alvorada,Vila Velha,ES,300m²,Darlan,26/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/loteamento-pracas-de-marataizes-1138853039,21/Mar/2023,08:27:43
Venda - casa em rua pública,2,R$ 20.000,Alvorada,Vila Velha,ES,180m²,Marcia Fernandes,09/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-venda-tem-120-metros-quadrados-com-2-quartos-em-alvorada-vila-velha-espirito-1157113680,21/Mar/2023,08:27:43
Terrenos,,null,Alvorada,Vila Velha,ES,,Thiago,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-lote-1158615018,21/Mar/2023,08:27:43
Venda - casa em rua pública,2,R$ 25.000,Alvorada,Vila Velha,ES,125m²,Marcia Fernandes,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-alvorada-1158821889,21/Mar/2023,08:27:43
Venda - apartamento padrão,2,R$ 173.000,Alvorada,Vila Velha,ES,55m²,GRAND HOME IMOBILIARIA,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-2-quartos-em-alvorada-1159803585,21/Mar/2023,08:27:43
Venda - casa em rua pública,3,R$ 10.000,Alvorada,Vila Velha,ES,,Fabinho,27/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-alvorada-em-vila-velha-1114791444,21/Mar/2023,08:27:43
Venda - casa em rua pública,4,R$ 220.000,Alvorada,Vila Velha,ES,100m²,Imobiliária Portalflex,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-com-4-dormitorios-a-venda-100-m-por-r-220-000-00-alvorada-vila-velha-es-1132333194,21/Mar/2023,08:27:43
