tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,2,R$ 5.000,Antônio Honório,Vitória,ES,78m²,Fabinho,26/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-maria-ortiz-985960809,21/Mar/2023,09:40:53
Venda - casa em rua pública,3,R$ 8.000,Antônio Honório,Vitória,ES,,Fabinho,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-goiabeiras-90mil-1159442538,21/Mar/2023,09:40:53
Venda - casa em rua pública,4,R$ 920.000,Antônio Honório,Vitória,ES,200m²,J Pimentel Imoveis,12/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-linear-reformada-venda-em-vitoria-com-quintal-churrasqueira-em-goiabeiras-1132423670,21/Mar/2023,09:40:53
Venda - casa em rua pública,2,R$ 7.000,Antônio Honório,Vitória,ES,172m²,Fabinho,06/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-goiabeiras-mobiliada-1036391518,21/Mar/2023,09:40:53
Venda - casa em rua pública,4,R$ 700.000,Antônio Honório,Vitória,ES,180m²,J Pimentel Imoveis,26/10/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-venda-em-antonio-honorio-goiabeiras-1101954430,21/Mar/2023,09:40:53
Venda - casa em rua pública,3,R$ 650.000,Antônio Honório,Vitória,ES,1m²,Marxcilene Nunes,16/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-vender-1147898745,21/Mar/2023,09:40:53
Venda - casa em rua pública,2,R$ 10.000,Antônio Honório,Vitória,ES,73m²,Fabinho,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-goiabeiras-960421686,21/Mar/2023,09:40:53
Venda - casa em rua pública,2,R$ 7.000,Antônio Honório,Vitória,ES,0m²,Fabinho,13/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-maria-ortiz-1013535152,21/Mar/2023,09:40:53
Venda - casa em rua pública,3,R$ 839.000,Antônio Honório,Vitória,ES,200m²,Adimóvel Consultoria e Corretagem de Imóveis S/S Ltda - ME,03/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-residencial-em-vitoria-es-antonio-honorio-996365148,21/Mar/2023,09:40:53
Venda - casa em rua pública,3,R$ 120.000,Antônio Honório,Vitória,ES,180m²,Lucas Imóveis,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/lor-9-casa-a-venda-em-antonio-honorio-vitoria-es-1159578533,21/Mar/2023,09:40:53
Venda - casa em rua pública,3,R$ 10.000,Antônio Honório,Vitória,ES,,Luiz,16/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-vitoria-1148262457,21/Mar/2023,09:40:53
Venda - casa em rua pública,5 ou mais,R$ 699.700,Antônio Honório,Vitória,ES,243m²,henriquedesigner,20/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-dois-andares-em-grande-goiabeiras-5-quartos-e-garagem-1149418179,21/Mar/2023,09:40:53
Venda - casa em rua pública,5 ou mais,R$ 700.000,Antônio Honório,Vitória,ES,243m²,LEGALIZA EXPRESS,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vitoria-casa-padrao-antonio-honorio-1116064768,21/Mar/2023,09:40:53
