tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,2,R$ 180.000,Ilha das Flores,Vila Velha,ES,105m²,Soneghett Imóveis,19/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-venda-possui-105-metros-quadrados-com-2-quartos-em-ilha-das-flores-vila-velha-1022158566,21/Mar/2023,08:39:06
Venda - casa em rua pública,2,R$ 400.000,Ilha das Flores,Vila Velha,ES,250m²,GRAND HOME IMOBILIARIA,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-2-quartos-em-ilha-das-flores-1159224063,21/Mar/2023,08:39:06
Venda - casa em rua pública,2,R$ 400.000,Ilha das Flores,Vila Velha,ES,250m²,GRAND HOME IMOBILIARIA,03/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-2-quartos-em-ilha-das-flores-1154361646,21/Mar/2023,08:39:06
Venda - casa em rua pública,2,R$ 400.000,Ilha das Flores,Vila Velha,ES,250m²,GRAND HOME IMOBILIARIA,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-2-quartos-em-ilha-das-flores-1161630423,21/Mar/2023,08:39:06
Venda - casa em rua pública,3,R$ 170.000,Ilha das Flores,Vila Velha,ES,122m²,Apê Vila Velha Imobiliária & Construções,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-com-3-quartos-a-venda-122-m-por-r-170-000-ilha-das-flores-vila-velha-es-1045879441,21/Mar/2023,08:39:06
Venda - casa em rua pública,2,R$ 250.000,Ilha das Flores,Vila Velha,ES,,ronaldinhocorretor,20/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-uma-casa-na-ilha-das-flores-vila-velha-es-1149291770,21/Mar/2023,08:39:06
Venda - casa em rua pública,5 ou mais,R$ 350.000,Ilha das Flores,Vila Velha,ES,200m²,Aliança Imóveis & Associados,18/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-com-5-dormitorios-a-venda-200-m-por-r-350-000-00-ilha-das-flores-vila-velha-es-1081138166,21/Mar/2023,08:39:06
Venda - casa em rua pública,3,R$ 250.000,Ilha das Flores,Vila Velha,ES,,ronaldinhocorretor,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-uma-casa-na-ilha-das-flores-vila-velha-es-1158922722,21/Mar/2023,08:39:06
Venda - casa em rua pública,3,R$ 700.000,Ilha das Flores,Vila Velha,ES,360m²,Sérgio Correa do Amaral,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/linda-casa-duplex-ilha-das-flores-1022268253,21/Mar/2023,08:39:06
Venda - casa em rua pública,2,R$ 145.000,Ilha das Flores,Vila Velha,ES,,Anderson Martins Imóveis,27/11/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-ilha-das-flores-vila-velha-es-1114711277,21/Mar/2023,08:39:06
Venda - casa em rua pública,5 ou mais,R$ 1.200.000,Ilha das Flores,Vila Velha,ES,,Fagundes,26/07/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vende-se-casa-em-vila-velha-1062977828,21/Mar/2023,08:39:06
Venda - casa em rua pública,3,R$ 140.000,Ilha das Flores,Vila Velha,ES,,Fagundes,28/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-ilha-das-flores-1152664636,21/Mar/2023,08:39:06
Venda - casa em vila,5 ou mais,R$ 100,Ilha das Flores,Vila Velha,ES,5m²,Messy1,22/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/troca-se-ou-vende-casa-bairro-santa-rita-100-mil-zap-1150073646,21/Mar/2023,08:39:06
Venda - apartamento padrão,2,R$ 529.990,Ilha das Flores,Vila Velha,ES,52m²,delanio.oliveira,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-1158470484,21/Mar/2023,08:39:06
Venda - casa em rua pública,2,R$ 90.000,Ilha das Flores,Vila Velha,ES,,LSQ,09/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-com-2-quartos-em-ilhas-das-flores-1157002076,21/Mar/2023,08:39:06
