tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 55.000,,Jaguaré,ES,30000m²,Antônio Carlos,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-com-3-alqueiros-1030257096,21/Mar/2023,10:32:22
Terrenos,,R$ 400.000,,Jaguaré,ES,48400m²,Antônio Carlos,09/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terra-em-jaguare-1022598691,21/Mar/2023,10:32:22
Venda - casa em rua pública,2,R$ 30.000,,Jaguaré,ES,48000m²,Lucas C.,08/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-terreno-em-producao-jaguare-1156332263,21/Mar/2023,10:32:22
Venda - casa em rua pública,3,R$ 310.000,,Jaguaré,ES,,Fagundes,28/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-duplex-em-jaguare-1152796664,21/Mar/2023,10:32:22
Venda - casa em rua pública,2,R$ 85.000,,Jaguaré,ES,0m²,Antônio Carlos,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/credito-rural-931782686,21/Mar/2023,10:32:22
Terrenos,,R$ 670.000,,Jaguaré,ES,150000m²,Antônio Carlos,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-jaguare-1054038302,21/Mar/2023,10:32:22
Terrenos,,R$ 50.000,,Jaguaré,ES,,Antônio Carlos,09/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-jaguare-1020031227,21/Mar/2023,10:32:22
Terrenos,,null,,Jaguaré,ES,250m²,Jeremias F.,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-1158748009,21/Mar/2023,10:32:23
Terrenos,,R$ 60.000,,Jaguaré,ES,100m²,Antônio Carlos,08/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-jaquare-798981160,21/Mar/2023,10:32:23
Venda - casa em rua pública,2,R$ 75.000,,Jaguaré,ES,100m²,Antônio Carlos,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/terreno-929833814,21/Mar/2023,10:32:23
Terrenos,,R$ 50.000,,Jaguaré,ES,730000m²,Antônio Carlos,30/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-jaquare-893638420,21/Mar/2023,10:32:23
Venda - casa em rua pública,3,R$ 332,,Jaguaré,ES,140m²,Edmár Rodrigues,23/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-duplex-em-jaguare-es-1137203573,21/Mar/2023,10:32:23
Outros,,R$ 1.600.000,,Jaguaré,ES,121126m²,Nini,20/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/vende-se-uma-propriedade-1149430750,21/Mar/2023,10:32:23
Terrenos,,R$ 480.000,,Jaguaré,ES,40000m²,Antônio Carlos,30/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/passo-terreno-com-cafe-1030576184,21/Mar/2023,10:32:23
Terrenos,,R$ 38.000,,Jaguaré,ES,474m²,josimar dos santos montanari montanari,24/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-1137767574,21/Mar/2023,10:32:23
Venda - casa em rua pública,3,R$ 80.000,,Jaguaré,ES,0m²,Antônio Carlos,07/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/terreno-792335551,21/Mar/2023,10:32:23
Terrenos,,R$ 50.000,,Jaguaré,ES,200m²,Robin,30/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-200-metros-quadrados-1140271924,21/Mar/2023,10:32:23
Terrenos,,R$ 75.000,Nossa Senhora de Fátima,Jaguaré,ES,110m²,Antônio Carlos,08/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-com-cafe-e-pimenta-904182634,21/Mar/2023,10:32:23
Venda - casa em vila,2,R$ 35.000,,Jaguaré,ES,,marcelorocha158,06/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-venda-1155292254,21/Mar/2023,10:32:23
Outros,,R$ 2.600.000,,Jaguaré,ES,,Antônio Carlos,12/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/passo-terreno-em-jaguare-com-cafe-1094946415,21/Mar/2023,10:32:23
Venda - casa em rua pública,0,null,,Jaguaré,ES,,Aleni,31/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/lote-no-centro-de-jaguare-es-1141068584,21/Mar/2023,10:32:23
Venda - casa em rua pública,3,R$ 150,,Jaguaré,ES,72m²,Helena,31/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-essa-casa-1140711368,21/Mar/2023,10:32:23
Venda - casa em rua pública,2,R$ 95.000,,Jaguaré,ES,,Antônio Carlos,30/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/terreno-932857536,21/Mar/2023,10:32:23
