tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 160.000,,Marechal Floriano,ES,200m²,Monteiro,17/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-em-marechal-floriano-es-com-200-m-1142484010,21/Mar/2023,09:31:01
Terrenos,,R$ 250.000,,Marechal Floriano,ES,1485000m²,ELITE IMOVEIS LTDA - ME,16/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-residencial-em-marechal-floriano-es-araguaia-1075821313,21/Mar/2023,09:31:01
Terrenos,,R$ 60.000,,Marechal Floriano,ES,200m²,elitinsilva,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/vendo-ou-troco-lote-agua-posso-atersiano-e-energia-dentro-de-marechal-floriano-es-1158762227,21/Mar/2023,09:31:01
Terrenos,,R$ 75.000,,Marechal Floriano,ES,300m²,ARBO IMÓVEIS,23/06/2022,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-a-venda-marechal-floriano-marechal-floriano-es-1048586596,21/Mar/2023,09:31:01
Terrenos,,R$ 241.200,,Marechal Floriano,ES,600m²,ROMARIO LYRIO DE OLIVEIRA,12/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/green-view-condominio-reserva-marechal-floriano-999196166,21/Mar/2023,09:31:01
Terrenos,,null,,Marechal Floriano,ES,500m²,Billy dos Santos Fialho,25/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-com-casa-em-perobas-interior-de-domingos-martins-1138273027,21/Mar/2023,09:31:01
Terrenos,,null,,Marechal Floriano,ES,23500m²,sidnei_espsanto,25/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/vendo-area-urbana-1138185909,21/Mar/2023,09:31:01
Terrenos,,R$ 159.000,,Marechal Floriano,ES,1000m²,Majoris Imóveis,17/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-terreno-a-venda-em-condominio-no-centro-de-marechal-floriano-1045026962,21/Mar/2023,09:31:01
Terrenos,,R$ 159.000,,Marechal Floriano,ES,1000m²,Majoris Imóveis,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-urbano-com-privacidade-e-linda-vista-em-condominio-marechal-floriano-1037557911,21/Mar/2023,09:31:01
Terrenos,,R$ 65.000,,Marechal Floriano,ES,1630m²,Filipe Tobias,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/vendo-chacara-marechal-floriano-1159610076,21/Mar/2023,09:31:01
Terrenos,,R$ 2.500.000,,Marechal Floriano,ES,,Ancelmo Dias,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/sitio-59-hectares-paraju-1116130779,21/Mar/2023,09:31:01
Terrenos,,R$ 315.000,,Marechal Floriano,ES,1000m²,Elisangela Souza,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/vende-se-lotes-em-pedra-azul-condominio-fechado-1020489082,21/Mar/2023,09:31:01
Terrenos,,R$ 790.000,,Marechal Floriano,ES,242000m²,Rocconimoveis,19/06/2022,https://es.olx.com.br/norte-do-espirito-santo/terrenos/venda-terreno-regiao-de-domingos-martins-1046943414,21/Mar/2023,09:31:02
Terrenos,,R$ 140.000,,Marechal Floriano,ES,1000m²,Paulo Sardenberg Imóveis Ltda,11/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-com-1000-m-a-venda-por-r-140-000-br-262-centro-marechal-floriano-es-1064700595,21/Mar/2023,09:31:02
