tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 470.000,Novo México,Vila Velha,ES,160m²,Anderson Martins Imobiliária.,26/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-novo-mexico-vila-velha-es-1138551519,21/Mar/2023,08:49:43
Terrenos,,R$ 2.000,Novo México,Vila Velha,ES,220m²,Marilza Martins Imóveis Ltda EPP,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-para-aluguel-santa-monica-vila-velha-es-989449965,21/Mar/2023,08:49:43
Terrenos,,R$ 259.000,Novo México,Vila Velha,ES,360m²,Jeferson Peixoto C7817f,09/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/vendo-lote-de-360m-vila-velha-escriturado-1053307835,21/Mar/2023,08:49:43
Venda - casa em rua pública,4,R$ 750.000,Novo México,Vila Velha,ES,300m²,FSL Imóveis,07/10/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-residencial-em-vila-velha-es-novo-mexico-1093681952,21/Mar/2023,08:49:44
Venda - casa em rua pública,2,R$ 200.000,Novo México,Vila Velha,ES,55m²,JM VENDAS,17/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-novo-mexico-1148718033,21/Mar/2023,08:49:44
Venda - casa em rua pública,3,R$ 200.000,Novo México,Vila Velha,ES,95m²,CARLOS ALBERTO TOSE,23/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-novo-mexico-1150555954,21/Mar/2023,08:49:44
Venda - casa em rua pública,3,R$ 15.000,Novo México,Vila Velha,ES,120m²,Fabinho,24/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-novo-mexico-com-churrasqueira-1087131603,21/Mar/2023,08:49:44
Venda - apartamento padrão,2,R$ 430.000,Novo México,Vila Velha,ES,65m²,Willian Rentes Imóveis,19/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/novinho-2-quartos-suite-em-novo-mexico-1081650685,21/Mar/2023,08:49:44
Venda - casa em rua pública,5 ou mais,R$ 650.000,Novo México,Vila Velha,ES,240m²,GRAND HOME IMOBILIARIA,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-6-quartos-em-novo-mexico-1161840595,21/Mar/2023,08:49:44
Venda - casa em rua pública,4,R$ 750.000,Novo México,Vila Velha,ES,300m²,Art Imóveis,17/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/otima-casa-4-quartos-rua-principal-novo-mexico-1148311986,21/Mar/2023,08:49:44
Venda - casa em rua pública,2,R$ 170.000,Novo México,Vila Velha,ES,86m²,Ms Corrêa Bens,10/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/acs-casa-para-venda-com-2-quartos-em-novo-mexico-vila-velha-es-1145556728,21/Mar/2023,08:49:44
Venda - apartamento padrão,2,R$ 550.988,Novo México,Vila Velha,ES,65m²,Anderson Martins Imóveis,24/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/2-quartos-com-marcenaria-decorada-em-todos-os-comodos-cod-21475-am-1137671305,21/Mar/2023,08:49:44
Venda - casa em rua pública,3,R$ 150.000,Novo México,Vila Velha,ES,180m²,Luiz Felipe Ramos,21/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-1136672841,21/Mar/2023,08:49:44
Venda - apartamento padrão,2,R$ 430.000,Novo México,Vila Velha,ES,65m²,Art Imóveis,20/01/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-65-m-por-r-430-000-00-novo-mexico-vila-velha-es-1135869573,21/Mar/2023,08:49:44
Venda - apartamento padrão,2,R$ 420.000,Novo México,Vila Velha,ES,78m²,Anderson Martins Imóveis,01/09/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-em-ilha-dos-bentos-vila-velha-es-1078548361,21/Mar/2023,08:49:44
Terrenos,,R$ 35.000.000,Novo México,Vila Velha,ES,28700m²,ADELSON S. BALBE,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-no-bairro-novo-mexico-910724249,21/Mar/2023,08:49:44
Terrenos,,R$ 790.000,Novo México,Vila Velha,ES,550m²,Aliança web imóveis - Venda.,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-a-venda-nova-itaparica-vila-velha-es-1053501701,21/Mar/2023,08:49:44
Venda - casa em rua pública,2,R$ 550.000,Novo México,Vila Velha,ES,85m²,Anderson Martins Imobiliária.,24/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/linda-casa-em-novo-mexico--vila-velha-1150946858,21/Mar/2023,08:49:44
Terrenos,,R$ 35.000.000,Novo México,Vila Velha,ES,30000m²,Deocleciano Rodrigues Freire,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/area-de-30-000-m-darly-santos-1019466191,21/Mar/2023,08:49:44
Terrenos,,R$ 110.000,Novo México,Vila Velha,ES,450m²,marcusmelo,23/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-de-450m2-1150595909,21/Mar/2023,08:49:44
Venda - apartamento padrão,2,R$ 369.900,Novo México,Vila Velha,ES,65m²,Art Imóveis 905,26/12/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/lindo-apartamento-em-um-condominio-novo-com-lazer-completo-em-novo-mexico-990725925,21/Mar/2023,08:49:44
Venda - apartamento padrão,2,R$ 550.000,Novo México,Vila Velha,ES,65m²,Anderson Martins Imóveis,16/12/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-em-ilha-dos-bentos-vila-velha-es-1062097026,21/Mar/2023,08:49:44
Venda - casa em rua pública,3,R$ 160.000,Novo México,Vila Velha,ES,120m²,Lyrio,03/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-barato-1142381695,21/Mar/2023,08:49:44
Venda - apartamento padrão,2,R$ 550.000,Novo México,Vila Velha,ES,65m²,Anderson Martins Imóveis,03/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-em-ilha-dos-bentos-vila-velha-es-1083181211,21/Mar/2023,08:49:44
Venda - casa em rua pública,1,R$ 80.000,Novo México,Vila Velha,ES,70m²,Ms Corrêa Bens,13/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/kam-casa-a-venda-em-novo-mexico-vila-velha-es-1146606396,21/Mar/2023,08:49:44
Terrenos,,R$ 11.500.000,Novo México,Vila Velha,ES,21000m²,Fábio Barbosa  Imóveis,09/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/area-21-000m-de-18-000-000-00-p-11-500-000-00-polo-ind-n-mexico-1144973846,21/Mar/2023,08:49:44
Venda - casa em rua pública,2,R$ 160.000,Novo México,Vila Velha,ES,88m²,Jair Dutra,26/05/2022,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-novo-mexico-1024043422,21/Mar/2023,08:49:44
Venda - casa em rua pública,4,R$ 750.000,Novo México,Vila Velha,ES,300m²,Art Imóveis 905,16/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-venda-tem-300-metros-quadrados-com-4-quartos-em-novo-mexico-vila-velha-es-1148262718,21/Mar/2023,08:49:44
Venda - casa em rua pública,5 ou mais,R$ 1.000.000,Novo México,Vila Velha,ES,487m²,Betha Espaço Praia da Costa,10/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/venda-casa-novo-mexico-vila-velha-1145375782,21/Mar/2023,08:49:44
Venda - casa em rua pública,2,R$ 550.000,Novo México,Vila Velha,ES,85m²,Anderson Martins Imóveis,23/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/linda-casa-em-novo-mexico--vila-velha-1150825033,21/Mar/2023,08:49:44
Venda - casa em rua pública,3,R$ 240.000,Novo México,Vila Velha,ES,106m²,Marcia Fernandes,17/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-novo-mexico-1148307298,21/Mar/2023,08:49:44
