tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 7.500.000,Praia do Canto,Vitória,ES,900m²,Imovi Consultoria Ltda - EPP,16/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-900m-na-praia-do-canto-localizacao-estrategica-1019454578,21/Mar/2023,10:21:35
Venda - apartamento cobertura,4,R$ 1.950.000,Praia do Canto,Vitória,ES,190m²,Sua Negocios Imobiliarios LTDA,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/cobertura-em-praia-do-canto--vitoria-1153029559,21/Mar/2023,10:21:35
Venda - apartamento padrão,4,R$ 3.000.000,Praia do Canto,Vitória,ES,240m²,Patrícia Lima Corretora,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-4-dormitorios-a-venda-240-m-por-r-3-000-000-00-praia-do-canto-vitor-1161458712,21/Mar/2023,10:21:35
Venda - apartamento padrão,4,R$ 1.980.000,Praia do Canto,Vitória,ES,160m²,Casa Nobre Negócios Imobiliários,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-4-dormitorios-a-venda-160-m-por-r-1-980-000-00-praia-do-canto-vitor-1057906139,21/Mar/2023,10:21:35
Terrenos,,R$ 18.000,Praia do Canto,Vitória,ES,370m²,Katielen Boeck,12/07/2022,https://es.olx.com.br/norte-do-espirito-santo/terrenos/excelente-ponto-comercial-em-vitoria-com-370m-em-otima-localizacao-na-praia-do-canto-1056896455,21/Mar/2023,10:21:35
Venda - casa em rua pública,5 ou mais,R$ 2.300.000,Praia do Canto,Vitória,ES,194m²,PELEGRINE IMÓVEIS & FILMAGENS AÉREAS LTDA,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/pelegrine-aluga-casa-duplex-194-m-6-quartos-5-suites-1-vaga-praia-do-canto-1110820419,21/Mar/2023,10:21:35
Venda - apartamento padrão,4,R$ 2.847.507,Praia do Canto,Vitória,ES,138m²,GRAND HOME IMOBILIARIA,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-4-quartos-em-praia-do-canto-1162063320,21/Mar/2023,10:21:35
Venda - apartamento padrão,4,R$ 2.387.258,Praia do Canto,Vitória,ES,138m²,MC Corretora de Imoveis,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-vitoria-4-dormitorios-para-venda-em-vitori-1141126079,21/Mar/2023,10:21:35
Venda - apartamento padrão,3,R$ 1.200.000,Praia do Canto,Vitória,ES,97m²,Lilian Lara Corretora,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/venda-apartamento-com-97-00-m-3-dormitorio-s-1-vaga-s-praia-do-canto-vitoria-1127672498,21/Mar/2023,10:21:35
Venda - apartamento padrão,2,R$ 1.081.000,Praia do Canto,Vitória,ES,69m²,Alves Consultoria e Negócios Imobiliários,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/wlprime-apartamento-todo-montado-decorado-2-quartos-suite-2-vagas-praia-do-canto-vi-1033358888,21/Mar/2023,10:21:35
Terrenos,,R$ 2.700.000,Praia do Canto,Vitória,ES,562m²,Sarlo Imóveis,16/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-562-m-venda-por-r-2-700-000-00-ou-aluguel-por-r-20-000-00-mes-praia-do-can-969032680,21/Mar/2023,10:21:35
Terrenos,,R$ 70.000,Praia do Canto,Vitória,ES,260m²,Sophia,10/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-teixeira-de-freitas-1157376641,21/Mar/2023,10:21:35
Terrenos,,R$ 20.000,Praia do Canto,Vitória,ES,562m²,Sarlo Imóveis,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-562-m-venda-por-r-2-700-000-00-ou-aluguel-por-r-20-000-00-mes-praia-do-can-969032642,21/Mar/2023,10:21:35
Terrenos,,R$ 7.500.000,Praia do Canto,Vitória,ES,1246m²,RE/MAX FOCCUS PRIME,16/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-terreno-para-venda-1246-m-praia-do-canto-vitoria-es-1134189173,21/Mar/2023,10:21:35
Terrenos,,R$ 11.700.000,Praia do Canto,Vitória,ES,2600m²,FSL Imóveis,31/08/2022,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-comercial-em-vitoria-es-santa-lucia-1078284160,21/Mar/2023,10:21:35
Venda - apartamento padrão,3,R$ 1.380.000,Praia do Canto,Vitória,ES,120m²,LOPES ESPIRITO SANTO,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-3-quartos-praia-do-canto-1083773040,21/Mar/2023,10:21:35
Venda - apartamento padrão,3,R$ 500.000,Praia do Canto,Vitória,ES,130m²,DILERMANDO BETHA,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/amplo-03-qtos-suite-01-vaga-praia-do-canto-993847960,21/Mar/2023,10:21:35
Venda - apartamento padrão,3,R$ 1.380.000,Praia do Canto,Vitória,ES,112m²,Dantas Administração e Assessoria Imobiliária Ltda.,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/venda-apartamento-3-quartos-praia-do-canto-vitoria-1159903230,21/Mar/2023,10:21:35
Venda - apartamento padrão,3,R$ 4.400.000,Praia do Canto,Vitória,ES,190m²,Sarlo Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apto-4-qts-revertido-p-3-a-venda-4-vagas-190-m-por-r-4-000-000-praia-do-canto-vit-1142140408,21/Mar/2023,10:21:35
Venda - apartamento padrão,4,R$ 3.600.000,Praia do Canto,Vitória,ES,235m²,MTerra Imóveis,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-235-m-por-r-3-600-000-00-praia-do-canto-vitoria-es-1139513113,21/Mar/2023,10:21:35
Terrenos,,R$ 85.000,Praia do Canto,Vitória,ES,216m²,Neves,01/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-porto-seguro-1141084004,21/Mar/2023,10:21:35
Venda - apartamento padrão,4,R$ 2.000.000,Praia do Canto,Vitória,ES,270m²,ALCURE CONSULTORIA IMOBILIÁRIA EIRELI-ME,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-de-quatro-quartos-na-praia-do-canro-1038198123,21/Mar/2023,10:21:35
Venda - apartamento padrão,4,R$ 890.000,Praia do Canto,Vitória,ES,240m²,Mila Imóveis,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-240-m-por-r-890-000-00-praia-do-canto-vitoria-es-1020265002,21/Mar/2023,10:21:35
Terrenos,,R$ 7.500.000,Praia do Canto,Vitória,ES,1246m²,IM Imóveis,07/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-a-venda-praia-do-canto-vitoria-es-1143814629,21/Mar/2023,10:21:35
Venda - apartamento padrão,3,R$ 1.500.000,Praia do Canto,Vitória,ES,140m²,PRIME IMÓVEIS,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-3-quartos-sendo-01-suite-na-praia-do-canto-vitoria-es-1047676738,21/Mar/2023,10:21:35
Venda - apartamento cobertura,5 ou mais,R$ 3.998.000,Praia do Canto,Vitória,ES,477m²,David Natalli Imóveis,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/cobertura-com-5-dormitorios-a-venda-477-m-por-r-3-998-000-00-praia-do-canto-vitoria-1132453974,21/Mar/2023,10:21:35
Venda - apartamento padrão,3,R$ 970.000,Praia do Canto,Vitória,ES,90m²,BETHA ESPAÇO VITÓRIA,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/venda-apartamento-3-quartos-praia-do-canto-vitoria-1161949701,21/Mar/2023,10:21:35
Venda - apartamento padrão,2,R$ 530.000,Praia do Canto,Vitória,ES,75m²,MTerra Imóveis,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-75-m-por-r-530-000-00-praia-do-canto-vitoria-es-1133654299,21/Mar/2023,10:21:35
Venda - apartamento padrão,4,R$ 1.890.000,Praia do Canto,Vitória,ES,150m²,ALCURE CONSULTORIA IMOBILIÁRIA EIRELI-ME,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-de-4-quartos-na-praia-do-canto-1043788132,21/Mar/2023,10:21:36
Terrenos,,R$ 2.200.000,Praia do Canto,Vitória,ES,196m²,Klever Nogueira Imóveis,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/casa-duplex-na-praia-do-canto-1108576661,21/Mar/2023,10:21:36
Terrenos,,R$ 300.000,Praia do Canto,Vitória,ES,70001m²,fabyannamiranda,05/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-santa-teresa-1142982734,21/Mar/2023,10:21:36
Terrenos,,R$ 125.000,Praia do Canto,Vitória,ES,360m²,Euzébio Costa Guignone,23/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-meiaipe-1137307744,21/Mar/2023,10:21:36
Venda - apartamento cobertura,3,R$ 2.890.000,Praia do Canto,Vitória,ES,230m²,Alvaro Sarlo Negócios Imobiliários,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/cobertura-com-3-suites-a-venda-230-m-praia-do-canto-vitoria-es-1094390666,21/Mar/2023,10:21:36
Venda - apartamento cobertura,4,R$ 1.950.000,Praia do Canto,Vitória,ES,235m²,Thaissa Teixeira Imóveis,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/cobertura-duplex-para-venda-tem-235-metros-quadrados-com-4-quartos-em-praia-do-canto-vit-1063131557,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 510.000,Praia do Canto,Vitória,ES,167m²,GRAND HOME IMOBILIARIA,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-3-quartos-em-praia-do-canto-1161706569,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 1.719.000,Praia do Canto,Vitória,ES,100m²,Marco Aurelio Nascimento,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-com-100-metros-quadrados-com-3-quartos-em-praia-do-canto-vitoria-1008396248,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 1.300.000,Praia do Canto,Vitória,ES,90m²,MTerra Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-90-m-por-r-1-300-000-00-praia-do-canto-vitoria-es-1036913227,21/Mar/2023,10:21:36
Venda - apartamento padrão,2,R$ 140.000,Praia do Canto,Vitória,ES,56m²,Lucas Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-possui-56-metros-quadrados-com-2-quartos-1161762688,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 2.150.000,Praia do Canto,Vitória,ES,130m²,Weslley Lara,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-possui-130-metros-quadrados-com-4-quartos-em-praia-do-canto-vitor-1063531790,21/Mar/2023,10:21:36
Venda - apartamento cobertura,4,R$ 3.150.000,Praia do Canto,Vitória,ES,238m²,Ricardo Brasilino Vasconcelos,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/cobertura-com-4-dormitorios-a-venda-238-m-por-r-3-150-000-praia-do-canto-vitoria-es-1160414412,21/Mar/2023,10:21:36
Venda - apartamento padrão,2,R$ 645.000,Praia do Canto,Vitória,ES,70m²,Irineu Fraga Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-tem-70-metros-quadrados-com-2-quartos-em-praia-do-canto-vitoria-1061781809,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 860.000,Praia do Canto,Vitória,ES,170m²,Mila Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-170-m-por-r-860-000-00-praia-do-canto-vitoria-es-995928257,21/Mar/2023,10:21:36
Venda - loft/studio,1,R$ 430.000,Praia do Canto,Vitória,ES,35m²,Samir Jean Moussallem,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/flat-para-venda-em-praia-do-canto-vitoria-es-1093151202,21/Mar/2023,10:21:36
Venda - apartamento padrão,5 ou mais,R$ 1.850.000,Praia do Canto,Vitória,ES,240m²,Sarlo Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-na-praia-do-canto-com-240m-5-quartos-sendo-3-suites-e-2-vagas-d-1051342426,21/Mar/2023,10:21:36
Venda - apartamento cobertura,2,R$ 2.078.144,Praia do Canto,Vitória,ES,100m²,GRAND HOME IMOBILIARIA,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/cobertura-2-quartos-em-praia-do-canto-1161717588,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 980.000,Praia do Canto,Vitória,ES,170m²,Imovi Consultoria Ltda - EPP,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-4-quartos-2-vagas-soltas-na-praia-do-canto-1161932408,21/Mar/2023,10:21:36
Venda - apartamento padrão,2,R$ 1.100.000,Praia do Canto,Vitória,ES,69m²,LOPES ESPIRITO SANTO,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vitoria-apartamento-padrao-praia-do-canto-1154502584,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 2.190.000,Praia do Canto,Vitória,ES,147m²,Casa Nobre Negócios Imobiliários,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-147-m-por-r-2-500-000-00-praia-do-canto-vitoria-es-1080696544,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 2.700.000,Praia do Canto,Vitória,ES,170m²,LIVIA SAGRILO PIMENTEL,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/04-quartos-02-suites-170-m-02-vagas-praia-do-canto-porteira-fechada-1146731672,21/Mar/2023,10:21:36
Venda - apartamento padrão,2,R$ 860.000,Praia do Canto,Vitória,ES,62m²,Michel Moreira,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-2-qtos-62m-praia-do-canto--vitoria-1161902837,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 1.280.000,Praia do Canto,Vitória,ES,110m²,FABRICIO BARBOSA BRAVIM,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-com-3-quartos-em-praia-do-canto-vitoria-es-1154431374,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 1.600.000,Praia do Canto,Vitória,ES,166m²,Litorânea Imóveis Ltda,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-de-04-quartos-a-venda-na-praia-do-canto-vitoria-es-1066650128,21/Mar/2023,10:21:36
Venda - apartamento padrão,2,R$ 900.000,Praia do Canto,Vitória,ES,80m²,Irineu Fraga Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-praia-do-canto-2-dormitorios-1-suite-2-banheiros-2-vagas-1073949928,21/Mar/2023,10:21:36
Venda - apartamento padrão,1,R$ 399.000,Praia do Canto,Vitória,ES,45m²,KASA IMOVEIS LTDA - ME,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/quartosala-montado-com-linda-vista-pro-mar-sol-manha-miolo-da-praia-do-canto-1057038156,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 4.200.000,Praia do Canto,Vitória,ES,190m²,Home&Office Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-190-m-por-r-4-200-000-00-praia-do-canto-vitoria-es-1048367845,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 2.550.000,Praia do Canto,Vitória,ES,200m²,027 Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/4-quartos-transformados-em-3-suites-luxuoso-na-praia-do-canto-1158746378,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 1.399.900,Praia do Canto,Vitória,ES,110m²,PRIME IMÓVEIS,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-praia-do-canto-03-quartos-suite-03-vagas-e-lazer-1086940357,21/Mar/2023,10:21:36
Venda - apartamento padrão,2,R$ 780.000,Praia do Canto,Vitória,ES,65m²,027 Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/2-quartos-1-suite-2-vagas-sol-da-manha-na-praia-do-canto-1161772074,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 1.300.000,Praia do Canto,Vitória,ES,100m²,Sarlo Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-3-dormitorios-a-venda-100-m-por-r-1-300-000-00-praia-do-canto-vitor-1153551555,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 835.000,Praia do Canto,Vitória,ES,150m²,RE/MAX PERFORMANCE,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apto-sensacional-5-quartos-transformado-em-4-q-1133275399,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 2.810.964,Praia do Canto,Vitória,ES,138m²,GRAND HOME IMOBILIARIA,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-4-quartos-em-praia-do-canto-1161749663,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 1.210.000,Praia do Canto,Vitória,ES,110m²,Casa Nobre Negócios Imobiliários,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-3-dormitorios-a-venda-110-m-por-r-1-210-000-00-praia-do-canto-vitor-1148012192,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 1.550.000,Praia do Canto,Vitória,ES,102m²,Enseada Imóveis Ltda Me,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/3-quartos-com-suite-e-2-vagas-na-praia-do-canto-1152553949,21/Mar/2023,10:21:36
Venda - apartamento padrão,2,R$ 790.000,Praia do Canto,Vitória,ES,73m²,LOPES ESPIRITO SANTO,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/02-quartos-suite-rua-aleixo-netto-1103186124,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 1.860.630,Praia do Canto,Vitória,ES,110m²,GRAND HOME IMOBILIARIA,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-3-quartos-em-praia-do-canto-1161718585,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 620.000,Praia do Canto,Vitória,ES,110m²,GRAND HOME IMOBILIARIA,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-3-quartos-em-praia-do-canto-1161716321,21/Mar/2023,10:21:36
Venda - apartamento padrão,3,R$ 720.000,Praia do Canto,Vitória,ES,90m²,David Natalli Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/3-quartos-todo-reformado-na-praia-do-canto-1124768105,21/Mar/2023,10:21:36
Venda - apartamento padrão,4,R$ 2.700.000,Praia do Canto,Vitória,ES,161m²,David Natalli Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/excelente-opcao-de-4-suites-na-praia-do-canto-1024007281,21/Mar/2023,10:21:36
Venda - apartamento padrão,2,R$ 1.050.000,Praia do Canto,Vitória,ES,70m²,MTerra Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-70-m-por-r-1-050-000-00-praia-do-canto-vitoria-es-1119394236,21/Mar/2023,10:21:36
