tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,2,R$ 257.976,Santa Paula II,Vila Velha,ES,60m²,Machado Queiroz imóveis,19/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/morar-em-um-lugar-tranquilo-vila-estilo-italiana-bosque-pracinhas-lazer-completo-911879185,21/Mar/2023,09:03:41
Terrenos,,R$ 660.000,Santa Paula I,Vila Velha,ES,,amanda,12/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-de-660-m2-a-venda-no-condominio-riviera-park-1158149915,21/Mar/2023,09:03:41
Venda - casa em rua pública,3,R$ 1.500.000,Santa Paula II,Vila Velha,ES,500m²,Carlos Rubens C. Marques,01/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-venda-em-vila-velha-santa-paula-ii-3-dormitorios-5-banheiros-5-vagas-1115458740,21/Mar/2023,09:03:41
Terrenos,,R$ 450.000,Santa Paula II,Vila Velha,ES,475m²,Raphael Brandão Imóveis,05/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-de-esquina-com-475m-e-frente-para-duas-ruas-em-santa-paula-1137595292,21/Mar/2023,09:03:42
Terrenos,,R$ 120.000,Santa Paula II,Vila Velha,ES,1080m²,Psm,23/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-guarapari-1150614612,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 250.000,Santa Paula II,Vila Velha,ES,49m²,Aliança web imóveis - Venda.,17/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-venda-2-quartos-1-vaga-santa-paula-ii-vila-velha-es-1160437217,21/Mar/2023,09:03:42
Venda - casa em rua pública,2,R$ 200.000,Santa Paula II,Vila Velha,ES,80m²,Marcelo Lodi | Imóveis e Avaliações,08/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-condominio-fechado-2-quartos-santa-paula-vila-velha-1156604249,21/Mar/2023,09:03:42
Venda - casa em rua pública,5 ou mais,R$ 1.350.000,Santa Paula II,Vila Velha,ES,318m²,A2 Assessoria Imobiliária - LTDA,04/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-duplex-para-venda-em-vila-velha-santa-paula-ii-5-dormitorios-3-suites-5-banheiros-1066278816,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 245.000,Santa Paula II,Vila Velha,ES,51m²,GRAND HOME IMOBILIARIA,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-2-quartos-em-santa-paula-ii-1159793113,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 256.898,Santa Paula II,Vila Velha,ES,51m²,Machado Queiroz imóveis,09/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/2-quartos-por-r-257-000-00-em-um-condominio-com-qualidade-de-vida-e-conforto-1060604966,21/Mar/2023,09:03:42
Terrenos,,R$ 255.000,Santa Paula II,Vila Velha,ES,180m²,GRAND HOME IMOBILIARIA,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-santa-paula-ii-1161699416,21/Mar/2023,09:03:42
Venda - casa em rua pública,5 ou mais,R$ 630.000,Santa Paula II,Vila Velha,ES,180m²,GRAND HOME IMOBILIARIA,16/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-5-quartos-em-santa-paula-ii-1160247591,21/Mar/2023,09:03:42
Terrenos,,R$ 11.880.000,Santa Paula II,Vila Velha,ES,54000m²,HIGH CLASS IMOBILIARIA LTDA,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/area-a-venda-54000-m-por-r-11-880-000-00-santa-paula-ii-vila-velha-es-1143949885,21/Mar/2023,09:03:42
Terrenos,,R$ 255.000,Santa Paula II,Vila Velha,ES,180m²,GRAND HOME IMOBILIARIA,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-santa-paula-ii-1159667830,21/Mar/2023,09:03:42
Terrenos,,R$ 350.000,Santa Paula II,Vila Velha,ES,459m²,Fábio Barbosa  Imóveis,23/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terrenos-459m-de-esquina-santa-paula-902561591,21/Mar/2023,09:03:42
Venda - casa em rua pública,3,R$ 399.900,Santa Paula II,Vila Velha,ES,80m²,Aliança web imóveis - Venda.,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-condominio-fechado-santa-paula-iii-1141713529,21/Mar/2023,09:03:42
Terrenos,,R$ 270.000,Santa Paula II,Vila Velha,ES,450m²,O.O,06/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-esquina-santa-paula-450m-1155529256,21/Mar/2023,09:03:42
Terrenos,,R$ 255.000,Santa Paula II,Vila Velha,ES,180m²,GRAND HOME IMOBILIARIA,07/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-em-santa-paula-ii-1155891389,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 250.000,Santa Paula II,Vila Velha,ES,50m²,Anderson Martins Imóveis,20/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-em-santa-paula-ii-vila-velha-es-1161837210,21/Mar/2023,09:03:42
Venda - casa em rua pública,2,R$ 90.000,Santa Paula II,Vila Velha,ES,100m²,Ms Corrêa Bens,06/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-venda-tem-100-metros-quadrados-com-2-quartos-em-santa-paula-ii-vila-velha-es-1155446569,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 255.000,Santa Paula II,Vila Velha,ES,60m²,Apê Vila Velha Imobiliária & Construções,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-2-quartos-a-venda-60-m-por-r-255-000-santa-paula-ii-vila-velha-es-987452967,21/Mar/2023,09:03:42
Terrenos,,R$ 20.500.000,Santa Paula Ii,Vila Velha,ES,400000m²,Walmor Zamboni,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-a-venda-na-rodovia-388-em-vila-velha-940086959,21/Mar/2023,09:03:42
Venda - casa em rua pública,3,R$ 400.000,Santa Paula II,Vila Velha,ES,80m²,Mega Negócios Imobiliários Ltda,01/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-3-quartos-com-suite-em-santa-paula-1135972728,21/Mar/2023,09:03:42
Terrenos,,R$ 49.999,Santa Paula II,Vila Velha,ES,300m²,hdummer,15/02/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/vende-se-lotes-em-praia-formosa-aracruz-1147506015,21/Mar/2023,09:03:42
Venda - casa em condominio fechado,3,R$ 400.000,Santa Paula II,Vila Velha,ES,80m²,Aliança Imóveis & Associados,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-com-3-dormitorios-a-venda-80-m-por-r-400-000-00-santa-paula-ii-vila-velha-es-1161934041,21/Mar/2023,09:03:42
Venda - casa em rua pública,2,R$ 350.000,Santa Paula II,Vila Velha,ES,95m²,Mega Negócios Imobiliários Ltda,11/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-santa-paula-r-350-000-00-1095321048,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 250.000,Santa Paula II,Vila Velha,ES,49m²,NOVALIANÇA IMOBILIÁRIA,18/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-2-quartos-a-venda-49-m-santa-paula-ii-vila-velha-es-1160858284,21/Mar/2023,09:03:42
Venda - casa em rua pública,5 ou mais,R$ 580.000,Santa Paula II,Vila Velha,ES,180m²,GRAND HOME IMOBILIARIA,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-5-quartos-em-santa-paula-ii-1159293033,21/Mar/2023,09:03:42
Terrenos,,R$ 650.000,Santa Paula II,Vila Velha,ES,600m²,Art Imóveis,20/01/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/terreno-a-venda-600-m-por-r-650-000-00-santa-paula-vila-velha-es-1135871265,21/Mar/2023,09:03:42
Venda - apartamento padrão,3,R$ 290.000,Santa Paula II,Vila Velha,ES,60m²,Rodrigo Carvalho Imóveis,21/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aptos-de-2-e-3-qts-em-condominio-fechado-1027294472,21/Mar/2023,09:03:42
Venda - casa em rua pública,2,R$ 350.000,Santa Paula II,Vila Velha,ES,95m²,GRAND HOME IMOBILIARIA,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-2-quartos-em-santa-paula-ii-1159655986,21/Mar/2023,09:03:42
Venda - apartamento padrão,3,R$ 271.969,Santa Paula II,Vila Velha,ES,61m²,Machado Queiroz imóveis,04/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/3-quartos-por-menos-de-300mil-nao-perca-essa-oportunidade-1044786518,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 257.062,Santa Paula II,Vila Velha,ES,51m²,Machado Queiroz imóveis,01/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/sempre-quis-morar-em-um-lugar-bem-tranquilo-estilo-vila-italiana-948700815,21/Mar/2023,09:03:42
Venda - apartamento padrão,3,R$ 272.000,Santa Paula II,Vila Velha,ES,61m²,Machado Queiroz imóveis,10/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/sempre-teve-vontade-morar-em-um-lugar-tranquilo-com-bosques-e-um-estilo-italiano-948487259,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 245.000,Santa Paula II,Vila Velha,ES,51m²,GRAND HOME IMOBILIARIA,16/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-2-quartos-em-santa-paula-ii-1160223402,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 257.006,Santa Paula II,Vila Velha,ES,51m²,Machado Queiroz imóveis,19/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/se-voce-quer-comecar-investindo-esse-apartamento-e-perfeito-para-voce-1010810303,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 278.440,Santa Paula II,Vila Velha,ES,70m²,Anderson Martins Imóveis,13/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/2-quartos-santa-paula-i-vila-velha-ed-villaggio-santa-paula-cod-8739-r-1158657147,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 257.665,Santa Paula II,Vila Velha,ES,51m²,Machado Queiroz imóveis,10/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/pensa-em-investir-em-um-bairro-com-alto-indice-de-valorizacao-e-um-imovel-de-qualidade-1032042222,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 300.000,Santa Paula II,Vila Velha,ES,65m²,A2 Assessoria Imobiliária - LTDA,16/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-em-vila-velha-santa-paula-ii-2-dormitorios-1-suite-2-banheiros-1160058703,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 240.000,Santa Paula II,Vila Velha,ES,49m²,Angela N.,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-em-santa-paula-ll-49m-2-quantos-1-garagem-condominio-completo-1159655343,21/Mar/2023,09:03:42
Venda - casa em rua pública,2,R$ 370.000,Santa Paula II,Vila Velha,ES,160m²,Carlos Rubens C. Marques,01/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-para-venda-em-vila-velha-itapuera-da-barra-2-dormitorios-1-suite-2-banheiros-5-v-994671256,21/Mar/2023,09:03:42
Venda - casa em condominio fechado,3,R$ 400.000,Santa Paula II,Vila Velha,ES,80m²,Atlantic Imóveis e Corretores Associados,24/02/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-3-quartos-com-suite-em-condominio-fechado-1118608825,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 210.500,Santa Paula II,Vila Velha,ES,52m²,Dillem,11/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/oportunidade-apartamento-no-condominio-vilaggio-santa-paula-1157747001,21/Mar/2023,09:03:42
Venda - casa em rua pública,3,R$ 750.000,Santa Paula II,Vila Velha,ES,280m²,GRAND HOME IMOBILIARIA,17/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-3-quartos-em-santa-paula-ii-1160559111,21/Mar/2023,09:03:42
Terrenos,,R$ 650.000,Santa Paula II,Vila Velha,ES,651m²,Atlantic Imóveis e Corretores Associados,14/03/2023,https://es.olx.com.br/norte-do-espirito-santo/terrenos/lote-no-riviera-park-com-o-melhor-custo-beneficio-do-condominio-1127164788,21/Mar/2023,09:03:42
Venda - casa em rua pública,2,R$ 200.000,Santa Paula II,Vila Velha,ES,120m²,JM VENDAS,02/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/06-casa-em-santa-paula-ii-1098884996,21/Mar/2023,09:03:42
Venda - apartamento padrão,2,R$ 350.000,Santa Paula II,Vila Velha,ES,100m²,Ms Corrêa Bens,15/03/2023,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-para-venda-com-100-metros-quadrados-com-2-quartos-1159704388,21/Mar/2023,09:03:43
