tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 250.000,,Rio Verde,GO,256m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,03/10/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-255-m-por-r-250-000-canna-2-rio-verde-go-1239879727,03/Oct/2023,17:52:23
Terrenos,,R$ 300.000,Residencial Gameleira,Rio Verde,GO,300m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,01/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-300-m-por-r-300-000-residencial-gameleira-2-rio-verde-go-1228866033,03/Oct/2023,17:52:23
Terrenos,,R$ 585.000,,Rio Verde,GO,464m²,diney,27/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-comercial-464m2-bouganville-perto-avenida-agio-1238195000,03/Oct/2023,17:52:23
Terrenos,,R$ 80.000.000,,Rio Verde,GO,1m²,Evelyn M.,05/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/vende-se-lote-em-rio-verde-go-1230477308,03/Oct/2023,17:52:23
Terrenos,,R$ 800.000,Jardim Goiás,Rio Verde,GO,53655m²,Luiz Ricardo,28/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-lote-comercial-536-55-metros-1227502967,03/Oct/2023,17:52:24
Terrenos,,R$ 360.000,Setor Universitário,Rio Verde,GO,360m²,Terreno,20/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-setor-universitario-1224416189,03/Oct/2023,17:52:24
Terrenos,,R$ 700.000,,Rio Verde,GO,2088m²,COMPRA E VENDA DE IMÓVEIS - RIO VERDE,08/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/chacara-1231446094,03/Oct/2023,17:52:24
Terrenos,,R$ 280.000,Jardim Presidente,Rio Verde,GO,264m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,24/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-264-m-por-r-280-000-jardim-presidente-rio-verde-go-1225869444,03/Oct/2023,17:52:24
Terrenos,,R$ 420.000,Residencial Campos Elíseos,Rio Verde,GO,450m²,Eduardo Oliveira,11/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-450m-campos-elisios-1232363759,03/Oct/2023,17:52:24
Terrenos,,R$ 480.000,,Rio Verde,GO,484m²,COMPRA E VENDA DE IMÓVEIS - RIO VERDE,29/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/lote-empresarial-1202309001,03/Oct/2023,17:52:24
Terrenos,,R$ 320.000,,Rio Verde,GO,405m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,12/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-405-m-por-r-320-000-00-residencial-canaa-ii-rio-verde-go-1232923918,03/Oct/2023,17:52:24
Terrenos,,R$ 2.166.000,Setor Central,Rio Verde,GO,722m²,Marcos,01/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-722-m-centro-rio-verde-1142898727,03/Oct/2023,17:52:24
Terrenos,,R$ 280.000,,Rio Verde,GO,488m²,COMPRA E VENDA DE IMÓVEIS - RIO VERDE,29/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/lote-comercial-1174239809,03/Oct/2023,17:52:24
Terrenos,,R$ 68.000,,Rio Verde,GO,440m²,COMPRA E VENDA DE IMÓVEIS - RIO VERDE,15/09/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/agio-lote-comercial-1233945517,03/Oct/2023,17:52:24
Terrenos,,R$ 42.000,,Rio Verde,GO,,cabralreis2,01/10/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/meio-lote-1239415855,03/Oct/2023,17:52:25
Terrenos,,R$ 23.000,,Rio Verde,GO,125m²,COMPRA E VENDA DE IMÓVEIS - RIO VERDE,21/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/meio-lote-1184672567,03/Oct/2023,17:52:25
Terrenos,,R$ 140.000,Loteamento Gameleira,Rio Verde,GO,180m²,Thiago,08/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-180-m-por-r-140-000-loteamento-gameleira-i-rio-verde-go-1219810199,03/Oct/2023,17:52:25
Terrenos,,R$ 540.000,Residencial Jardim Bougainville,Rio Verde,GO,360m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,01/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-360-m-por-r-540-000-parque-bougainville-rio-verde-go-1217267992,03/Oct/2023,17:52:25
Terrenos,,R$ 180.000,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,GO,182m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,12/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-181-m-por-r-180-000-residencial-solar-dos-ataides-2-etapa-rio-verd-1221401437,03/Oct/2023,17:52:26
Terrenos,,R$ 290.000,,Rio Verde,GO,329m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,01/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-328-m-por-r-290-000-canaa-2-rio-verde-go-1216996446,03/Oct/2023,17:52:26
Terrenos,,R$ 592.000,Condomínio Nova Aliança Premium,Rio Verde,GO,474m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,19/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-474-m-por-r-592-000-condominio-nova-alianca-rio-verde-go-1223969368,03/Oct/2023,17:52:26
Terrenos,,R$ 240.000,,Rio Verde,GO,283m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,01/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-282-m-por-r-240-000-canaa-2-rio-verde-go-1216995669,03/Oct/2023,17:52:26
Terrenos,,R$ 310.000,Jardim Presidente,Rio Verde,GO,289m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,24/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-288-m-por-r-310-000-jardim-presidente-rio-verde-go-1225869450,03/Oct/2023,17:52:26
Terrenos,,R$ 480.000,Residencial Interlagos,Rio Verde,GO,477m²,Roberto Schmidt,21/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/vendo-lote-condominio-fechado-1214656336,03/Oct/2023,17:52:26
Terrenos,,R$ 0,Setor Central,Rio Verde,GO,4800m²,Lotes Rio Verde,14/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/area-4-800m2-frente-pra-go-174-junto-ou-separado-dentro-de-rio-verde-1221958565,03/Oct/2023,17:52:26
Terrenos,,R$ 284.000,Jardim Goiás,Rio Verde,GO,202m²,AgroMarca,29/07/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/lote-com-excelente-localizacao-jardim-goias-1213759255,03/Oct/2023,17:52:26
Terrenos,,null,Residencial Solar dos Ataídes 2ª Etapa,Rio Verde,GO,300m²,Flávia Oliveira,08/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/vendo-1220037273,03/Oct/2023,17:52:26
Terrenos,,R$ 475.000,Residencial Tocantins,Rio Verde,GO,463m²,IMOBILIARIA REI EMPREENDIMENTOS S/S LTDA - EPP,26/07/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/terreno-a-venda-462-m-por-r-475-000-residencial-tocantins-rio-verde-go-1214788630,03/Oct/2023,17:52:26
Terrenos,,R$ 100.000,,Rio Verde,GO,150m²,COMPRA E VENDA DE IMÓVEIS - RIO VERDE,08/08/2023,https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/terrenos/meio-lote-1219698140,03/Oct/2023,17:52:26
