tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 315.000,Residencial Recanto do Cerrado,Aparecida de Goiânia,GO,295m²,URBS ONE,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/aldeia-do-parque-terreno-1160849297,21/Mar/2023,11:41:27
Terrenos,,R$ 300.000,Jardim Buriti Sereno,Aparecida de Goiânia,GO,3055m²,MY BROKER ALPHA MALL,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/bairro-jardim-buriti-sereno-valor-r-300-000-00-codigo-19685-1112736961,21/Mar/2023,11:41:42
Terrenos,,R$ 110.000,Porto das Pedras,Aparecida de Goiânia,GO,360m²,House & Aviation Imobiliária,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-em-loteamento-bairro-loteamento-porto-das-pedras-em-aparecida-de-goiania-1141180288,21/Mar/2023,11:41:42
Terrenos,,R$ 120.000,Jardim Buriti Sereno,Aparecida de Goiânia,GO,401m²,Willians da Silva Santos,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/3-lotes-de-401-40m-asfalto-e-agua-jardim-buriti-sereno-1148264184,21/Mar/2023,11:41:42
Terrenos,,R$ 78.000,Jardim Alto Paraíso,Aparecida de Goiânia,GO,3601m²,Willians da Silva Santos,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-360-00m-quarta-avenida-eixo-leste-oeste-01-jardim-alto-paraiso-1148282731,21/Mar/2023,11:41:42
Terrenos,,R$ 1.400.000,Parque Primavera,Aparecida de Goiânia,GO,4438m²,LOBO Imóveis,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/aparecida-de-goiania-terreno-padrao-parque-primavera-1129736026,21/Mar/2023,11:41:42
Terrenos,,R$ 120.000,Jardim Boa Esperança,Aparecida de Goiânia,GO,467m²,Prime Imóveis,02/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-para-venda-em-aparecida-de-goiania-jardim-boa-esperanca-1115884767,21/Mar/2023,11:41:42
Terrenos,,R$ 1.240.000,Sítios Santa Luzia Residencial,Aparecida de Goiânia,GO,3m²,Amiz Imobiliária Ltda,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-global-park-oportunidade-unica-1154172271,21/Mar/2023,11:41:42
Terrenos,,R$ 225.000,Setor Central,Aparecida de Goiânia,GO,251m²,Juliana Bento,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-condominio-jardins-versalhes-da-fgr-aparecida-de-goiania-1047634719,21/Mar/2023,11:41:42
Terrenos,,R$ 110.000,Jardim Miramar,Aparecida de Goiânia,GO,559m²,UNIFIQUE NEGOCIOS IMOBILIARIOS,04/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-tem-559-metros-quadrados-em-setor-central-aparecida-de-goiania-1040993074,21/Mar/2023,11:41:42
Terrenos,,null,Setor Garavelo,Aparecida de Goiânia,GO,454m²,Junio S.,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-1154387697,21/Mar/2023,11:41:42
Terrenos,,R$ 52.000,Jardim Dom Bosco,Aparecida de Goiânia,GO,360m²,helio.fausto,02/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-360m-jardim-dom-bosco-1153901738,21/Mar/2023,11:41:43
Terrenos,,R$ 35.000.000,Vila Nossa Senhora de Lourdes,Aparecida de Goiânia,GO,130000m²,PINA EMPREENDIMENTOS IMOBILIÁRIOS,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-para-venda-em-aparecida-de-goiania-984197808,21/Mar/2023,11:41:43
Terrenos,,R$ 105.000,Setor Conde dos Arcos Complemento,Aparecida de Goiânia,GO,378m²,Kauê,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-378m2-st-conde-dos-arcos-ap-de-goiania-1154269888,21/Mar/2023,11:41:43
Terrenos,,R$ 900.000,Jardim Maranata,Aparecida de Goiânia,GO,1535m²,Willians da Silva Santos,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-comercial-1-535m-go-040-cabeca-de-quadra-jardim-maranata-1160431868,21/Mar/2023,11:41:43
Terrenos,,R$ 450.000,Jardins Sevilha,Aparecida de Goiânia,GO,300m²,Rafael Gomides Borges,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-condominio-fechado-jardins-sevilha-alto-padrao-lazer-completo-prox-av-rio-verde-jd-mo-1160416968,21/Mar/2023,11:41:43
Terrenos,,R$ 4.999,Jardim Helvécia Complemento,Aparecida de Goiânia,GO,1000m²,IVONEIDE COSTA DOS SANTOS FERRAZ,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/beira-rio-2-rio-areias-excelente-localizacao-1152764890,21/Mar/2023,11:41:43
Terrenos,,R$ 135.000,Residencial Parqville Jacarandá,Aparecida de Goiânia,GO,312m²,Tarcísio Consultor Imobiliário,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/agio-lote-312-m2-parqville-jacaranda-r-135-000-00-oportunidade-1099954585,21/Mar/2023,11:41:43
Terrenos,,R$ 100.000,Vila Oliveira,Aparecida de Goiânia,GO,342m²,Willians da Silva Santos,26/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/2-lotes-de-342-50m-asfalto-e-agua-vila-oliveira-1151961712,21/Mar/2023,11:41:43
