tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 820.000,Condomínio Alto da Boa Vista,Goiânia,GO,125m²,Revenda Imóveis,09/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-em-condominio-para-venda-3-quarto-s-condominio-alto-da-boa-vista-goiania-ca201-1145259464,21/Mar/2023,12:12:05
Venda - casa em condominio fechado,4,R$ 3.200.000,Condomínio Alto da Boa Vista,Goiânia,GO,343m²,Marinalva Souza,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/vendo-casa-terrea-de-luxo-no-alto-da-boa-vista-946103673,21/Mar/2023,12:12:05
Venda - casa em rua pública,3,R$ 1.490.000,Condomínio Alto da Boa Vista,Goiânia,GO,201m²,ENZO IMÓVEIS,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-em-ra-v-sobradinho-alto-da-boa-vista-sobradinho-3-dormitorios-3-suit-1110385889,21/Mar/2023,12:12:06
Venda - casa em rua pública,2,R$ 98.000,Cond Alto da Boa Vista,Goiânia,GO,300m²,@apple seminovos,21/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/venda-de-casa-ponto-de-acabamento-jardim-primavera-1149678699,21/Mar/2023,12:12:06
Terrenos,,R$ 114.000,Condomínio Alto da Boa Vista,Goiânia,GO,519m²,Rodrigo André da Silva,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/exclusivo-lote-no-condominio-solaris-laguna-r-1-020-00-o-m-1072573156,21/Mar/2023,12:12:06
Terrenos,,R$ 1.100.000,Condomínio Alto da Boa Vista,Goiânia,GO,509692m²,PONTOCOM IMÓVEIS,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-alto-da-boa-vista-1022529810,21/Mar/2023,12:12:06
Terrenos,,R$ 760.000,Condomínio Alto da Boa Vista,Goiânia,GO,592m²,Rodrigo André da Silva,08/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-tem-592-metros-quadrados-em-condominio-alto-da-boa-vista-goiania-1156492155,21/Mar/2023,12:12:06
Venda - casa em condominio fechado,4,R$ 5.500.000,Condomínio Alto da Boa Vista,Goiânia,GO,612m²,PONTOCOM IMÓVEIS,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-de-condominio-4suites-alto-da-boa-vista-1012924639,21/Mar/2023,12:12:06
Venda - casa em condominio fechado,3,R$ 900.000,Condomínio Alto da Boa Vista,Goiânia,GO,150m²,VAZ BRASIL CONSULTORIA IMOBILIARIA E SERVICOS LTDA,02/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-de-condominio-sobrado-para-venda-com-150-metros-quadrados-com-3-quartos-1153534428,21/Mar/2023,12:12:06
Venda - casa em condominio fechado,3,R$ 750.000,Condomínio Alto da Boa Vista,Goiânia,GO,126m²,My Broker Imobiliária,02/12/2022,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-casa-de-condominio-condominio-alto-da-boa-vista-1116852072,21/Mar/2023,12:12:06
