tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 550.000,Condomínio Residencial Santa Rita,Goiânia,GO,,OLY IMOVEIS E FAZENDASGO,17/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lotes-a-venda-oportunidade-de-investimento-720m-res-santa-rita-1081733320,21/Mar/2023,13:52:20
Venda - apartamento padrão,3,R$ 331.191,Condomínio Residencial Santa Rita,Goiânia,GO,68m²,Frances Lizardo,12/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/parque-goia-03-quartos-c-01-suite-cod-fla01-1018965083,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 160.000,Condomínio Residencial Santa Rita,Goiânia,GO,58m²,Joel Porfírio,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-a-venda-2-dormitorios-58-00m-otima-localizacao-residencial-santa-rita-1092823232,21/Mar/2023,13:52:20
Venda - apartamento padrão,3,R$ 331.000,Condomínio Residencial Santa Rita,Goiânia,GO,68m²,Edivaldo Santana de Sousa Junior,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-com-3-quartos-parque-santa-rita-1141158500,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 21.000,Condomínio Residencial Santa Rita,Goiânia,GO,55m²,Atacadão Imóveis,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-possui-55-metros-quadrados-com-2-quartos-981271300,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,null,Condomínio Residencial Santa Rita,Goiânia,GO,,Emery L.,07/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-1155797857,21/Mar/2023,13:52:20
Terrenos,,R$ 550.000,Condomínio Residencial Santa Rita,Goiânia,GO,,OLY IMOVEIS E FAZENDASGO,24/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lotes-a-venda-oportunidade-de-investimento-720m-setor-santa-rita-1074939632,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 229.000,Condomínio Residencial Santa Rita,Goiânia,GO,56m²,Edivaldo Santana de Sousa Junior,11/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-com-2-quartos-parque-santa-rita-987927862,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 233.000,Condomínio Residencial Santa Rita,Goiânia,GO,55m²,Thays R. Pimentel,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/parque-goia-apartamentos-2-e-3-quartos-pronto-entrada-parcelada-isti-registro-gratis-1022886386,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 140.000,Condomínio Residencial Santa Rita,Goiânia,GO,52m²,magna.ximenes,09/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/vendo-urgente-140mil-1156958918,21/Mar/2023,13:52:20
Venda - apartamento padrão,3,R$ 331.000,Condomínio Residencial Santa Rita,Goiânia,GO,68m²,Edivaldo Santana de Sousa Junior,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-com-3-quartos-parque-santa-rita-987954380,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 140.000,Condomínio Residencial Santa Rita,Goiânia,GO,61m²,Joel Porfírio,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-a-venda-2-dormitorios-61-00m-otima-localizacao-e-preco-bairro-goia-1118529249,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 230.000,Condomínio Residencial Santa Rita,Goiânia,GO,55m²,Adaías Corretor de Imóveis,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/2-quartos-com-suite-novinho-pronto-para-morar-1002286947,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 229.000,Condomínio Residencial Santa Rita,Goiânia,GO,56m²,Edivaldo Santana de Sousa Junior,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-com-2-quartos-parque-santa-rita-1141110372,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 243.000,Condomínio Residencial Santa Rita,Goiânia,GO,56m²,Especialista Imóveis,15/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-2-e-3-quartos-1-suite-parque-goia-914950032,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 233.000,Condomínio Residencial Santa Rita,Goiânia,GO,55m²,Thays R. Pimentel,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/entrada-60x-parque-goia-apartamentos-2-e-3-quartos-pronto-morar-documentacao-gratis-isti-952742517,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 150.000,Condomínio Residencial Santa Rita,Goiânia,GO,60m²,Guimarães Imóveis,23/09/2022,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apt-2-qts-no-bairro-goia-1088178812,21/Mar/2023,13:52:20
Venda - apartamento padrão,2,R$ 269.000,Condomínio Residencial Santa Rita,Goiânia,GO,55m²,MGI IMÓVEIS,28/05/2022,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/ap-de-2q-no-parque-goia-1038148361,21/Mar/2023,13:52:20
