tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 3.900.000,Condomínio Santa Rita,Goiânia,GO,48000m²,PEROLA IMÓVEIS,05/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-area-em-bairro-santa-rita--goiania-1122310643,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 149.940,Condomínio Santa Rita,Goiânia,GO,54m²,m2 Investimentos Imobiliários,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-padrao-condominio-santa-rita-1161956925,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 262.207,Condomínio Santa Rita,Goiânia,GO,56m²,ATUAL IMÓVEIS,15/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-2-quartos-chacaras-santa-rita-1126892453,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 224.599,Condomínio Santa Rita,Goiânia,GO,55m²,Luiz Augusto Brito do Espirito Santo - MV,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-com-2-ou-3-quartos-no-bairro-goia-goiania-go-945741862,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 136.000,Condomínio Santa Rita,Goiânia,GO,53m²,Vinicius Miranda Guimaraes,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-tem-53-metros-quadrados-com-2-quartos-em-condominio-santa-rita-go-1158646707,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 140.000,Condomínio Santa Rita,Goiânia,GO,52m²,Alessandro Gomes da Silva,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/santa-rita-apartamentos-2q-condominio-santa-rita-goiania-go-1079226627,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 247.000,Condomínio Santa Rita,Goiânia,GO,56m²,ORON IMOBILIÁRIA DESCOMPLICADA,05/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-a-venda-56-m-por-r-247-000-00-condominio-santa-rita-goiania-go-1114090102,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 150.000,Condomínio Santa Rita,Goiânia,GO,53m²,Apia Imobiliária,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-com-53-metros-quadrados-com-2-quartos-em-condominio-santa-rita-go-973611920,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 143.000,Condomínio Santa Rita,Goiânia,GO,53m²,G1 IMOVEIS LTDA - ME,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-com-53-metros-quadrados-com-2-quartos-em-condominio-santa-rita-go-1099493569,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 149.940,Condomínio Santa Rita,Goiânia,GO,54m²,M2 INVESTIMENTOS IMOBILIÁRIOS,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-padrao-condominio-santa-rita-1161953860,21/Mar/2023,11:23:30
Venda - casa em rua pública,3,R$ 300.000,Condomínio Santa Rita,Goiânia,GO,250m²,Luiz Augusto Brito do Espirito Santo - MV,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-3-quartos-em-condominio-santa-rita-goiania-go-1153356573,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 175.000,Condomínio Santa Rita,Goiânia,GO,,Rafaela Souza,02/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/vende-se-apartamento-de-2qts-sendo-1-suite-1142032036,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 149.940,Condomínio Santa Rita,Goiânia,GO,54m²,Leandro Marcelino II,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-padrao-condominio-santa-rita-1161954048,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 149.940,Condomínio Santa Rita,Goiânia,GO,54m²,Leandro Marcelino,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-padrao-condominio-santa-rita-1161952978,21/Mar/2023,11:23:30
Venda - apartamento padrão,3,R$ 353.056,Condomínio Santa Rita,Goiânia,GO,68m²,ATUAL IMÓVEIS,15/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-3-quartos-chacaras-santa-rita-1126913837,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 40,Condomínio Santa Rita,Goiânia,GO,,Pedro,01/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/leia-a-descricao-1141099888,21/Mar/2023,11:23:30
Venda - apartamento padrão,2,R$ 140.000,Condomínio Santa Rita,Goiânia,GO,52m²,Thays R. Pimentel,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/santa-rita-apartamentos-2q-1039860902,21/Mar/2023,11:23:30
